RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_A_EL_C._CARLOS_BARRIOS_PÉREZ resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_a_el_c._carlos_barrios_pérez NP00000 1
su su DP3CSN 1
capacidad capacidad NCFS000 1
técnica técnico AQ0FS00 0.294798
, , Fc 1
económica económico AQ0FS00 1
, , Fc 1
jurídica jurídico AQ0FS00 1
y y CC 0.999989
administrativa administrativo AQ0FS00 0.661294
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
. . Fp 1
” ” Frc 1
Ahora_bien ahora_bien RG 1
, , Fc 1
cabe caber VMIP3S0 0.975904
destacar destacar VMN0000 1
que que CS 0.449861
para para SP 0.999834
este este DD0MS0 0.949201
tipo tipo NCMS000 1
de de SP 0.999961
solicitudes solicitud NCFP000 1
debe deber VMIP3S0 0.998712
acatar acatar VMN0000 1
se se PP3CN00 1
el el DA0MS0 1
requisito requisito NCMS000 0.983871
contenido contenido NCMS000 0.993421
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
94 94 Z 1
fracción fracción NCFS000 1
I_de_la_Ley_Federal_de_Derechos i_de_la_ley_federal_de_derechos NP00000 1
vigente vigente AQ0CS00 1
a a SP 1
el el DA0MS0 1
momento momento NCMS000 1
en en SP 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
presentó presentar VMIS3S0 1
la el DA0FS0 0.98926
misma mismo AQ0FS00 0.81684
, , Fc 1
la el DA0FS0 0.98926
cual cual PR0CS00 0.930743
establecía establecer VMII3S0 0.65
la el DA0FS0 0.98926
obligación obligación NCFS000 1
para para SP 0.999834
quien quien PR0CS00 1
solicite solicitar VMSP3S0 0.634863
un uno DI0MS0 0.99698
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
la el DA0FS0 0.98926
instalación instalación NCFS000 1
, , Fc 1
operación operación NCFS000 1
o o CC 0.999864
explotación explotación NCFS000 1
de de SP 0.999961
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
de de SP 0.999961
pagar pagar VMN0000 1
los el DA0MP0 0.992728
derechos derecho NCMP000 0.996795
por por SP 1
el el DA0MS0 1
trámite trámite NCMS000 1
relativo relativo AQ0MS00 0.980769
a a SP 1
el el DA0MS0 1
estudio estudio NCMS000 0.97043
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
de de SP 0.999961
concesión concesión NCFS000 1
y y CC 0.999989
de de SP 0.999961
la el DA0FS0 0.98926
documentación documentación NCFS000 1
financiera financiero AQ0FS00 0.988439
, , Fc 1
técnica técnico AQ0FS00 0.294798
, , Fc 1
jurídica jurídico AQ0FS00 1
y y CC 0.999989
administrativa administrativo AQ0FS00 0.661294
inherente inherente AQ0CS00 1
a a SP 0.998775
la el DA0FS0 0.98926
misma mismo AQ0FS00 0.81684
. . Fp 1

Sin sin SP 1
embargo embargo NCMS000 0.995283
, , Fc 1
es ser VSIP3S0 1
importante importante AQ0CS00 1
señalar señalar VMN0000 1
que que CS 0.449861
si si CS 0.999827
bien bien RG 0.876088
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
hace_referencia hacer_referencia VMIP3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
instalación instalación NCFS000 1
, , Fc 1
operación operación NCFS000 1
y y CC 0.999989
explotación explotación NCFS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
dicho decir VMP00SM 0.997159
concepto concepto NCMS000 1
no no RN 0.999297
se se P00CN00 0.494509
encuentra encontrar VMIP3S0 0.97619
previsto prever VMP00SM 1
en en SP 1
la el DA0FS0 0.98926
Ley ley NP00000 1
; ; Fx 1
es ser VSIP3S0 1
por por SP 1
ello ello PD00S00 1
que que PR0CN00 0.550139
, , Fc 1
de de SP 0.999961
resolver resolver VMN0000 1
se se PP3CN00 1
de de SP 0.999961
manera manera NCFS000 1
favorable favorable AQ0CS00 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
, , Fc 1
debe deber VMIP3S0 0.998712
de de SP 0.999961
considerar considerar VMN0000 1
se se PP3CN00 1
el el DA0MS0 1
actual actual AQ0CS00 1
régimen régimen NCMS000 1
de de SP 0.999961
concesionamiento concesionamiento NCMS000 0.981144
previsto prever VMP00SM 1
en en SP 1
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
en en SP 1
su su DP3CSN 1
artículo artículo NCMS000 1
66 66 Z 1
señala señalar VMIP3S0 0.997076
que que CS 0.449861
se se P00CN00 0.494509
requerirá requerir VMIF3S0 1
concesión concesión NCFS000 1
única único AQ0FS00 1
para para SP 0.999834
prestar prestar VMN0000 1
todo todo DI0MS0 0.6662
tipo tipo NCMS000 1
de de SP 0.999961
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
. . Fp 1

Tercero 3 AO0MS00 0.986928
. . Fp 1
- - Fg 1
Análisis_de_la_Solicitud_de_Concesión análisis_de_la_solicitud_de_concesión NP00000 1
. . Fp 1

Por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
a a SP 0.998775
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
señalados señalar VMP00PM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
73 73 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Telecomunicaciones dirección_general_de_concesiones_de_telecomunicaciones NP00000 1
, , Fc 1
revisó revisar VMIS3S0 1
y y CC 0.999989
evaluó evaluar VMIS3S0 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
observando observar VMG0000 1
que que CS 0.449861
contiene contener VMIP3S0 1
, , Fc 1
entre entre SP 0.980341
otros otro PI0MP00 0.254022
, , Fc 1
los el DA0MP0 0.992728
siguientes siguiente AQ0CP00 1
elementos elemento NCMP000 1
: : Fd 1
El el DA0MS0 1
nombre nombre NCMS000 0.995342
y y CC 0.999989
domicilio domicilio NCMS000 0.995868
de de SP 1
el el DA0MS0 1
solicitante solicitante NCCS000 0.97619
; ; Fx 1
Las las NP00000 1
características característica NCFP000 0.994792
generales general AQ0CP00 0.916449
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
, , Fc 1
destacando destacar VMG0000 1
que que CS 0.449861
el el DA0MS0 1
objetivo objetivo NCMS000 0.972603
de de SP 0.999961
la el DA0FS0 0.98926
concesión concesión NCFS000 1
sería ser VSIC1S0 0.5
prestar prestar VMN0000 1
principalmente principalmente RG 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
televisión televisión NCFS000 1
restringida restringir VMP00SF 1
por por SP 1
cable cable NCMS000 1
en en SP 1
Villa_de_Reyes villa_de_reyes NP00000 1
, , Fc 1
Municipio_de_Villa_de_Reyes municipio_de_villa_de_reyes NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
Estado_de_San_Luis_Potosí estado_de_san_luis_potosí NP00000 1
, , Fc 1
y y CC 0.999989
adjunta adjunto AQ0FS00 0.478906
documentación documentación NCFS000 1
que que PR0CN00 0.550139
contiene contener VMIP3S0 1
las el DA0FP0 0.988184
especificaciones especificación NCFP000 1
técnicas técnico AQ0FP00 0.300493
correspondientes correspondiente AQ0CP00 0.980769
, , Fc 1
así_como así_como CC 1
la el DA0FS0 0.98926
arquitectura arquitectura NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
red red NCFS000 1
con con SP 1
sus su DP3CPN 0.999903
respectivos respectivo AQ0MP00 1
diagramas diagrama NCMP000 1
técnicos técnico AQ0MP00 0.287234
; ; Fx 1
La la NP00000 1
documentación documentación NCFS000 1
con con SP 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
justifica justificar VMIP3S0 0.98913
la el DA0FS0 0.98926
capacidad capacidad NCFS000 1
jurídica jurídico AQ0FS00 1
; ; Fx 1
así_como así_como CC 1
aquella aquel PD0FS00 0.0652174
con con SP 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
muestra mostrar VMIP3S0 0.598234
recursos recurso NCMP000 1
suficientes suficiente AQ0CP00 0.989637
para para SP 0.999834
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.99884
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
; ; Fx 1
e y CC 0.987994
información información NCFS000 1
que que PR0CN00 0.550139
le le PP3CSD0 1
permite permitir VMIP3S0 0.997312
acreditar acreditar VMN0000 1
capacidad capacidad NCFS000 1
técnica técnico AQ0FS00 0.294798
y y CC 0.999989
administrativa administrativo AQ0FS00 0.661294
, , Fc 1
misma mismo PI0FS00 0.18316
que que PR0CN00 0.550139
forma_parte formar_parte VMIP3S0 0.989241
integrante integrante NCCS000 0.488706
de de SP 0.999961
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
, , Fc 1
y y CC 0.999989
Adicionalmente adicionalmente NP00000 1
, , Fc 1
el el DA0MS0 1
comprobante comprobante NCMS000 1
de de SP 0.999961
pago pago NCMS000 0.995283
de de SP 0.999961
derechos derecho NCMP000 0.996795
por por SP 1
el el DA0MS0 1
concepto concepto NCMS000 1
de de SP 0.999961
estudio estudio NCMS000 0.97043
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
, , Fc 1
conforme_a conforme_a SP 1
la el DA0FS0 0.98926
fracción fracción NCFS000 1
I i NP00000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
94 94 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Derechos ley_federal_de_derechos NP00000 1
vigente vigente AQ0CS00 1
en en SP 1
ese ese DD0MS0 0.966694
momento momento NCMS000 1
. . Fp 1

Por por SP 1
otra otro DI0FS0 0.740893
parte parte NCCS000 0.977711
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Telecomunicaciones dirección_general_de_concesiones_de_telecomunicaciones NP00000 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/223/UCS/DG-CTEL/1653/2014 IFT/223/UCS/DG-CTEL/1653/2014 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
3_de_junio_de_2015 [??:3/6/2015:??.??:??] W 1
, , Fc 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Dirección_General_de_Concentraciones dirección_general_de_concentraciones NP00000 1
y y CC 0.999989
Concesiones_de_la_Unidad_de_Competencia_Económica concesiones_de_la_unidad_de_competencia_económica NP00000 1
, , Fc 1
opinión opinión NCFS000 1
respecto_de respecto_de SP 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
. . Fp 1

En en SP 1
respuesta respuesta NCFS000 1
a a SP 0.998775
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/226/UCE/DG-CCON/294/2015 IFT/226/UCE/DG-CCON/294/2015 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
13_de_noviembre_de_2015 [??:13/11/2015:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Dirección_General_de_Concentraciones dirección_general_de_concentraciones NP00000 1
y y CC 0.999989
Concesiones concesiones NP00000 1
emitió emitir VMIS3S0 1
opinión opinión NCFS000 1
respecto_de respecto_de SP 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
que que PR0CN00 0.550139
nos nos PP1CP00 0.810258
ocupa ocupar VMIP3S0 0.99505
, , Fc 1
en en SP 1
el el DA0MS0 1
siguiente siguiente AQ0CS00 1
sentido sentido NCMS000 0.940835
: : Fd 1
“ “ Fra 1
Opinión opinión NCFS000 0.668984
en_materia_de en_materia_de SP 1
competencia competencia NCFS000 1
económica económico AQ0FS00 1
de de SP 0.999961
la el DA0FS0 0.98926
Solicitud_En_caso_de solicitud_en_caso_de NP00000 1
otorgar otorgar VMN0000 1
se se PP3CN00 1
, , Fc 1
la el DA0FS0 0.98926
concesión concesión NCFS000 1
única único AQ0FS00 1
le le PP3CSD0 1
permitirá permitir VMIF3S0 1
a a SP 1
el el DA0MS0 1
C._Barrios c._barrios NP00000 1
prestar prestar VMN0000 1
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
o o CC 0.999864
radiodifusión radiodifusión NCFS000 1
con con SP 1
cobertura cobertura NCFS000 1
nacional nacional AQ0CS00 1
. . Fp 1

Inicialmente inicialmente RG 1
, , Fc 1
éste este PD0MS00 1
pretende pretender VMIP3S0 0.996894
prestar prestar VMN0000 1
el el DA0MS0 1
servicio servicio NCMS000 1
TV tv NP00000 1
restringida restringir VMP00SF 1
en en SP 1
la el DA0FS0 0.98926
localidad localidad NCFS000 1
de de SP 0.999961
Villa_de_Reyes villa_de_reyes NP00000 1
, , Fc 1
municipio municipio NCMS000 1
de de SP 0.999961
Villa_de_Reyes villa_de_reyes NP00000 1
, , Fc 1
en en SP 1
S.L.P._A_partir_de s.l.p._a_partir_de NP00000 1
la el DA0FS0 0.98926
información información NCFS000 1
que que PR0CN00 0.550139
consta constar VMIP3S0 0.880435
en en SP 1
el el DA0MS0 1
expediente expediente NCMS000 0.982759
de de SP 0.999961
la el DA0FS0 0.98926
Solicitud solicitud NP00000 1
, , Fc 1
incluida incluir VMP00SF 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
presentó presentar VMIS3S0 1
el el DA0MS0 1
C._Barrios c._barrios NP00000 1
, , Fc 1
se se P00CN00 0.494509
identificó identificar VMIS3S0 1
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
Ni ni CC 0.834853
el el DA0MS0 1
C._Barrios c._barrios NP00000 1
ni ni CC 0.834853
Personas_Relacionadas personas_relacionadas NP00000 1
prestan prestar VMIP3P0 1
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
en en SP 1
Villa_de_Reyes villa_de_reyes NP00000 1
, , Fc 1
S.L.P. s.l.p. NP00000 1
, , Fc 1
considerando considerar VMG0000 0.813333
que que CS 0.449861
el el DA0MS0 1
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
de de SP 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
era ser VSII3S0 0.491317
titular titular NCCS000 0.820663
el el DA0MS0 1
C._Barrios c._barrios NP00000 1
para para SP 0.999834
prestar prestar VMN0000 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
TV tv NP00000 1
restringida restringir VMP00SF 1
venció vencer VMIS3S0 1
el el DA0MS0 1
diecisiete_de_julio_de_dos_mil_quince [??:17/7/2015:??.??:??] W 1
y y CC 0.999989
el el DA0MS0 1
C._Barrios c._barrios NP00000 1
se se P00CN00 0.494509
desistió desistir VMIS3S0 1
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
de de SP 0.999961
prórroga prórroga NCFS000 1
de de SP 0.999961
dicha decir VMP00SF 0.819767
concesión concesión NCFS000 1
. . Fp 1

Ni ni CC 0.834853
el el DA0MS0 1
C._Barrios c._barrios NP00000 1
ni ni CC 0.834853
Personas_Relacionadas personas_relacionadas NP00000 1
pertenecen pertenecer VMIP3P0 1
a a SP 0.998775
los el DA0MP0 0.992728
grupos grupo NCMP000 1
de de SP 0.999961
interés interés NCMS000 1
económico económico AQ0MS00 1
a a SP 0.998775
los el DA0MP0 0.992728
que que PR0CN00 0.550139
pertenecen pertenecer VMIP3P0 1
los el DA0MP0 0.992728
operadores operador NCMP000 0.992958
satelitales satelitales AQ0CP00 0.275207
que que PR0CN00 0.550139
prestan prestar VMIP3P0 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
TV tv NP00000 1
restringida restringir VMP00SF 1
con con SP 1
cobertura cobertura NCFS000 1
nacional nacional AQ0CS00 1
bajo bajo SP 0.909179
las el DA0FP0 0.988184
marcas marca NCFP000 0.987805
comerciales comercial AQ0CP00 0.99569
Sky sky NP00000 1
y y CC 0.999989
Dish dish NP00000 1
; ; Fx 1
tampoco tampoco RG 1
está estar VMIP3S0 0.999398
vinculado vincular VMP00SM 1
con con SP 1
el el DA0MS0 1
C._Juan_Carlos_Salamanca_Uranga c._juan_carlos_salamanca_uranga NP00000 1
, , Fc 1
que que PR0CN00 0.550139
cuenta contar VMIP3S0 0.768585
con con SP 1
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
para para SP 0.999834
prestar prestar VMN0000 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
TV tv NP00000 1
restringida restringir VMP00SF 1
en en SP 1
la el DA0FS0 0.98926
localidad localidad NCFS000 1
involucrada involucrar VMP00SF 1
en en SP 1
la el DA0FS0 0.98926
Solicitud solicitud NP00000 1
. . Fp 1

Por_lo_tanto por_lo_tanto RG 1
, , Fc 1
los el DA0MP0 0.992728
proveedores proveedor NCMP000 1
antes antes RG 1
mencionados mencionar VMP00PM 1
se se P00CN00 0.494509
consideran considerar VMIP3P0 1
competidores competidor NCMP000 0.97619
de de SP 1
el el DA0MS0 1
C._Barrios c._barrios NP00000 1
en en SP 1
dicha decir VMP00SF 0.819767
localidad localidad NCFS000 1
. . Fp 1

El el DA0MS0 1
C._Barrios c._barrios NP00000 1
y y CC 0.999989
Personas_Relacionadas personas_relacionadas NP00000 1
cuentan contar VMIP3P0 1
con con SP 1
concesiones concesión NCFP000 1
para para SP 0.999834
prestar prestar VMN0000 1
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
o o CC 0.999864
radiodifusión radiodifusión NCFS000 1
en en SP 1
diversas diverso DI0FP0 0.805344
localidades localidad NCFP000 1
. . Fp 1

Se se P00CN00 0.494509
identificó identificar VMIS3S0 1
que que CS 0.449861
éstas este PD0FP00 1
participan participar VMIP3P0 1
a_través_de a_través_de SP 1
más más RG 0.99993
de de SP 0.999961
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
en en SP 1
cuatro 4 Z 1
localidades localidad NCFP000 1
. . Fp 1

El el DA0MS0 1
análisis análisis NCMN000 1
correspondiente correspondiente AQ0CS00 0.993421
en_materia_de en_materia_de SP 1
competencia competencia NCFS000 1
económica económico AQ0FS00 1
se se P00CN00 0.494509
realizará realizar VMIF3S0 1
cuando cuando CS 0.86298
se se P00CN00 0.494509
presenten presentar VMSP3P0 0.980769
las el DA0FP0 0.988184
solicitudes solicitud NCFP000 1
de de SP 0.999961
prórroga prórroga NCFS000 1
de de SP 0.999961
dichas decir VMP00PF 0.980769
concesiones concesión NCFP000 1
, , Fc 1
si si CS 0.999827
es ser VSIP3S0 1
el el DA0MS0 1
caso caso NCMS000 0.999445
. . Fp 1

En en SP 1
conclusión conclusión NCFS000 1
, , Fc 1
con con SP 1
base base NCCS000 0.963722
en en SP 1
la el DA0FS0 0.98926
información información NCFS000 1
disponible disponible AQ0CS00 1
, , Fc 1
no no RN 0.999297
se se P00CN00 0.494509
prevé prever VMIP3S0 0.967836
que que CS 0.449861
, , Fc 1
en_caso_de en_caso_de SP 1
que que CS 0.449861
se se P00CN00 0.494509
otorgue otorgar VMSP3S0 0.634863
autorización autorización NCFS000 1
para para SP 0.999834
que que CS 0.449861
el el DA0MS0 1
C._Barrios c._barrios NP00000 1
obtenga obtener VMSP3S0 0.634863
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
única único AQ0FS00 1
, , Fc 1
se se P00CN00 0.494509
generen generar VMSP3P0 0.941964
efectos efecto NCMP000 1
contrarios contrario AQ0MP00 0.561294
en en SP 1
el el DA0MS0 1
proceso proceso NCMS000 0.999101
de de SP 0.999961
competencia competencia NCFS000 1
y y CC 0.999989
libre libre AQ0CS00 0.957522
concurrencia concurrencia NCFS000 1
. . Fp 1
” ” Frc 1
Finalmente finalmente RG 1
, , Fc 1
en en SP 1
relación relación NCFS000 1
con con SP 1
lo el DA00S0 0.665165
señalado señalar VMP00SM 1
en en SP 1
el el DA0MS0 1
párrafo párrafo NCMS000 1
décimo 10 AO0MS00 0.607399
séptimo 7 AO0MS00 0.991803
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
28 28 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución constitución NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
el el DA0MS0 1
oficio oficio NCMS000 0.986111
IFT/223/UCS/020/2014 IFT/223/UCS/020/2014 Z 1
notificado notificar VMP00SM 1
el el DA0MS0 1
8_de_octubre_de_2014 [??:8/10/2014:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
, , Fc 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
la el DA0FS0 0.98926
opinión opinión NCFS000 1
técnica técnico AQ0FS00 0.294798
correspondiente correspondiente AQ0CS00 0.993421
a a SP 0.998775
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
. . Fp 1

A a SP 1
el el DA0MS0 1
respecto respecto NCMS000 0.989726
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
2.1.-1369 2.1.-1369 Z 1
emitido emitir VMP00SM 1
por por SP 1
la el DA0FS0 0.98926
Dirección_General_de_Política_de_Telecomunicaciones dirección_general_de_política_de_telecomunicaciones NP00000 1
y y CC 0.999989
de de SP 0.999961
Radiodifusión radiodifusión NP00000 1
adscrita adscribir VMP00SF 1
a a SP 0.998775
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
, , Fc 1
notificó notificar VMIS3S0 1
a a SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
el el DA0MS0 1
6_de_noviembre_de_2014 [??:6/11/2014:??.??:??] W 1
el el DA0MS0 1
oficio oficio NCMS000 0.986111
1.-295 1.-295 Z 1
de de SP 0.999961
esa ese DD0FS0 0.964505
misma mismo AQ0FS00 0.81684
fecha fecha NCFS000 0.990741
, , Fc 1
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
emitió emitir VMIS3S0 1
la el DA0FS0 0.98926
opinión opinión NCFS000 1
técnica técnico AQ0FS00 0.294798
en en SP 1
sentido sentido NCMS000 0.940835
favorable favorable AQ0CS00 1
. . Fp 1

Derivado derivar VMP00SM 0.623688
de de SP 0.999961
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
la el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Telecomunicaciones dirección_general_de_concesiones_de_telecomunicaciones NP00000 1
, , Fc 1
adscrita adscribir VMP00SF 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
, , Fc 1
concluyó concluir VMIS3S0 1
que que CS 0.449861
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
cumple cumplir VMIP3S0 0.994186
con con SP 1
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
establecidos establecer VMP00PM 1
en en SP 1
las el DA0FP0 0.988184
disposiciones disposición NCFP000 1
legales legal AQ0CP00 0.993827
, , Fc 1
reglamentarias reglamentario AQ0FP00 1
y y CC 0.999989
administrativas administrativo AQ0FP00 0.983871
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
. . Fp 1

Con con SP 1
base base NCCS000 0.963722
en en SP 1
el el DA0MS0 1
análisis análisis NCMN000 1
anterior anterior AQ0CS00 1
, , Fc 1
este este DD0MS0 0.949201
Pleno pleno NP00000 1
considera considerar VMIP3S0 0.998721
procedente procedente AQ0CS00 1
otorgar otorgar VMN0000 1
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
única único AQ0FS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
a a SP 0.998775
la el DA0FS0 0.98926
solicitante solicitante NCCS000 0.97619
. . Fp 1

Cuarto cuarto NCMS000 0.343537
. . Fp 1
- - Fg 1
Cobro cobro NCMS000 0.972603
sobre sobre SP 0.997804
el el DA0MS0 1
pago pago NCMS000 0.995283
de de SP 0.999961
aprovechamientos aprovechamiento NCMP000 1
por por SP 1
diversos diverso DI0MP0 0.938596
trámites trámite NCMP000 1
ante ante SP 0.999744
la el DA0FS0 0.98926
entrada entrada NCFS000 0.998008
en en SP 1
vigor vigor NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Derechos ley_federal_de_derechos NP00000 1
vigente vigente AQ0CS00 1
para para SP 0.999834
2016 2016 Z 1
. . Fp 1

El el DA0MS0 1
pasado_mes_de_diciembre [??:??/12/??:??.??:??] W 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
consideró considerar VMIS3S0 1
que que CS 0.449861
, , Fc 1
dado_que dado_que CS 1
el el DA0MS0 1
18_de_noviembre_de_2015 [??:18/11/2015:??.??:??] W 1
se se P00CN00 0.494509
había haber VAII3S0 0.499853
publicado publicar VMP00SM 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
“ “ Fra 1
Decreto decreto NCMS000 0.988439
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
, , Fc 1
adicionan adicionar VMIP3P0 1
y y CC 0.999989
derogan derogar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Derechos ley_federal_de_derechos NP00000 1
” ” Frc 1
, , Fc 1
mismo mismo PI0MS00 0.163706
que que PR0CN00 0.550139
entraría entrar VMIC3S0 0.65
en en SP 1
vigor vigor NCMS000 1
el el DA0MS0 1
1 1 Z 1
° ° Fz 1
de de SP 0.999961
enero_de_2016 [??:??/1/2016:??.??:??] W 1
, , Fc 1
resultaba resultar VMII3S0 0.65
pertinente pertinente AQ0CS00 1
que que CS 0.449861
a_partir_de a_partir_de SP 1
esa ese DD0FS0 0.964505
fecha fecha NCFS000 0.990741
, , Fc 1
dejará dejar VMIF3S0 1
de de SP 0.999961
aplicar aplicar VMN0000 1
se se PP3CN00 1
el el DA0MS0 1
“ “ Fra 1
