RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_MODIFICA_LA resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_modifica_la NP00000 1
CONSIDERANDO_PRIMERO considerando_primero NP00000 1
. . Fp 1
- - Fg 1
Cumplimiento cumplimiento NCMS000 0.668984
a a SP 0.998775
la el DA0FS0 0.98926
ejecutoria ejecutoria NCFS000 0.338898
de de SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
en en SP 1
revisión revisión NCFS000 1
R.A. r.a. NP00000 1
24/2016 24/2016 Z 1
. . Fp 1

Con con SP 1
fecha fecha NCFS000 0.990741
12_de_agosto_de_2015 [??:12/8/2015:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
emitió emitir VMIS3S0 1
la el DA0FS0 0.98926
“ “ Fra 1
RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_DETERMINA_LAS_CONDICIONES_DE_INTERCONEXIÓN_NO_CONVENIDAS_ENTRE_LAS_EMPRESAS_TELÉFONOS_DE_MÉXICO resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_determina_las_condiciones_de_interconexión_no_convenidas_entre_las_empresas_teléfonos_de_méxico NP00000 1
, , Fc 1
S.A.B._DE_C.V. s.a.b._de_c.v. NP00000 1
, , Fc 1
TELEFÓNOS_DE_EL_NOROESTE telefónos_de_el_noroeste NP00000 1
, , Fc 1
S.A._DE_C.V._Y_LA_EMPRESA_MAXCOM_TELECOMUNICACIONES s.a._de_c.v._y_la_empresa_maxcom_telecomunicaciones NP00000 1
, , Fc 1
S.A.B._DE_C.V. s.a.b._de_c.v. NP00000 1
, , Fc 1
APLICABLES_DE_EL aplicables_de_el NP00000 1
1_DE_ENERO [??:1/1/??:??.??:??] W 1
A_EL a_el NP00000 1
31_DE_DICIEMBRE_DE_2015 [??:31/12/2015:??.??:??] W 1
” ” Frc 1
, , Fc 1
aprobada aprobar VMP00SF 1
en en SP 1
su su DP3CSN 1
XVI_Sesión_Ordinaria xvi_sesión_ordinaria NP00000 1
, , Fc 1
mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
P/IFT/120815/351 P/IFT/120815/351 Z 1
. . Fp 1

En_consecuencia en_consecuencia RG 1
, , Fc 1
el el DA0MS0 1
14_de_septiembre_de_2015 [??:14/9/2015:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
apoderado apoderado NCMS000 0.788462
legal legal AQ0CS00 1
de de SP 0.999961
Telmex telmex NP00000 1
y y CC 0.999989
Telnor telnor NP00000 1
presentó presentar VMIS3S0 1
en en SP 1
la el DA0FS0 0.98926
Oficina_de_Correspondencia_Común_de_los_Juzgados_de_Distrito oficina_de_correspondencia_común_de_los_juzgados_de_distrito NP00000 1
y y CC 0.999989
Tribunales_Colegiados tribunales_colegiados NP00000 1
en en SP 1
Materia_Administrativa_Especializados materia_administrativa_especializados NP00000 1
en en SP 1
Competencia_Económica competencia_económica NP00000 1
, , Fc 1
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
Telecomunicaciones telecomunicaciones NP00000 1
, , Fc 1
escrito escribir VMP00SM 0.533113
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
demandó demandar VMIS3S0 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
y y CC 0.999989
protección protección NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
justicia justicia NCFS000 1
federal federal AQ0CS00 1
, , Fc 1
señalando señalar VMG0000 1
entre entre SP 0.980341
otros otro PI0MP00 0.254022
, , Fc 1
como como CS 0.967153
acto acto NCMS000 1
reclamado reclamar VMP00SM 1
la el DA0FS0 0.98926
resolución resolución NCFS000 1
citada citar VMP00SF 1
en en SP 1
el el DA0MS0 1
párrafo párrafo NCMS000 1
anterior anterior AQ0CS00 1
. . Fp 1

Mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
1_de_octubre_de_2015 [??:1/10/2015:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Juez_Primero_de_Distrito juez_primero_de_distrito NP00000 1
en en SP 1
Materia_Administrativa materia_administrativa NP00000 1
especializada especializar VMP00SF 1
en en SP 1
Competencia_Económica competencia_económica NP00000 1
, , Fc 1
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
Telecomunicaciones telecomunicaciones NP00000 1
con con SP 1
residencia residencia NCFS000 0.988439
en en SP 1
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
y y CC 0.999989
jurisdicción jurisdicción NCFS000 1
en en SP 1
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
República república NP00000 1
, , Fc 1
a a SP 0.998775
quien quien PR0CS00 1
por por SP 1
turno turno NCMS000 0.987805
correspondió corresponder VMIS3S0 1
conocer conocer VMN0000 1
de de SP 1
el el DA0MS0 1
asunto asunto NCMS000 1
, , Fc 1
radicó radicar VMIS3S0 1
la el DA0FS0 0.98926
demanda demanda NCFS000 0.967828
con con SP 1
el el DA0MS0 1
número número NCMS000 1
de de SP 0.999961
expediente expediente NCMS000 0.982759
1646/2015 1646/2015 Z 1
admitió admitir VMIS3S0 1
a a SP 0.998775
trámite trámite NCMS000 1
la el DA0FS0 0.98926
demanda demanda NCFS000 0.967828
de de SP 0.999961
amparo amparo NCMS000 0.986111
, , Fc 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
las el DA0FP0 0.988184
autoridades autoridad NCFP000 1
señaladas señalar VMP00PF 1
como como CS 0.967153
responsables responsable NCCP000 0.881944
su su DP3CSN 1
informe informe NCMS000 0.954286
justificado justificar VMP00SM 1
, , Fc 1
dio dar VMIS3S0 1
a a SP 1
el el DA0MS0 1
Agente_de_el_Ministerio_Público_de_la_Federación agente_de_el_ministerio_público_de_la_federación NP00000 1
la el DA0FS0 0.98926
intervención intervención NCFS000 1
que que PR0CN00 0.550139
le le PP3CSD0 1
compete competer VMIP3S0 0.989218
; ; Fx 1
y y CC 0.999989
seguidos seguir VMP00PM 1
los el DA0MP0 0.992728
trámites trámite NCMP000 1
de de SP 0.999961
ley ley NCFS000 1
, , Fc 1
el el DA0MS0 1
21_de_enero_de_2016 [??:21/1/2016:??.??:??] W 1
dictó dictar VMIS3S0 1
sentencia sentencia NCFS000 0.972286
. . Fp 1

Ahora_bien ahora_bien RG 1
, , Fc 1
dado_que dado_que CS 1
Telmex telmex NP00000 1
y y CC 0.999989
Telnor telnor NP00000 1
quedaron quedar VMIS3P0 1
inconformes inconforme AQ0CP00 0.661294
con con SP 1
la el DA0FS0 0.98926
sentencia sentencia NCFS000 0.972286
, , Fc 1
el el DA0MS0 1
12_de_febrero_de_2016 [??:12/2/2016:??.??:??] W 1
, , Fc 1
interpusieron interponer VMIS3P0 1
recurso recurso NCMS000 1
de de SP 0.999961
revisión revisión NCFS000 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
fue ser VSIS3S0 0.980739
turnado turnar VMP00SM 1
a a SP 1
el el DA0MS0 1
Segundo_Tribunal_Colegiado_de_Circuito segundo_tribunal_colegiado_de_circuito NP00000 1
en en SP 1
Materia_Administrativa_Especializado materia_administrativa_especializado NP00000 1
en en SP 1
Competencia_Económica competencia_económica NP00000 1
, , Fc 1
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
Telecomunicaciones telecomunicaciones NP00000 1
con con SP 1
residencia residencia NCFS000 0.988439
en en SP 1
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
y y CC 0.999989
jurisdicción jurisdicción NCFS000 1
en en SP 1
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
República república NP00000 1
, , Fc 1
admitiendo admitir VMG0000 1
se se PP3CN00 1
a a SP 0.998775
trámite trámite NCMS000 1
y y CC 0.999989
registrado registrar VMP00SM 1
bajo bajo SP 0.909179
el el DA0MS0 1
toca tocar VMIP3S0 0.98374
R.A. r.a. NP00000 1
24/2016 24/2016 Z 1
. . Fp 1

Los el DA0MP0 0.992728
autos auto NCMP000 1
fueron ser VSIS3P0 0.933213
turnados turnar VMP00PM 1
a a SP 1
el el DA0MS0 1
Magistrado magistrado NP00000 1
ponente ponente AQ0CS00 0.407448
para para SP 0.999834
la el DA0FS0 0.98926
formulación formulación NCFS000 1
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
de de SP 0.999961
resolución resolución NCFS000 1
correspondiente correspondiente AQ0CS00 0.993421
, , Fc 1
y y CC 0.999989
mediante mediante SP 0.99763
sesión sesión NCFS000 1
celebrada celebrar VMP00SF 1
el el DA0MS0 1
8_de_julio_de_2016 [??:8/7/2016:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
resolvió resolver VMIS3S0 1
: : Fd 1
“ “ Fra 1
PRIMERO 1 AO0MS00 0.685848
. . Fp 1

En en SP 1
la el DA0FS0 0.98926
materia materia NCFS000 1
competencia competencia NCFS000 1
de de SP 0.999961
este este DD0MS0 0.949201
tribunal tribunal NCMS000 1
, , Fc 1
se se P00CN00 0.494509
MODIFICA modifica NP00000 1
la el DA0FS0 0.98926
sentencia sentencia NCFS000 0.972286
recurrida recurrir VMP00SF 1
. . Fp 1

SEGUNDO 2 AO0MS00 0.900353
. . Fp 1

Se se P00CN00 0.494509
sobresee sobreseer VMIP3S0 0.974248
en en SP 1
el el DA0MS0 1
juicio juicio NCMS000 1
respecto_de respecto_de SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
54 54 Z 1
, , Fc 1
último último AO0MS00 1
párrafo párrafo NCMS000 1
; ; Fx 1
71 71 Z 1
; ; Fx 1
120 120 Z 1
; ; Fx 1
132 132 Z 1
, , Fc 1
fracción fracción NCFS000 1
II ii NP00000 1
; ; Fx 1
139 139 Z 1
, , Fc 1
último último AO0MS00 1
párrafo párrafo NCMS000 1
; ; Fx 1
144 144 Z 1
; ; Fx 1
145 145 Z 1
; ; Fx 1
147 147 Z 1
; ; Fx 1
267 267 Z 1
, , Fc 1
fracciones fracción NCFP000 0.998103
VI vi NP00000 1
, , Fc 1
XIV xiv NP00000 1
, , Fc 1
XVII xvii NP00000 1
y y CC 0.999989
XVIII xviii NP00000 1
; ; Fx 1
269 269 Z 1
, , Fc 1
fracciones fracción NCFP000 0.998103
I i NP00000 1
y y CC 0.999989
VII vii NP00000 1
; ; Fx 1
y y CC 0.999989
272 272 Z 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
así_como así_como CC 1
respecto_de respecto_de SP 1
el el DA0MS0 1
punto punto NCMS000 1
primero primero RG 0.313084
, , Fc 1
incisos inciso AQ0MP00 0.66108
a a SP 0.998775
, , Fc 1
b b NCFS000 1
, , Fc 1
d d NCFS000 1
y y CC 0.999989
e y CC 0.987994
, , Fc 1
de de SP 1
el el DA0MS0 1
‘ ‘ Fra 1
Acuerdo acuerdo NCMS000 0.991798
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
determina determinar VMIP3S0 0.989241
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
resultado resultado NCMS000 0.924877
de de SP 0.999961
la el DA0FS0 0.98926
metodología metodología NCFS000 1
para para SP 0.999834
el el DA0MS0 1
cálculo cálculo NCMS000 1
de de SP 0.999961
costos costo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
utilizará utilizar VMIF3S0 1
respecto_de respecto_de SP 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
aplicables aplicable AQ0CP00 1
a a SP 1
el el DA0MS0 1
año_2015 [??:??/??/2015:??.??:??] W 1
. . Fp 1
’ ’ Frc 1
, , Fc 1
publicado publicar VMP00SM 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
veintinueve_de_diciembre_de_dos [??:29/12/2:??.??:??] W 1
mi mi DP1CSS 0.999325
catorce 14 Z 1
. . Fp 1

TERCERO 3 AO0MS00 0.986928
. . Fp 1

Remitan remitir VMM03P0 1
se se PP3CN00 1
a a SP 0.998775
la el DA0FS0 0.98926
Honorable_Suprema_Corte_de_Justicia_de_la_Nación honorable_suprema_corte_de_justicia_de_la_nación NP00000 1
los el DA0MP0 0.992728
presentes presente AQ0CP00 0.856209
autos auto NCMP000 1
y y CC 0.999989
los el DA0MP0 0.992728
de de SP 1
el el DA0MS0 1
juicio juicio NCMS000 1
de de SP 0.999961
amparo amparo NCMS000 0.986111
de de SP 0.999961
origen origen NCMS000 1
, , Fc 1
así_como así_como CC 1
sus su DP3CPN 0.999903
anexos anexo NCMP000 0.638706
, , Fc 1
para para SP 0.999834
que que CS 0.449861
determine determinar VMSP3S0 0.634863
lo el DA00S0 0.665165
que que PR0CN00 0.550139
considere considerar VMSP3S0 0.493976
pertinente pertinente AQ0CS00 1
respecto_de respecto_de SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
2 2 Z 1
, , Fc 1
3 3 Z 1
, , Fc 1
último último AO0MS00 1
párrafo párrafo NCMS000 1
, , Fc 1
15 15 Z 1
, , Fc 1
fracciones fracción NCFP000 0.998103
I i NP00000 1
y y CC 0.999989
IX ix NP00000 1
, , Fc 1
118 118 Z 1
, , Fc 1
124 124 Z 1
, , Fc 1
fracción fracción NCFS000 1
II ii NP00000 1
, , Fc 1
125 125 Z 1
, , Fc 1
131 131 Z 1
, , Fc 1
137 137 Z 1
y y CC 0.999989
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
. . Fp 1
” ” Frc 1
En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
, , Fc 1
la el DA0FS0 0.98926
Suprema_Corte_de_Justicia_de_la_Nación suprema_corte_de_justicia_de_la_nación NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
“ “ Fra 1
SCJN scjn NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
asumió asumir VMIS3S0 1
la el DA0FS0 0.98926
competencia competencia NCFS000 1
originaria originario AQ0FS00 1
para para SP 0.999834
conocer conocer VMN0000 1
de de SP 1
el el DA0MS0 1
recurso recurso NCMS000 1
de de SP 0.999961
revisión revisión NCFS000 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
registró registrar VMIS3S0 1
bajo bajo SP 0.909179
el el DA0MS0 1
expediente expediente NCMS000 0.982759
836/2016 836/2016 Z 1
, , Fc 1
y y CC 0.999989
mediante mediante SP 0.99763
ejecutoria ejecutoria NCFS000 0.338898
de de SP 0.999961
fecha fecha NCFS000 0.990741
5_de_julio_de_2017 [??:5/7/2017:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Segunda_Sala_de_la_SCJN segunda_sala_de_la_scjn NP00000 1
resolvió resolver VMIS3S0 1
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
“ “ Fra 1
PRIMERO 1 AO0MS00 0.685848
. . Fp 1

En en SP 1
la el DA0FS0 0.98926
materia materia NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
revisión revisión NCFS000 1
, , Fc 1
se se P00CN00 0.494509
modifica modificar VMIP3S0 0.973451
la el DA0FS0 0.98926
sentencia sentencia NCFS000 0.972286
recurrida recurrir VMP00SF 1
. . Fp 1

SEGUNDO 2 AO0MS00 0.900353
. . Fp 1

Respecto_de respecto_de SP 1
Teléfonos_de_México teléfonos_de_méxico NP00000 1
, , Fc 1
Sociedad_Anónima_Bursátil_de_Capital_Variable sociedad_anónima_bursátil_de_capital_variable NP00000 1
, , Fc 1
se se P00CN00 0.494509
sobresee sobreseer VMIP3S0 0.974248
en en SP 1
el el DA0MS0 1
juicio juicio NCMS000 1
en en SP 1
relación relación NCFS000 1
con con SP 1
os o NCFP000 0.174603
artículos artículo NCMP000 1
2 2 Z 1
, , Fc 1
3 3 Z 1
, , Fc 1
último último AO0MS00 1
párrafo párrafo NCMS000 1
, , Fc 1
15fracciones 15fracciones Z 1
I i NP00000 1
y y CC 0.999989
IX ix NP00000 1
, , Fc 1
118 118 Z 1
, , Fc 1
124 124 Z 1
, , Fc 1
fracción fracción NCFS000 1
II ii NP00000 1
, , Fc 1
125 125 Z 1
, , Fc 1
131 131 Z 1
y y CC 0.999989
137 137 Z 1
, , Fc 1
y y CC 0.999989
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
, , Fc 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
así_como así_como CC 1
de de SP 1
el el DA0MS0 1
numeral numeral NCMS000 0.349312
1 1 Z 1
de de SP 1
el el DA0MS0 1
Estatuto_Orgánico_de_el_Instituto_Federal_de_Telecomunicaciones estatuto_orgánico_de_el_instituto_federal_de_telecomunicaciones NP00000 1
. . Fp 1

TERCERO 3 AO0MS00 0.986928
. . Fp 1

Respecto_de respecto_de SP 1
Teléfonos_de_el_Noroeste teléfonos_de_el_noroeste NP00000 1
, , Fc 1
Sociedad_Anónima_de_Capital_Variable sociedad_anónima_de_capital_variable NP00000 1
, , Fc 1
se se P00CN00 0.494509
sobresee sobreseer VMIP3S0 0.974248
en en SP 1
el el DA0MS0 1
juicio juicio NCMS000 1
respecto_de respecto_de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
118 118 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
. . Fp 1

CUARTO cuarto NCMS000 0.343537
. . Fp 1

La el DA0FS0 0.98926
Justicia_de_la_Unión justicia_de_la_unión NP00000 1
no no RN 0.999297
ampara amparar VMIP3S0 0.989241
no no RN 0.999297
protege proteger VMIP3S0 0.989241
a a SP 0.998775
Teléfonos_de_el_Noroeste teléfonos_de_el_noroeste NP00000 1
, , Fc 1
Sociedad_Anónima_de_Capital_Variable sociedad_anónima_de_capital_variable NP00000 1
, , Fc 1
en_contra_de en_contra_de SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
2 2 Z 1
, , Fc 1
3 3 Z 1
, , Fc 1
último último AO0MS00 1
párrafo párrafo NCMS000 1
, , Fc 1
15fracciones 15fracciones Z 1
I i NP00000 1
y y CC 0.999989
IX ix NP00000 1
, , Fc 1
124 124 Z 1
, , Fc 1
fracción fracción NCFS000 1
II ii NP00000 1
, , Fc 1
125 125 Z 1
, , Fc 1
131 131 Z 1
, , Fc 1
137 137 Z 1
y y CC 0.999989
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
, , Fc 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
1 1 Z 1
de de SP 1
el el DA0MS0 1
Estatuto_Orgánico_de_el_Instituto_Federal_de_Telecomunicaciones estatuto_orgánico_de_el_instituto_federal_de_telecomunicaciones NP00000 1
. . Fp 1

QUINTO quinto NCMS000 0.262887
. . Fp 1

Queda quedar VMIP3S0 0.943529
sin sin SP 1
materia materia NCFS000 1
la el DA0FS0 0.98926
revisión revisión NCFS000 1
adhesiva adhesivo AQ0FS00 1
en en SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
toca tocar VMIP3S0 0.98374
a a SP 0.998775
la el DA0FS0 0.98926
competencia competencia NCFS000 1
de de SP 0.999961
esta este DD0FS0 0.978817
Segunda_Sala_de_la_Suprema_Corte_de_Justicia_de_la_Nación segunda_sala_de_la_suprema_corte_de_justicia_de_la_nación NP00000 1
. . Fp 1

SEXTO sexto NP00000 0.0120482
. . Fp 1

Se se P00CN00 0.494509
reserva reservar VMIP3S0 0.157895
jurisdicción jurisdicción NCFS000 1
a a SP 1
el el DA0MS0 1
Segundo_Tribunal_Colegiado segundo_tribunal_colegiado NP00000 1
en en SP 1
Materia_Administrativa_Especializado_Competencia_Económica materia_administrativa_especializado_competencia_económica NP00000 1
, , Fc 1
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
Telecomunicaciones telecomunicaciones NP00000 1
, , Fc 1
con con SP 1
residencia residencia NCFS000 0.988439
en en SP 1
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
y y CC 0.999989
Jurisdicción jurisdicción NP00000 1
en en SP 1
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
República república NP00000 1
, , Fc 1
para para SP 0.999834
los el DA0MP0 0.992728
efectos efecto NCMP000 1
precisados precisar VMP00PM 1
en en SP 1
esta este DD0FS0 0.978817
ejecutoria ejecutoria NCFS000 0.338898
. . Fp 1
” ” Frc 1
En_virtud_de en_virtud_de SP 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
y y CC 0.999989
en en SP 1
cumplimiento cumplimiento NCMS000 1
a a SP 0.998775
lo el DA00S0 0.665165
ordenado ordenar VMP00SM 1
por por SP 1
la el DA0FS0 0.98926
Segunda_Sala_de_la_Suprema_Corte_de_Justicia_de_la_Nación segunda_sala_de_la_suprema_corte_de_justicia_de_la_nación NP00000 1
, , Fc 1
el el DA0MS0 1
Segundo_Tribunal_Colegiado_de_Circuito segundo_tribunal_colegiado_de_circuito NP00000 1
en en SP 1
Materia_Administrativa_Especializado materia_administrativa_especializado NP00000 1
en en SP 1
Competencia_Económica competencia_económica NP00000 1
, , Fc 1
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
Telecomunicaciones telecomunicaciones NP00000 1
con con SP 1
residencia residencia NCFS000 0.988439
en en SP 1
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
y y CC 0.999989
jurisdicción jurisdicción NCFS000 1
en en SP 1
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
República república NP00000 1
, , Fc 1
asumió asumir VMIS3S0 1
la el DA0FS0 0.98926
competencia competencia NCFS000 1
para para SP 0.999834
seguir seguir VMN0000 1
conociendo conocer VMG0000 1
de de SP 1
el el DA0MS0 1
asunto asunto NCMS000 1
, , Fc 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
en en SP 1
su su DP3CSN 1
ejecutoria ejecutoria NCFS000 0.338898
de de SP 0.999961
fecha fecha NCFS000 0.990741
18_de_enero_de_2018 [??:18/1/2018:??.??:??] W 1
, , Fc 1
consideró considerar VMIS3S0 1
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
« « Fra 1
CUARTO cuarto NCMS000 0.343537
. . Fp 1

Considerando considerar VMG0000 0.78125
que que CS 0.449861
respecto_de respecto_de SP 1
las el DA0FP0 0.988184
dos 2 Z 0.999868
quejosas quejoso AQ0FP00 1
Teléfonos_de_México teléfonos_de_méxico NP00000 1
, , Fc 1
sociedad sociedad NCFS000 1
anónima anónimo AQ0FS00 1
bursátil bursátil AQ0CS00 1
de de SP 0.999961
capital capital NCCS000 0.949605
variable variable AQ0CS00 0.661294
y y CC 0.999989
Teléfonos_de_el_Noroeste teléfonos_de_el_noroeste NP00000 1
, , Fc 1
sociedad sociedad NCFS000 1
anónima anónimo AQ0FS00 1
de de SP 0.999961
capital capital NCCS000 0.949605
variable variable AQ0CS00 0.661294
, , Fc 1
se se P00CN00 0.494509
ha haber VAIP3S0 0.999889
sobreseído sobreseer VMP00SM 1
en en SP 1
el el DA0MS0 1
juicio juicio NCMS000 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
hace hacer VMIP3S0 1
a a SP 1
el el DA0MS0 1
Acuerdo_de_Tarifas acuerdo_de_tarifas NP00000 1
2015 2015 Z 1
reclamado reclamar VMP00SM 1
, , Fc 1
a a SP 0.998775
continuación continuación NCFS000 1
, , Fc 1
se se P00CN00 0.494509
aborda abordar VMIP3S0 0.989234
el el DA0MS0 1
estudio estudio NCMS000 0.97043
de de SP 0.999961
los el DA0MP0 0.992728
agravios agravio NCMP000 1
en_contra_de en_contra_de SP 1
la el DA0FS0 0.98926
parte parte NCCS000 0.977711
de de SP 0.999961
la el DA0FS0 0.98926
sentencia sentencia NCFS000 0.972286
en en SP 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
se se P00CN00 0.494509
negó negar VMIS3S0 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
a a SP 0.998775
dichas dicha NCFP000 0.0192308
quejosas quejoso AQ0FP00 1
contra contra SP 0.984245
la el DA0FS0 0.98926
resolución resolución NCFS000 1
en en SP 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
se se P00CN00 0.494509
negó negar VMIS3S0 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
a a SP 0.998775
dichas dicha NCFP000 0.0192308
quejosas quejoso AQ0FP00 1
contra contra SP 0.984245
la el DA0FS0 0.98926
resolución resolución NCFS000 1
que que PR0CN00 0.550139
puso poner VMIS3S0 1
fin fin NCMS000 1
a a SP 1
el el DA0MS0 1
desacuerdo desacuerdo NCMS000 0.97619
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
Por por NP00000 1
lo el DA00S0 0.665165
demás demás PI0CP00 0.719907
, , Fc 1
son ser VSIP3P0 0.995197
esencialmente esencialmente RG 1
fundados fundar VMP00PM 1
los el DA0MP0 0.992728
agravios agravio NCMP000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
analizan analizar VMIP3P0 1
en_tanto_que en_tanto_que CS 1
las el DA0FP0 0.988184
quejosas quejoso AQ0FP00 1
Teléfonos_de_México teléfonos_de_méxico NP00000 1
, , Fc 1
sociedad sociedad NCFS000 1
anónima anónimo AQ0FS00 1
bursátil bursátil AQ0CS00 1
de de SP 0.999961
capital capital NCCS000 0.949605
variable variable AQ0CS00 0.661294
y y CC 0.999989
Teléfonos_de_el_Noroeste teléfonos_de_el_noroeste NP00000 1
, , Fc 1
sociedad sociedad NCFS000 1
anónima anónimo AQ0FS00 1
de de SP 0.999961
capital capital NCCS000 0.949605
variable variable AQ0CS00 0.661294
afirman afirmar VMIP3P0 1
que que CS 0.449861
la el DA0FS0 0.98926
autoridad autoridad NCFS000 1
responsable responsable AQ0CS00 0.241697
y y CC 0.999989
la el DA0FS0 0.98926
juez juez NCCS000 1
federal federal AQ0CS00 1
de de SP 1
el el DA0MS0 1
conocimiento conocimiento NCMS000 1
parten partir VMIP3P0 1
de de SP 0.999961
una uno DI0FS0 0.951973
incorrecta incorrecto AQ0FS00 1
interpretación interpretación NCFS000 1
de de SP 1
el el DA0MS0 1
segundo 2 AO0MS00 0.901147
