RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_A_FAVOR_DE_EL_GOBIERNO_DE_EL_ESTADO_DE_MICHOACÁN_DE_OCAMPO_UNA_CONCESIÓN_PARA_USAR_Y_APROVECHAR_BANDAS_DE_FRECUENCIA_DE_EL_ESPECTRO_RADIOELÉCTRICO_PARA_USO_PÚBLICO resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_a_favor_de_el_gobierno_de_el_estado_de_michoacán_de_ocampo_una_concesión_para_usar_y_aprovechar_bandas_de_frecuencia_de_el_espectro_radioeléctrico_para_uso_público NP00000 1
Ley ley NP00000 1
distingue distinguir VMIP3S0 0.989241
a a SP 0.998775
la el DA0FS0 0.98926
Concesión_Única concesión_única NP00000 1
, , Fc 1
necesaria necesario AQ0FS00 1
para para SP 0.999834
prestar prestar VMN0000 1
todo todo DI0MS0 0.6662
tipo tipo NCMS000 1
de de SP 0.999961
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
en en SP 1
cuatro 4 Z 1
tipos tipo NCMP000 1
de_acuerdo_con de_acuerdo_con SP 1
sus su DP3CPN 0.999903
fines fin NCMP000 0.994186
: : Fd 1
comercial comercial AQ0CS00 1
, , Fc 1
pública público AQ0FS00 1
, , Fc 1
privada privar VMP00SF 0.936047
o o CC 0.999864
social social AQ0CS00 0.998783
. . Fp 1

En en SP 1
particular particular AQ0CS00 0.827869
, , Fc 1
dispone disponer VMIP3S0 1
que que CS 0.449861
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
para para SP 0.999834
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
confieren conferir VMIP3P0 1
a a SP 0.998775
los el DA0MP0 0.992728
Poderes_de_la_Unión poderes_de_la_unión NP00000 1
, , Fc 1
de de SP 0.999961
los el DA0MP0 0.992728
Estados estados NP00000 1
, , Fc 1
los el DA0MP0 0.992728
órganos órgano NCMP000 1
de de SP 0.999961
Gobierno_de_el_Distrito_Federal gobierno_de_el_distrito_federal NP00000 1
, , Fc 1
los el DA0MP0 0.992728
Municipios municipios NP00000 1
, , Fc 1
los el DA0MP0 0.992728
órganos órgano NCMP000 1
constitucionales constitucional AQ0CP00 1
autónomos autónomo AQ0MP00 0.661294
y y CC 0.999989
las el DA0FP0 0.988184
instituciones institución NCFP000 1
de de SP 0.999961
educación educación NCFS000 1
superior superior AQ0CS00 0.971939
de de SP 0.999961
carácter carácter NCMS000 1
público público AQ0MS00 0.409696
, , Fc 1
el el DA0MS0 1
derecho derecho NCMS000 0.882166
de de SP 0.999961
prestar prestar VMN0000 1
servicios servicio NCMP000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
telecomunicaciones telecomunicación NCFP000 1
para para SP 0.999834
lograr lograr VMN0000 1
el el DA0MS0 1
cumplimiento cumplimiento NCMS000 1
de de SP 0.999961
sus su DP3CPN 0.999903
propios propio AQ0MP00 0.956349
fines fin NCMP000 0.994186
y y CC 0.999989
atribuciones atribución NCFP000 1
, , Fc 1
sin sin SP 1
fines fin NCMP000 0.994186
de de SP 0.999961
lucro lucro NCMS000 0.989726
, , Fc 1
como como CS 0.967153
se se P00CN00 0.494509
advierte advertir VMIP3S0 0.991071
de de SP 0.999961
la el DA0FS0 0.98926
lectura lectura NCFS000 1
siguiente siguiente AQ0CS00 1
: : Fd 1
“ “ Fra 1
Artículo artículo NCMS000 0.668984
67 67 Z 1
. . Fp 1

De_acuerdo_con de_acuerdo_con SP 1
sus su DP3CPN 0.999903
fines fin NCMP000 0.994186
, , Fc 1
la el DA0FS0 0.98926
concesión concesión NCFS000 1
única único AQ0FS00 1
será ser VSIF3S0 1
: : Fd 1
( ( Fpa 1
... ... Fs 1
) ) Fpt 1
II ii NP00000 1
. . Fp 1

Para para SP 0.999834
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
: : Fd 1
Confiere conferir VMIP3S0 0.989239
el el DA0MS0 1
derecho derecho NCMS000 0.882166
a a SP 0.998775
los el DA0MP0 0.992728
Poderes_de_la_Unión poderes_de_la_unión NP00000 1
, , Fc 1
de de SP 0.999961
los el DA0MP0 0.992728
Estados estados NP00000 1
, , Fc 1
los el DA0MP0 0.992728
órganos órgano NCMP000 1
de de SP 0.999961
Gobierno_de_el_Distrito_Federal gobierno_de_el_distrito_federal NP00000 1
, , Fc 1
los el DA0MP0 0.992728
Municipios municipios NP00000 1
, , Fc 1
los el DA0MP0 0.992728
órganos órgano NCMP000 1
constitucionales constitucional AQ0CP00 1
autónomos autónomo AQ0MP00 0.661294
y y CC 0.999989
las el DA0FP0 0.988184
instituciones institución NCFP000 1
de de SP 0.999961
educación educación NCFS000 1
superior superior AQ0CS00 0.971939
de de SP 0.999961
carácter carácter NCMS000 1
público público AQ0MS00 0.409696
para para SP 0.999834
proveer proveer VMN0000 1
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
para para SP 0.999834
el el DA0MS0 1
cumplimiento cumplimiento NCMS000 1
de de SP 0.999961
sus su DP3CPN 0.999903
fines fin NCMP000 0.994186
y y CC 0.999989
atribuciones atribución NCFP000 1
. . Fp 1

Bajo bajo SP 0.909179
este este DD0MS0 0.949201
tipo tipo NCMS000 1
de de SP 0.999961
concesiones concesión NCFP000 1
se se P00CN00 0.494509
incluyen incluir VMIP3P0 1
a a SP 0.998775
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
o o CC 0.999864
permisionarios permisionario NCMP000 0.62798
de de SP 0.999961
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
, , Fc 1
distintos distinto AQ0MP00 0.321429
a a SP 0.998775
los el DA0MP0 0.992728
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
o o CC 0.999864
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
, , Fc 1
cuando cuando CS 0.86298
éstas este PD0FP00 1
sean ser VSSP3P0 0.996689
necesarias necesario AQ0FP00 1
para para SP 0.999834
la el DA0FS0 0.98926
operación operación NCFS000 1
y y CC 0.999989
seguridad seguridad NCFS000 1
de de SP 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
que que CS 0.449861
se se P00CN00 0.494509
trate tratar VMSP3S0 0.495935
. . Fp 1

En en SP 1
este este DD0MS0 0.949201
tipo tipo NCMS000 1
de de SP 0.999961
concesiones concesión NCFP000 1
no no RN 0.999297
se se P00CN00 0.494509
podrán poder VMIF3P0 1
explotar explotar VMN0000 1
o o CC 0.999864
prestar prestar VMN0000 1
con con SP 1
fines fin NCMP000 0.994186
de de SP 0.999961
lucro lucro NCMS000 0.989726
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
o o CC 0.999864
capacidad capacidad NCFS000 1
de de SP 0.999961
red red NCFS000 1
, , Fc 1
de_lo_contrario de_lo_contrario RG 1
, , Fc 1
deberán deber VMIF3P0 1
obtener obtener VMN0000 1
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
; ; Fx 1
( ( Fpa 1
… … Fz 1
) ) Fpt 1
” ” Frc 1
A a SP 0.998775
su su DP3CSN 1
vez vez NCFS000 1
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
76 76 Z 1
de de SP 1
el el DA0MS0 1
mismo mismo AQ0MS00 0.802208
ordenamiento ordenamiento NCMS000 1
legal legal AQ0CS00 1
establece establecer VMIP3S0 0.992424
los el DA0MP0 0.992728
tipos tipo NCMP000 1
de de SP 0.999961
concesiones concesión NCFP000 1
sobre sobre SP 0.997804
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
que que PR0CN00 0.550139
confieren conferir VMIP3P0 1
el el DA0MS0 1
derecho derecho NCMS000 0.882166
de de SP 0.999961
usar usar VMN0000 1
, , Fc 1
aprovechar aprovechar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
de de SP 0.999961
uso uso NCMS000 0.998047
determinado determinar VMP00SM 1
, , Fc 1
para para SP 0.999834
lo el DA00S0 0.665165
cual cual PR0CS00 0.930743
prevé prever VMIP3S0 0.967836
que que CS 0.449861
sean ser VSSP3P0 0.996689
de de SP 0.999961
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
, , Fc 1
público público AQ0MS00 0.409696
, , Fc 1
privado privar VMP00SM 0.99569
o o CC 0.999864
social social AQ0CS00 0.998783
. . Fp 1

Por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
hace hacer VMIP3S0 1
a a SP 1
el el DA0MS0 1
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
, , Fc 1
la el DA0FS0 0.98926
fracción fracción NCFS000 1
II ii NP00000 1
de de SP 1
el el DA0MS0 1
propio propio AQ0MS00 0.998575
artículo artículo NCMS000 1
76 76 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
dispone disponer VMIP3S0 1
que que CS 0.449861
éstas este PD0FP00 1
únicamente únicamente RG 1
se se P00CN00 0.494509
otorgan otorgar VMIP3P0 1
a a SP 0.998775
los el DA0MP0 0.992728
Poderes_de_la_Unión poderes_de_la_unión NP00000 1
, , Fc 1
de de SP 0.999961
los el DA0MP0 0.992728
Estados estados NP00000 1
, , Fc 1
los el DA0MP0 0.992728
órganos órgano NCMP000 1
de de SP 0.999961
Gobierno_de_el_Distrito_Federal gobierno_de_el_distrito_federal NP00000 1
, , Fc 1
los el DA0MP0 0.992728
Municipios municipios NP00000 1
, , Fc 1
los el DA0MP0 0.992728
órganos órgano NCMP000 1
constitucionales constitucional AQ0CP00 1
autónomos autónomo AQ0MP00 0.661294
y y CC 0.999989
las el DA0FP0 0.988184
instituciones institución NCFP000 1
de de SP 0.999961
educación educación NCFS000 1
superior superior AQ0CS00 0.971939
de de SP 0.999961
carácter carácter NCMS000 1
público público AQ0MS00 0.409696
sin sin SP 1
que que CS 0.449861
pueda poder VMSP3S0 0.499421
usar usar VMN0000 1
se se PP3CN00 1
, , Fc 1
aprovechar aprovechar VMN0000 1
se se PP3CN00 1
o o CC 0.999864
explotar explotar VMN0000 1
se se PP3CN00 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
con con SP 1
fines fin NCMP000 0.994186
de de SP 0.999961
lucro lucro NCMS000 0.989726
, , Fc 1
como como CS 0.967153
se se P00CN00 0.494509
lee leer VMIP3S0 0.989235
a a SP 0.998775
continuación continuación NCFS000 1
: : Fd 1
“ “ Fra 1
Artículo artículo NCMS000 0.668984
76 76 Z 1
. . Fp 1

De_acuerdo_con de_acuerdo_con SP 1
sus su DP3CPN 0.999903
fines fin NCMP000 0.994186
, , Fc 1
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
este este DD0MS0 0.949201
capítulo capítulo NCMS000 1
serán ser VSIF3P0 1
: : Fd 1
( ( Fpa 1
… … Fz 1
) ) Fpt 1
II ii NP00000 1
. . Fp 1

Para para SP 0.999834
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
: : Fd 1
Confiere conferir VMIP3S0 0.989239
el el DA0MS0 1
derecho derecho NCMS000 0.882166
a a SP 0.998775
los el DA0MP0 0.992728
Poderes_de_la_Unión poderes_de_la_unión NP00000 1
, , Fc 1
de de SP 0.999961
los el DA0MP0 0.992728
Estados estados NP00000 1
, , Fc 1
los el DA0MP0 0.992728
órganos órgano NCMP000 1
de de SP 0.999961
Gobierno_de_el_Distrito_Federal gobierno_de_el_distrito_federal NP00000 1
, , Fc 1
los el DA0MP0 0.992728
Municipios municipios NP00000 1
, , Fc 1
los el DA0MP0 0.992728
órganos órgano NCMP000 1
constitucionales constitucional AQ0CP00 1
autónomos autónomo AQ0MP00 0.661294
y y CC 0.999989
las el DA0FP0 0.988184
instituciones institución NCFP000 1
de de SP 0.999961
educación educación NCFS000 1
superior superior AQ0CS00 0.971939
de de SP 0.999961
carácter carácter NCMS000 1
público público AQ0MS00 0.409696
para para SP 0.999834
proveer proveer VMN0000 1
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
para para SP 0.999834
el el DA0MS0 1
cumplimiento cumplimiento NCMS000 1
de de SP 0.999961
sus su DP3CPN 0.999903
fines fin NCMP000 0.994186
y y CC 0.999989
atribuciones atribución NCFP000 1
. . Fp 1

Bajo bajo SP 0.909179
este este DD0MS0 0.949201
tipo tipo NCMS000 1
de de SP 0.999961
concesiones concesión NCFP000 1
se se P00CN00 0.494509
incluyen incluir VMIP3P0 1
a a SP 0.998775
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
o o CC 0.999864
permisionarios permisionario NCMP000 0.62798
de de SP 0.999961
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
, , Fc 1
distintos distinto AQ0MP00 0.321429
a a SP 0.998775
los el DA0MP0 0.992728
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
o o CC 0.999864
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
, , Fc 1
cuando cuando CS 0.86298
éstas este PD0FP00 1
sean ser VSSP3P0 0.996689
necesarias necesario AQ0FP00 1
para para SP 0.999834
la el DA0FS0 0.98926
operación operación NCFS000 1
y y CC 0.999989
seguridad seguridad NCFS000 1
de de SP 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
que que CS 0.449861
se se P00CN00 0.494509
trate tratar VMSP3S0 0.495935
. . Fp 1

En en SP 1
este este DD0MS0 0.949201
tipo tipo NCMS000 1
de de SP 0.999961
concesiones concesión NCFP000 1
no no RN 0.999297
se se P00CN00 0.494509
podrán poder VMIF3P0 1
usar usar VMN0000 1
, , Fc 1
aprovechar aprovechar VMN0000 1
o o CC 0.999864
explotar explotar VMN0000 1
con con SP 1
fines fin NCMP000 0.994186
de de SP 0.999961
lucro lucro NCMS000 0.989726
, , Fc 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
de de SP 0.999961
uso uso NCMS000 0.998047
determinado determinar VMP00SM 1
o o CC 0.999864
para para SP 0.999834
la el DA0FS0 0.98926
ocupación ocupación NCFS000 1
o o CC 0.999864
explotación explotación NCFS000 1
de de SP 0.999961
recursos recurso NCMP000 1
orbitales orbital NCMP000 0.968254
, , Fc 1
de_lo_contrario de_lo_contrario RG 1
deberán deber VMIF3P0 1
obtener obtener VMN0000 1
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
; ; Fx 1
( ( Fpa 1
… … Fz 1
) ) Fpt 1
” ” Frc 1
Adicionalmente adicionalmente RG 1
, , Fc 1
tratando tratar VMG0000 1
se se PP3CN00 1
de de SP 0.999961
concesiones concesión NCFP000 1
sobre sobre SP 0.997804
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
o o CC 0.999864
social social AQ0CS00 0.998783
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
la el DA0FS0 0.98926
Constitución constitución NP00000 1
, , Fc 1
la el DA0FS0 0.98926
Ley ley NP00000 1
prescribe prescribir VMIP3S0 0.989241
que que CS 0.449861
su su DP3CSN 1
otorgamiento otorgamiento NCMS000 1
debe deber VMIP3S0 0.998712
realizar realizar VMN0000 1
se se PP3CN00 1
mediante mediante SP 0.99763
asignación asignación NCFS000 1
directa directo AQ0FS00 1
, , Fc 1
esto este PD00S00 1
es ser VSIP3S0 1
, , Fc 1
mediante mediante SP 0.99763
un uno DI0MS0 0.99698
mecanismo mecanismo NCMS000 1
que que PR0CN00 0.550139
no no RN 0.999297
involucra involucrar VMIP3S0 0.979074
un uno DI0MS0 0.99698
procedimiento procedimiento NCMS000 1
de de SP 0.999961
licitación licitación NCFS000 1
o o CC 0.999864
concurso concurso NCMS000 0.991803
de de SP 0.999961
carácter carácter NCMS000 1
público público AQ0MS00 0.409696
. . Fp 1

En en SP 1
este este DD0MS0 0.949201
mecanismo mecanismo NCMS000 1
únicamente únicamente RG 1
pueden poder VMIP3P0 1
intervenir intervenir VMN0000 1
como como CS 0.967153
solicitantes solicitante NCCP000 0.625012
los el DA0MP0 0.992728
poderes poder NCMP000 1
públicos público AQ0MP00 0.974537
y y CC 0.999989
demás demás DI0CP0 0.280093
personas persona NCFP000 0.999585
jurídicas jurídico AQ0FP00 1
de de SP 0.999961
carácter carácter NCMS000 1
público público AQ0MS00 0.409696
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
la el DA0FS0 0.98926
fracción fracción NCFS000 1
II ii NP00000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
76 76 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
. . Fp 1

Por por SP 1
su su DP3CSN 1
parte parte NCCS000 0.977711
, , Fc 1
el el DA0MS0 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
75 75 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
establece establecer VMIP3S0 0.992424
que que CS 0.449861
cuando cuando CS 0.86298
la el DA0FS0 0.98926
explotación explotación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
servicios servicio NCMP000 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
la el DA0FS0 0.98926
concesión concesión NCFS000 1
sobre sobre SP 0.997804
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
requiera requerir VMSP3S0 0.592006
de de SP 0.999961
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
única único AQ0FS00 1
, , Fc 1
ésta este PD0FS00 1
se se P00CN00 0.494509
otorgará otorgar VMIF3S0 1
en en SP 1
el el DA0MS0 1
mismo mismo AQ0MS00 0.802208
acto acto NCMS000 1
administrativo administrativo AQ0MS00 0.661294
, , Fc 1
salvo salvo SP 0.850649
que que CS 0.449861
el el DA0MS0 1
concesionario concesionario NCMS000 0.488737
ya ya RG 0.999785
cuente contar VMSP3S0 0.493976
con con SP 1
una uno DI0FS0 0.951973
. . Fp 1

Por_otro_lado por_otro_lado RG 1
, , Fc 1
en_cuanto_a en_cuanto_a SP 1
la el DA0FS0 0.98926
vigencia vigencia NCFS000 1
que que PR0CN00 0.550139
la el DA0FS0 0.98926
Ley ley NP00000 1
permite permitir VMIP3S0 0.997312
para para SP 0.999834
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
de de SP 0.999961
carácter carácter NCMS000 1
público público AQ0MS00 0.409696
se se P00CN00 0.494509
prevé prever VMIP3S0 0.967836
que que CS 0.449861
su su DP3CSN 1
concesionamiento concesionamiento NCMS000 0.981144
puede poder VMIP3S0 0.999693
realizar realizar VMN0000 1
se se PP3CN00 1
hasta hasta SP 0.922749
por por SP 1
quince 15 Z 1
años año NCMP000 1
y y CC 0.999989
que que PR0CN00 0.550139
pueden poder VMIP3P0 1
prorrogar prorrogar VMN0000 1
se se PP3CN00 1
hasta hasta SP 0.922749
por por SP 1
plazos plazo NCMP000 1
iguales igual AQ0CP00 0.972603
. . Fp 1

A a SP 1
el el DA0MS0 1
respecto respecto NCMS000 0.989726
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
83 83 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
expresamente expresamente RG 1
dispone disponer VMIP3S0 1
: : Fd 1
“ “ Fra 1
Artículo artículo NCMS000 0.668984
83 83 Z 1
. . Fp 1

Las el DA0FP0 0.988184
concesiones concesión NCFP000 1
sobre sobre SP 0.997804
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
o o CC 0.999864
social social AQ0CS00 0.998783
se se P00CN00 0.494509
otorgarán otorgar VMIF3P0 1
mediante mediante SP 0.99763
asignación asignación NCFS000 1
directa directo AQ0FS00 1
hasta hasta SP 0.922749
por por SP 1
quince 15 Z 1
años año NCMP000 1
y y CC 0.999989
podrán poder VMIF3P0 1
ser ser VSN0000 0.959637
prorrogadas prorrogar VMP00PF 1
hasta hasta SP 0.922749
por por SP 1
plazos plazo NCMP000 1
iguales igual AQ0CP00 0.972603
, , Fc 1
conforme conforme CS 0.0981559
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
el el DA0MS0 1
Capítulo_VI capítulo_vi NP00000 1
de de SP 0.999961
este este DD0MS0 0.949201
Título título NP00000 1
. . Fp 1

Bajo bajo SP 0.909179
esta este DD0FS0 0.978817
modalidad modalidad NCFS000 1
de de SP 0.999961
concesiones concesión NCFP000 1
no no RN 0.999297
se se P00CN00 0.494509
podrán poder VMIF3P0 1
prestar prestar VMN0000 1
servicios servicio NCMP000 1
con con SP 1
fines fin NCMP000 0.994186
de de SP 0.999961
lucro lucro NCMS000 0.989726
, , Fc 1
ni ni CC 0.834853
compartir compartir VMN0000 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
con con SP 1
terceros tercero NCMP000 0.5
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
sin_perjuicio_de sin_perjuicio_de SP 1
la el DA0FS0 0.98926
multiprogramación multiprogramación NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
en en SP 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
se se P00CN00 0.494509
podrá poder VMIF3S0 1
ofrecer ofrecer VMN0000 1
capacidad capacidad NCFS000 1
a a SP 0.998775
terceros tercero NCMP000 0.5
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
esta este DD0FS0 0.978817
Ley ley NP00000 1
. . Fp 1

( ( Fpa 1
… … Fz 1
) ) Fpt 1
” ” Frc 1
Por por SP 1
su su DP3CSN 1
parte parte NCCS000 0.977711
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
85 85 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
indica indicar VMIP3S0 0.995495
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
mínimos mínimo AQ0MP00 0.261905
que que CS 0.449861
cualquier cualquiera DI0CS0 1
interesado interesar VMP00SM 0.97619
deberá deber VMIF3S0 1
satisfacer satisfacer VMN0000 1
para para SP 0.999834
la el DA0FS0 0.98926
asignación asignación NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
para para SP 0.999834
usar usar VMN0000 1
, , Fc 1
aprovechar aprovechar VMN0000 1
o o CC 0.999864
explotar explotar VMN0000 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
o o CC 0.999864
social social AQ0CS00 0.998783
; ; Fx 1
el el DA0MS0 1
artículo artículo NCMS000 1
citado citar VMP00SM 1
prevé prever VMIP3S0 0.967836
el el DA0MS0 1
cumplimiento cumplimiento NCMS000 1
de de SP 0.999961
los el DA0MP0 0.992728
siguientes siguiente AQ0CP00 1
requisitos requisito NCMP000 0.98913
por por SP 1
parte parte NCCS000 0.977711
de de SP 0.999961
cualquier cualquiera DI0CS0 1
interesado interesar VMP00SM 0.97619
a a SP 1
el el DA0MS0 1
establecer establecer VMN0000 1
como como CS 0.967153
mínima mínimo AQ0FS00 0.986111
la el DA0FS0 0.98926
siguiente siguiente AQ0CS00 1
información información NCFS000 1
: : Fd 1
“ “ Fra 1
Artículo artículo NCMS000 0.668984
85 85 Z 1
. . Fp 1

Para para SP 0.999834
la el DA0FS0 0.98926
asignación asignación NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
para para SP 0.999834
usar usar VMN0000 1
, , Fc 1
aprovechar aprovechar VMN0000 1
o o CC 0.999864
explotar explotar VMN0000 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
o o CC 0.999864
social social AQ0CS00 0.998783
, , Fc 1
el el DA0MS0 1
interesado interesar VMP00SM 0.97619
deberá deber VMIF3S0 1
presentar presentar VMN0000 1
ante ante SP 0.999744
el el DA0MS0 1
Instituto instituto NP00000 1
solicitud solicitud NCFS000 1
que que PR0CN00 0.550139
contenga contener VMSP3S0 0.634863
a a SP 1
el el DA0MS0 1
menos menos RG 0.990694
la el DA0FS0 0.98926
siguiente siguiente AQ0CS00 1
información información NCFS000 1
: : Fd 1
Nombre nombre NCMS000 0.993798
y y CC 0.999989
domicilio domicilio NCMS000 0.995868
de de SP 1
el el DA0MS0 1
solicitante solicitante NCCS000 0.97619
; ; Fx 1
Los los NP00000 1
servicios servicio NCMP000 1
que que PR0CN00 0.550139
desea desear VMIP3S0 0.987805
prestar prestar VMN0000 1
; ; Fx 1
Justificación justificación NP00000 1
de de SP 1
el el DA0MS0 1
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
o o CC 0.999864
social social AQ0CS00 0.998783
de de SP 0.999961
la el DA0FS0 0.98926
concesión concesión NCFS000 1
; ; Fx 1
Las las NP00000 1
especificaciones especificación NCFP000 1
técnicas técnico AQ0FP00 0.300493
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
; ; Fx 1
Los los NP00000 1
programas programa NCMP000 0.996795
y y CC 0.999989
compromisos compromiso NCMP000 1
de de SP 0.999961
cobertura cobertura NCFS000 1
y y CC 0.999989
calidad calidad NCFS000 1
; ; Fx 1
El el NP00000 1
proyecto proyecto NCMS000 0.999084
a a SP 0.998775
desarrollar desarrollar VMN0000 1
, , Fc 1
acorde acorde NCMS000 0.638641
a a SP 0.998775
las el DA0FP0 0.988184
características característica NCFP000 0.994792
de de SP 0.999961
la el DA0FS0 0.98926
concesión concesión NCFS000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
pretende pretender VMIP3S0 0.996894
obtener obtener VMN0000 1
, , Fc 1
y y CC 0.999989
La la NP00000 1
documentación documentación NCFS000 1
que que PR0CN00 0.550139
acredite acreditar VMSP3S0 0.634861
su su DP3CSN 1
capacidad capacidad NCFS000 1
técnica técnico AQ0FS00 0.294798
, , Fc 1
económica económico AQ0FS00 1
, , Fc 1
jurídica jurídico AQ0FS00 1
y y CC 0.999989
administrativa administrativo AQ0FS00 0.661294
, , Fc 1
atendiendo atender VMG0000 1
la el DA0FS0 0.98926
naturaleza naturaleza NCFS000 1
