RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_NIEGA_A_NOKIA_SOLUTIONS_AND_NETWORKS resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_niega_a_nokia_solutions_and_networks NP00000 1
sujetarán sujetar VMIF3P0 1
, , Fc 1
de de SP 0.999961
acuerdo acuerdo NCMS000 0.999311
a a SP 0.998775
sus su DP3CPN 0.999903
fines fin NCMP000 0.994186
, , Fc 1
a a SP 0.998775
los el DA0MP0 0.992728
principios principio NCMP000 1
establecidos establecer VMP00PM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
2o 2o Z 1
. . Fp 1
, , Fc 1
3o 3o Z 1
. . Fp 1
, , Fc 1
6o 6o Z 1
. . Fp 1
y y CC 0.999989
7o 7o Z 1
. . Fp 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución constitución NP00000 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
dicho decir VMP00SM 0.997159
párrafo párrafo NCMS000 1
señala señalar VMIP3S0 0.997076
que que CS 0.449861
el el DA0MS0 1
Instituto instituto NP00000 1
fijará fijar VMIF3S0 1
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
las el DA0FP0 0.988184
contraprestaciones contraprestación NCFP000 1
por por SP 1
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
, , Fc 1
previa previo AQ0FS00 1
opinión opinión NCFS000 1
no no RN 0.999297
vinculante vinculante AQ0CS00 1
de de SP 0.999961
la el DA0FS0 0.98926
autoridad autoridad NCFS000 1
hacendaria hacendario AQ0FS00 1
. . Fp 1

En en SP 1
armonía armonía NCFS000 1
con con SP 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
está estar VMIP3S0 0.999398
facultado facultar VMP00SM 1
de de SP 0.999961
manera manera NCFS000 1
exclusiva exclusivo AQ0FS00 0.708333
e y CC 0.987994
indelegable indelegable AQ0CS00 1
, , Fc 1
conforme_a conforme_a SP 1
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
por por SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
15 15 Z 1
fracciones fracción NCFP000 0.998103
IV iv NP00000 1
y y CC 0.999989
VIII viii NP00000 1
, , Fc 1
y y CC 0.999989
17 17 Z 1
fracción fracción NCFS000 1
I_de_la_Ley_Federal_de_Telecomunicaciones i_de_la_ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Ley ley NCFS000 0.668984
” ” Frc 1
) ) Fpt 1
, , Fc 1
para para SP 0.999834
resolver resolver VMN0000 1
sobre sobre SP 0.997804
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
señaladas señalar VMP00PF 1
, , Fc 1
así_como así_como CC 1
respecto_de respecto_de SP 1
la el DA0FS0 0.98926
prórroga prórroga NCFS000 1
, , Fc 1
modificación modificación NCFS000 1
o o CC 0.999864
terminación terminación NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
mismas mismo AQ0FP00 0.995495
y y CC 0.999989
, , Fc 1
en en SP 1
los el DA0MP0 0.992728
casos caso NCMP000 1
aplicables aplicable AQ0CP00 1
, , Fc 1
fijar fijar VMN0000 1
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
la el DA0FS0 0.98926
contraprestación contraprestación NCFS000 1
correspondiente correspondiente AQ0CS00 0.993421
. . Fp 1

El el DA0MS0 1
artículo artículo NCMS000 1
6 6 Z 1
fracciones fracción NCFP000 0.998103
I i NP00000 1
y y CC 0.999989
XXXVIII_de_el_Estatuto_Orgánico xxxviii_de_el_estatuto_orgánico NP00000 1
, , Fc 1
establece establecer VMIP3S0 0.992424
como como CS 0.967153
atribuciones atribución NCFP000 1
de de SP 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
, , Fc 1
entre entre SP 0.980341
otras otro PI0FP00 0.134592
, , Fc 1
la el DA0FS0 0.98926
de de SP 0.999961
regular regular VMN0000 0.5
, , Fc 1
promover promover VMN0000 1
y y CC 0.999989
supervisar supervisar VMN0000 1
el el DA0MS0 1
uso uso NCMS000 0.998047
, , Fc 1
aprovechamiento aprovechamiento NCMS000 1
y y CC 0.999989
explotación explotación NCFS000 1
eficiente eficiente AQ0CS00 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
, , Fc 1
los el DA0MP0 0.992728
recursos recurso NCMP000 1
orbitales orbital NCMP000 0.968254
, , Fc 1
los el DA0MP0 0.992728
servicios servicio NCMP000 1
satelitales satelitales AQ0CP00 0.275207
, , Fc 1
las el DA0FP0 0.988184
redes red NCFP000 0.990196
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
servicios servicio NCMP000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
así_como así_como CC 1
el el DA0MS0 1
acceso acceso NCMS000 1
a a SP 0.998775
infraestructura infraestructura NCFS000 1
activa activo AQ0FS00 0.992395
, , Fc 1
pasiva pasivo AQ0FS00 0.661244
e y CC 0.987994
insumos insumo NCMP000 1
esenciales esencial AQ0CP00 1
y y CC 0.999989
las el DA0FP0 0.988184
disposiciones disposición NCFP000 1
administrativas administrativo AQ0FP00 0.983871
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
ámbito ámbito NCMS000 1
de de SP 0.999961
sus su DP3CPN 0.999903
atribuciones atribución NCFP000 1
, , Fc 1
así_como así_como CC 1
las el DA0FP0 0.988184
demás demás PI0CP00 0.719907
que que CS 0.449861
la el DA0FS0 0.98926
Ley ley NP00000 1
y y CC 0.999989
otros otro DI0MP0 0.745978
ordenamientos ordenamiento NCMP000 1
le le PP3CSD0 1
confieran conferir VMSP3P0 0.941964
. . Fp 1

De de SP 0.999961
igual igual AQ0CS00 0.592493
forma forma NCFS000 0.987798
, , Fc 1
conforme_a conforme_a SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
32 32 Z 1
y y CC 0.999989
33 33 Z 1
fracción fracción NCFS000 1
I_de_el_Estatuto_Orgánico i_de_el_estatuto_orgánico NP00000 1
, , Fc 1
corresponde corresponder VMIP3S0 0.996183
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Telecomunicaciones dirección_general_de_concesiones_de_telecomunicaciones NP00000 1
, , Fc 1
tramitar tramitar VMN0000 1
y y CC 0.999989
evaluar evaluar VMN0000 1
las el DA0FP0 0.988184
solicitudes solicitud NCFP000 1
para para SP 0.999834
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
concesiones concesión NCFP000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
con_excepción_de con_excepción_de SP 1
aquellas aquel PD0FP00 0.180233
que que PR0CN00 0.550139
deban deber VMSP3P0 0.941964
otorgar otorgar VMN0000 1
se se PP3CN00 1
a_través_de a_través_de SP 1
un uno DI0MS0 0.99698
procedimiento procedimiento NCMS000 1
de de SP 0.999961
licitación licitación NCFS000 1
pública público AQ0FS00 1
, , Fc 1
para para SP 0.999834
someter someter VMN0000 1
las lo PP3FPA0 1
a a SP 0.998775
consideración consideración NCFS000 1
de de SP 1
el el DA0MS0 1
Pleno pleno NP00000 1
. . Fp 1

En en SP 1
este este DD0MS0 0.949201
orden orden NCCS000 1
de de SP 0.999961
ideas idea NCFP000 0.991031
, , Fc 1
y y CC 0.999989
considerando considerar VMG0000 0.813333
que que CS 0.449861
el el DA0MS0 1
Instituto instituto NP00000 1
tiene tener VMIP3S0 1
a a SP 0.998775
su su DP3CSN 1
cargo cargo NCMS000 0.998084
la el DA0FS0 0.98926
regulación regulación NCFS000 1
, , Fc 1
promoción promoción NCFS000 1
y y CC 0.999989
supervisión supervisión NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
así_como así_como CC 1
la el DA0FS0 0.98926
facultad facultad NCFS000 0.988202
de de SP 0.999961
otorgar otorgar VMN0000 1
concesiones concesión NCFP000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
, , Fc 1
el el DA0MS0 1
Pleno pleno NP00000 1
, , Fc 1
como como CS 0.967153
órgano órgano NCMS000 1
máximo máximo AQ0MS00 0.863176
de de SP 0.999961
gobierno gobierno NCMS000 0.989726
y y CC 0.999989
decisión decisión NCFS000 1
de de SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
se se P00CN00 0.494509
encuentra encontrar VMIP3S0 0.97619
plenamente plenamente RG 1
facultado facultar VMP00SM 1
para para SP 0.999834
resolver resolver VMN0000 1
la el DA0FS0 0.98926
Solicitud solicitud NP00000 1
. . Fp 1

Segundo 2 AO0MS00 0.900353
. . Fp 1
- - Fg 1
Régimen régimen NCMS000 0.668984
constitucional constitucional AQ0CS00 1
y y CC 0.999989
legal legal AQ0CS00 1
previsto prever VMP00SM 1
para para SP 0.999834
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
700 700 Z 1
MHz mhz NP00000 1
. . Fp 1

El el DA0MS0 1
artículo artículo NCMS000 1
Décimo_Sexto_Transitorio_de_el_Decreto_de_Reforma_Constitucional décimo_sexto_transitorio_de_el_decreto_de_reforma_constitucional NP00000 1
, , Fc 1
estableció establecer VMIS3S0 1
que que CS 0.449861
el el DA0MS0 1
Estado estado NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
el el DA0MS0 1
Ejecutivo_Federal ejecutivo_federal NP00000 1
, , Fc 1
en en SP 1
coordinación coordinación NCFS000 1
con con SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
garantizará garantizar VMIF3S0 1
la el DA0FS0 0.98926
instalación instalación NCFS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
compartida compartir VMP00SF 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
que que PR0CN00 0.550139
impulse impulsar VMSP3S0 0.634863
el el DA0MS0 1
acceso acceso NCMS000 1
efectivo efectivo AQ0MS00 0.78169
de de SP 0.999961
la el DA0FS0 0.98926
población población NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
comunicación comunicación NCFS000 1
de de SP 0.999961
banda banda NCFS000 1
ancha ancho AQ0FS00 1
y y CC 0.999989
a a SP 0.998775
los el DA0MP0 0.992728
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
los el DA0MP0 0.992728
principios principio NCMP000 1
contenidos contener VMP00PM 0.256098
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
6o 6o Z 1
. . Fp 1

Apartado_B apartado_b NP00000 1
fracción fracción NCFS000 1
II_de_la_Constitución ii_de_la_constitución NP00000 1
y y CC 0.999989
, , Fc 1
entre entre SP 0.980341
otras otro DI0FP0 0.865408
, , Fc 1
deberá deber VMIF3S0 1
contar contar VMN0000 1
con con SP 1
las el DA0FP0 0.988184
siguientes siguiente AQ0CP00 1
características característica NCFP000 0.994792
: : Fd 1
a a SP 0.998775
) ) Fpt 1
estará estar VMIF3S0 0.996988
en en SP 1
operación operación NCFS000 1
antes_de antes_de SP 1
que que CS 0.449861
concluya concluir VMSP3S0 0.634863
el el DA0MS0 1
año_2018 [??:??/??/2018:??.??:??] W 1
y y CC 0.999989
b b NCFS000 1
) ) Fpt 1
contemplará contemplar VMIF3S0 1
el el DA0MS0 1
aprovechamiento aprovechamiento NCMS000 1
de de SP 0.999961
a a SP 1
el el DA0MS0 1
menos menos RG 0.990694
90 90 Z 1
MHz mhz NP00000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
liberado liberar VMP00SM 0.983871
por por SP 1
la el DA0FS0 0.98926
transición transición NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
Televisión_Digital_Terrestre televisión_digital_terrestre NP00000 1
( ( Fpa 1
banda banda NCFS000 1
700 700 Z 1
MHz mhz NP00000 1
) ) Fpt 1
, , Fc 1
de de SP 0.999961
los el DA0MP0 0.992728
recursos recurso NCMP000 1
de de SP 0.999961
la el DA0FS0 0.98926
red red NCFS000 1
troncal troncal AQ0CS00 1
de de SP 0.999961
fibra fibra NCFS000 1
óptica óptico AQ0FS00 0.526641
de de SP 0.999961
la el DA0FS0 0.98926
Comisión_Federal_de_Electricidad comisión_federal_de_electricidad NP00000 1
y y CC 0.999989
de de SP 0.999961
cualquier cualquiera DI0CS0 1
otro otro DI0MS0 0.658501
activo activo NCMS000 0.308271
de de SP 1
el el DA0MS0 1
Estado estado NP00000 1
que que CS 0.449861
pueda poder VMSP3S0 0.499421
utilizar utilizar VMN0000 1
se se PP3CN00 1
en en SP 1
la el DA0FS0 0.98926
instalación instalación NCFS000 1
y y CC 0.999989
la el DA0FS0 0.98926
operación operación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Red_Compartida red_compartida NP00000 1
. . Fp 1

El el DA0MS0 1
mismo mismo AQ0MS00 0.802208
artículo artículo NCMS000 1
señala señalar VMIP3S0 0.997076
que que CS 0.449861
el el DA0MS0 1
Ejecutivo_Federal ejecutivo_federal NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
marco marco NCMS000 0.996894
de de SP 1
el el DA0MS0 1
Sistema_Nacional_de_Planeación_Democrática sistema_nacional_de_planeación_democrática NP00000 1
, , Fc 1
incluirá incluir VMIF3S0 1
en en SP 1
los el DA0MP0 0.992728
instrumentos instrumento NCMP000 1
programáticos programático AQ0MP00 1
respectivos respectivo AQ0MP00 1
, , Fc 1
las el DA0FP0 0.988184
acciones acción NCFP000 0.998534
necesarias necesario AQ0FP00 1
para para SP 0.999834
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.99884
de de SP 0.999961
esta este DD0FS0 0.978817
red red NCFS000 1
. . Fp 1

Por por SP 1
su su DP3CSN 1
parte parte NCCS000 0.977711
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
Décimo_Tercero_Transitorio_de_el_Decreto_de_Ley décimo_tercero_transitorio_de_el_decreto_de_ley NP00000 1
, , Fc 1
señala señalar VMIP3S0 0.997076
que que CS 0.449861
el el DA0MS0 1
Ejecutivo_Federal ejecutivo_federal NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
, , Fc 1
realizará realizar VMIF3S0 1
las el DA0FP0 0.988184
acciones acción NCFP000 0.998534
tendientes tendientes AQ0CP00 0.729733
a a SP 0.998775
instalar instalar VMN0000 1
la el DA0FS0 0.98926
red red NCFS000 1
pública público AQ0FS00 1
compartida compartir VMP00SF 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
el el DA0MS0 1
artículo artículo NCMS000 1
Décimo_Sexto_Transitorio_de_el_Decreto_de_Reforma_Constitucional décimo_sexto_transitorio_de_el_decreto_de_reforma_constitucional NP00000 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
establece establecer VMIP3S0 0.992424
que que CS 0.449861
en_caso_de en_caso_de SP 1
que que CS 0.449861
el el DA0MS0 1
Ejecutivo_Federal ejecutivo_federal NP00000 1
requiera requerir VMSP3S0 0.592006
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
liberado liberar VMP00SM 0.983871
por por SP 1
la el DA0FS0 0.98926
transición transición NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
Televisión_Digital_Terrestre televisión_digital_terrestre NP00000 1
( ( Fpa 1
banda banda NCFS000 1
700 700 Z 1
MHz mhz NP00000 1
) ) Fpt 1
para para SP 0.999834
crecer crecer VMN0000 1
y y CC 0.999989
fortalecer fortalecer VMN0000 1
la el DA0FS0 0.98926
Red_Compartida red_compartida NP00000 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
las lo PP3FPA0 0.011793
otorgará otorgar VMIF3S0 1
directamente directamente RG 1
, , Fc 1
siempre_y_cuando siempre_y_cuando RG 1
dicha decir VMP00SF 0.819767
red red NCFS000 1
se se P00CN00 0.494509
mantenga mantener VMSP3S0 0.493976
bajo bajo SP 0.909179
el el DA0MS0 1
control control NCMS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
entidad entidad NCFS000 1
o o CC 0.999864
dependencia dependencia NCFS000 1
pública público AQ0FS00 1
o o CC 0.999864
bajo bajo SP 0.909179
un uno DI0MS0 0.99698
esquema esquema NCMS000 1
de de SP 0.999961
asociación asociación NCFS000 1
público-privada público_privado AQ0FS00 1
. . Fp 1

En en SP 1
ese ese DD0MS0 0.966694
mismo mismo AQ0MS00 0.802208
sentido sentido NCMS000 0.940835
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
142 142 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
señala señalar VMIP3S0 0.997076
de de SP 0.999961
manera manera NCFS000 1
expresa expresar VMIP3S0 0.962264
que que CS 0.449861
el el DA0MS0 1
Instituto instituto NP00000 1
asignará asignar VMIF3S0 1
90 90 Z 1
MHz mhz NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
700 700 Z 1
MHz mhz NP00000 1
para para SP 0.999834
la el DA0FS0 0.98926
operación operación NCFS000 1
y y CC 0.999989
explotación explotación NCFS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
red red NCFS000 1
compartida compartir VMP00SF 1
mayorista mayorista AQ0CS00 0.909836
, , Fc 1
mediante mediante SP 0.99763
concesión concesión NCFS000 1
de de SP 0.999961
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
, , Fc 1
en en SP 1
los el DA0MP0 0.992728
términos término NCMP000 1
establecidos establecer VMP00PM 1
por por SP 1
la el DA0FS0 0.98926
propia propio AQ0FS00 1
Ley ley NP00000 1
. . Fp 1

Tercero 3 AO0MS00 0.986928
. . Fp 1
- - Fg 1
El el DA0MS0 1
proyecto proyecto NCMS000 0.999084
de de SP 0.999961
la el DA0FS0 0.98926
Red_Compartida red_compartida NP00000 1
. . Fp 1

Con con SP 1
la el DA0FS0 0.98926
finalidad finalidad NCFS000 1
de de SP 0.999961
instrumentar instrumentar VMN0000 1
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
por por SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
Décimo_Tercero_Transitorio_de_el_Decreto_de_Ley décimo_tercero_transitorio_de_el_decreto_de_ley NP00000 1
, , Fc 1
el el DA0MS0 1
29_de_enero_de_2016 [??:29/1/2016:??.??:??] W 1
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
la el DA0FS0 0.98926
“ “ Fra 1
Convocatoria convocatoria NCFS000 0.98773
a a SP 0.998775
toda todo DI0FS0 0.984467
persona persona NCFS000 0.996683
física físico AQ0FS00 0.619632
o o CC 0.999864
moral moral AQ0CS00 0.519841
, , Fc 1
nacional nacional AQ0CS00 1
o o CC 0.999864
extranjera extranjero AQ0FS00 0.822581
, , Fc 1
a a SP 0.998775
participar participar VMN0000 1
en en SP 1
el el DA0MS0 1
concurso concurso NCMS000 0.991803
internacional internacional AQ0CS00 0.970532
número número NCMS000 1
APP-009000896-E1-2016 APP-009000896-E1-2016 Z 1
para para SP 0.999834
la el DA0FS0 0.98926
adjudicación adjudicación NCFS000 1
de de SP 0.999961
un uno DI0MS0 0.99698
proyecto proyecto NCMS000 0.999084
de de SP 0.999961
asociación asociación NCFS000 1
público-privada público_privado AQ0FS00 1
, , Fc 1
para para SP 0.999834
la el DA0FS0 0.98926
instalación instalación NCFS000 1
y y CC 0.999989
operación operación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
red red NCFS000 1
pública público AQ0FS00 1
compartida compartir VMP00SF 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
” ” Frc 1
. . Fp 1

El el DA0MS0 1
17_de_noviembre_de_2016 [??:17/11/2016:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
llevó_a_cabo llevar_a_cabo VMIS3S0 1
la el DA0FS0 0.98926
junta junta NCFS000 0.422037
pública público AQ0FS00 1
en en SP 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
se se P00CN00 0.494509
dio_a_conocer dar_a_conocer VMIS3S0 1
el el DA0MS0 1
resultado resultado NCMS000 0.924877
de de SP 0.999961
la el DA0FS0 0.98926
evaluación evaluación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
oferta oferta NCFS000 0.996024
económica económico AQ0FS00 1
y y CC 0.999989
se se P00CN00 0.494509
notificó notificar VMIS3S0 1
el el DA0MS0 1
fallo fallo NCMS000 0.985294
de de SP 1
el el DA0MS0 1
concurso concurso NCMS000 0.991803
internacional internacional AQ0CS00 0.970532
número número NCMS000 1
APP-009000896-E1-2016 APP-009000896-E1-2016 Z 1
, , Fc 1
en_favor_de en_favor_de SP 1
un uno DI0MS0 0.99698
tercero 3 AO0MS00 0.993421
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
fue ser VSIS3S0 0.980739
notificado notificar VMP00SM 1
a a SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
el el DA0MS0 1
pasado_18_de_noviembre_de_2016 [??:18/11/2016:??.??:??] W 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
el el DA0MS0 1
pasado_8_de_diciembre_de_2016 [??:8/12/2016:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
sociedad sociedad NCFS000 1
de de SP 0.999961
propósito propósito NCMS000 1
específico específico AQ0MS00 0.661294
que que PR0CN00 0.550139
constituyó constituir VMIS3S0 1
el el DA0MS0 1
concursante concursante AQ0CS00 0.627944
ganador ganador NCMS000 0.815315
de de SP 1
el el DA0MS0 1
concurso concurso NCMS000 0.991803
internacional internacional AQ0CS00 0.970532
número número NCMS000 1
APP-009000896-E1-2016 APP-009000896-E1-2016 Z 1
, , Fc 1
denominada denominar VMP00SF 1
Altán_Redes altán_redes NP00000 1
, , Fc 1
S.A.P.I._de_C.V. s.a.p.i._de_c.v. NP00000 1
, , Fc 1
presentó presentar VMIS3S0 1
ante ante SP 0.999744
el el DA0MS0 1
Instituto instituto NP00000 1
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
para para SP 0.999834
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
con_carácter_de con_carácter_de SP 1
red red NCFS000 1
compartida compartir VMP00SF 1
mayorista mayorista AQ0CS00 0.909836
con con SP 1
las el DA0FP0 0.988184
características característica NCFP000 0.994792
y y CC 0.999989
condiciones condición NCFP000 0.998418
previstas prever VMP00PF 1
en en SP 1
el el DA0MS0 1
modelo modelo NCCS000 0.99763
de de SP 0.999961
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
contenido contenido NCMS000 0.993421
en en SP 1
el el DA0MS0 1
Anexo_III anexo_iii NP00000 1
de de SP 0.999961
las el DA0FP0 0.988184
“ “ Fra 1
Bases base NCCP000 0.986014
de de SP 1
el el DA0MS0 1
concurso concurso NCMS000 0.991803
internacional internacional AQ0CS00 0.970532
número número NCMS000 1
APP-009000896-E1-2016 APP-009000896-E1-2016 Z 1
para para SP 0.999834
la el DA0FS0 0.98926
adjudicación adjudicación NCFS000 1
de de SP 0.999961
un uno DI0MS0 0.99698
proyecto proyecto NCMS000 0.999084
de de SP 0.999961
asociación asociación NCFS000 1
público-privada público_privado AQ0FS00 1
conforme_a conforme_a SP 1
la el DA0FS0 0.98926
Ley_de_Asociaciones_Público_Privadas ley_de_asociaciones_público_privadas NP00000 1
, , Fc 1
para para SP 0.999834
la el DA0FS0 0.98926
instalación instalación NCFS000 1
y y CC 0.999989
operación operación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
red red NCFS000 1
pública público AQ0FS00 1
compartida compartir VMP00SF 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
el el DA0MS0 1
artículo artículo NCMS000 1
Décimo_Sexto_Transitorio_de_el_Decreto décimo_sexto_transitorio_de_el_decreto NP00000 1
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
y y CC 0.999989
adicionan adicionar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
de de SP 0.999961
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6o 6o Z 1
. . Fp 1
, , Fc 1
7o 7o Z 1
. . Fp 1
, , Fc 1
27 27 Z 1
, , Fc 1
28 28 Z 1
, , Fc 1
73 73 Z 1
, , Fc 1
78 78 Z 1
, , Fc 1
94 94 Z 1
y y CC 0.999989
105 105 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
, , Fc 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
publicado publicar VMP00SM 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
11_de_junio_de_2013 [??:11/6/2013:??.??:??] W 1
, , Fc 1
contemplando contemplar VMG0000 1
el el DA0MS0 1
aprovechamiento aprovechamiento NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
que que PR0CN00 0.550139
incluye incluir VMIP3S0 0.95045
los el DA0MP0 0.992728
segmentos segmento NCMP000 1
de de SP 0.999961
703 703 Z 1
a a SP 0.998775
748 748 Z 1
MHz mhz NP00000 1
y y CC 0.999989
de de SP 0.999961
758 758 Z 1
a a SP 0.998775
803 803 Z 1
MHz mhz NP00000 1
, , Fc 1
con con SP 1
un uno DI0MS0 0.99698
total total NCMS000 0.405303
de de SP 0.999961
90 90 Z 1
MHz mhz NP00000 1
bajo bajo SP 0.909179
la el DA0FS0 0.98926
figura figura NCFS000 0.568905
de de SP 0.999961
