ACUERDO_MEDIANTE_EL_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES acuerdo_mediante_el_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
son ser VSIP3P0 0.995197
: : Fd 1
I._Conducción i._conducción NP00000 1
de de SP 0.999961
tráfico tráfico NCMS000 1
, , Fc 1
que que PR0CN00 0.550139
incluye incluir VMIP3S0 0.95045
su su DP3CSN 1
originación originación NCFS000 1
y y CC 0.999989
terminación terminación NCFS000 1
, , Fc 1
así_como así_como CC 1
llamadas llamada NCFP000 0.544643
y y CC 0.999989
servicios servicio NCMP000 1
de de SP 0.999961
mensajes mensaje NCMP000 1
cortos corto AQ0MP00 0.661294
; ; Fx 1
II ii NP00000 1
. . Fp 1

Enlaces_de_Transmisión enlaces_de_transmisión NP00000 1
; ; Fx 1
III iii NP00000 1
. . Fp 1

Puertos puerto NCMP000 0.668984
de de SP 0.999961
acceso acceso NCMS000 1
; ; Fx 1
IV iv NP00000 1
. . Fp 1

Señalización señalización NP00000 0.331016
; ; Fx 1
V._Tránsito v._tránsito NP00000 1
; ; Fx 1
VI vi NP00000 1
. . Fp 1

Coubicación coubicación NP00000 0.331016
; ; Fx 1
VII vii NP00000 1
. . Fp 1

Compartición compartición NCFS000 0.668984
de de SP 0.999961
infraestructura infraestructura NCFS000 1
; ; Fx 1
VIII viii NP00000 1
. . Fp 1

Auxiliares auxiliar NCCP000 0.379167
conexos conexo AQ0MP00 1
, , Fc 1
y y CC 0.999989
IX ix NP00000 1
. . Fp 1

Facturación facturación NP00000 0.331016
y y CC 0.999989
Cobranza cobranza NP00000 1
. . Fp 1

La el DA0FS0 0.98926
descripción descripción NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
mencionados mencionar VMP00PM 1
servicios servicio NCMP000 1
, , Fc 1
así_como así_como CC 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
técnicas técnico AQ0FP00 0.300493
aplicables aplicable AQ0CP00 1
deberán deber VMIF3P0 1
sujetar sujetar VMN0000 1
se se PP3CN00 1
a a SP 1
el el DA0MS0 1
criterio criterio NCMS000 1
de de SP 0.999961
que que CS 0.449861
los el DA0MP0 0.992728
mismos mismo PI0MP00 0.47076
deben deber VMIP3P0 1
permitir permitir VMN0000 1
un uno DI0MS0 0.99698
intercambio intercambio NCMS000 0.994186
eficiente eficiente AQ0CS00 1
de de SP 0.999961
tráfico tráfico NCMS000 1
entre entre SP 0.980341
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
en en SP 1
condiciones condición NCFP000 0.998418
equitativas equitativo AQ0FP00 1
y y CC 0.999989
que que CS 0.449861
permitan permitir VMSP3P0 0.990196
el el DA0MS0 1
establecimiento establecimiento NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
bases base NCCP000 0.992958
para para SP 0.999834
una uno DI0FS0 0.951973
sana sano AQ0FS00 0.746504
competencia competencia NCFS000 1
. . Fp 1

Es ser VSIP3S0 1
así así RG 0.999409
que que CS 0.449861
, , Fc 1
el el DA0MS0 1
establecimiento establecimiento NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
técnicas técnico AQ0FP00 0.300493
mínimas mínimo AQ0FP00 0.986111
facilita facilitar VMIP3S0 0.822581
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
operadores operador NCMP000 0.992958
, , Fc 1
permitiendo permitir VMG0000 1
obtener obtener VMN0000 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
básicas básico AQ0FP00 1
de de SP 0.999961
interconexión interconexión NCFS000 1
sin_necesidad_de sin_necesidad_de SP 1
participar participar VMN0000 1
en en SP 1
largas largo AQ0FP00 0.972603
negociaciones negociación NCFP000 1
ayudando ayudar VMG0000 1
a a SP 0.998775
evitar evitar VMN0000 1
una uno DI0FS0 0.951973
discriminación discriminación NCFS000 1
indebida indebido AQ0FS00 1
por por SP 1
parte parte NCCS000 0.977711
de de SP 0.999961
cualquier cualquiera DI0CS0 1
concesionario concesionario NCMS000 0.488737
. . Fp 1

En en SP 1
este este DD0MS0 0.949201
tenor tenor NCMS000 1
es ser VSIP3S0 1
importante importante AQ0CS00 1
señalar señalar VMN0000 1
que que CS 0.449861
en en SP 1
el el DA0MS0 1
Plan_Técnico_Fundamental_de_Interconexión plan_técnico_fundamental_de_interconexión NP00000 1
e y CC 0.987994
Interoperabilidad interoperabilidad NP00000 1
se se P00CN00 0.494509
hace_referencia hacer_referencia VMIP3S0 1
a a SP 0.998775
condiciones condición NCFP000 0.998418
técnicas técnico AQ0FP00 0.300493
relacionadas relacionar VMP00PF 1
con con SP 1
estándares estándar NCMP000 0.638706
de de SP 0.999961
transmisión transmisión NCFS000 1
y y CC 0.999989
protocolos protocolo NCMP000 1
de de SP 0.999961
señalización señalización NCFS000 1
que que PR0CN00 0.550139
tienen tener VMIP3P0 1
el el DA0MS0 1
propósito propósito NCMS000 1
de de SP 0.999961
que que CS 0.449861
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
interconecten interconectar VMSP3P0 0.941964
sus su DP3CPN 0.999903
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
de de SP 0.999961
forma forma NCFS000 0.987798
eficiente eficiente AQ0CS00 1
. . Fp 1

En en SP 1
este este DD0MS0 0.949201
contexto contexto NCMS000 1
, , Fc 1
la el DA0FS0 0.98926
definición definición NCFS000 1
de de SP 1
el el DA0MS0 1
sistema sistema NCMS000 1
de de SP 0.999961
señalización señalización NCFS000 1
a a SP 0.998775
utilizar utilizar VMN0000 1
se se PP3CN00 1
entre entre SP 0.980341
las el DA0FP0 0.988184
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
que que PR0CN00 0.550139
prevé prever VMIP3S0 0.967836
el el DA0MS0 1
avance avance NCMS000 0.850649
tecnológico tecnológico AQ0MS00 1
, , Fc 1
propicia propiciar VMIP3S0 0.584906
una uno DI0FS0 0.951973
óptima bueno AQSFS00 1
interconexión interconexión NCFS000 1
en en SP 1
un uno DI0MS0 0.99698
ambiente ambiente NCMS000 0.978378
de de SP 0.999961
libre libre AQ0CS00 0.957522
competencia competencia NCFS000 1
y y CC 0.999989
en en SP 1
beneficio beneficio NCMS000 0.994505
de de SP 0.999961
los el DA0MP0 0.992728
usuarios usuario NCMP000 0.78169
y y CC 0.999989
concesionarios concesionario NCMP000 0.62798
de de SP 0.999961
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
. . Fp 1

A_fin_de a_fin_de SP 1
asegurar asegurar VMN0000 1
que que CS 0.449861
todo todo DI0MS0 0.6662
usuario usuario NCMS000 0.987805
pueda poder VMSP3S0 0.499421
tener tener VMN0000 1
acceso acceso NCMS000 1
a a SP 0.998775
cualquier cualquiera DI0CS0 1
servicio servicio NCMS000 1
, , Fc 1
aplicación aplicación NCFS000 1
y y CC 0.999989
contar contar VMN0000 1
con con SP 1
comunicación comunicación NCFS000 1
con con SP 1
cualquier cualquiera DI0CS0 1
usuario usuario NCMS000 0.987805
de de SP 0.999961
cualquier cualquiera DI0CS0 1
red red NCFS000 1
, , Fc 1
es ser VSIP3S0 1
indispensable indispensable AQ0CS00 1
contar contar VMN0000 1
con con SP 1
una uno DI0FS0 0.951973
eficiente eficiente AQ0CS00 1
interconexión interconexión NCFS000 1
e y CC 0.987994
interoperabilidad interoperabilidad NCFS000 1
entre entre SP 0.980341
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
consolidar consolidar VMN0000 1
la el DA0FS0 0.98926
transición transición NCFS000 1
tecnológica tecnológico AQ0FS00 1
y y CC 0.999989
de de SP 0.999961
mercado mercado NCMS000 0.999343
hacia hacia SP 1
las el DA0FP0 0.988184
redes red NCFP000 0.990196
de de SP 0.999961
nueva nuevo AQ0FS00 0.993421
generación generación NCFS000 1
. . Fp 1

Para para SP 0.999834
ello ello PD00S00 1
, , Fc 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
técnicas técnico AQ0FP00 0.300493
mínimas mínimo AQ0FP00 0.986111
de de SP 0.999961
interconexión interconexión NCFS000 1
establecen establecer VMIP3P0 1
las el DA0FP0 0.988184
medidas medida NCFP000 0.999067
que que PR0CN00 0.550139
permitirán permitir VMIF3P0 1
a a SP 0.998775
los el DA0MP0 0.992728
operadores operador NCMP000 0.992958
de de SP 0.999961
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
utilizar utilizar VMN0000 1
los el DA0MP0 0.992728
protocolos protocolo NCMP000 1
de de SP 0.999961
señalización señalización NCFS000 1
adecuados adecuar VMP00PM 1
para para SP 0.999834
que que CS 0.449861
sus su DP3CPN 0.999903
sistemas sistema NCMP000 1
de de SP 0.999961
comunicación comunicación NCFS000 1
operen operar VMSP3P0 0.941964
de de SP 0.999961
manera manera NCFS000 1
eficiente eficiente AQ0CS00 1
y y CC 0.999989
compatible compatible AQ0CS00 1
, , Fc 1
y y CC 0.999989
que que PR0CN00 0.550139
sean ser VSSP3P0 0.996689
capaces capaz AQ0CP00 1
de de SP 0.999961
adaptar adaptar VMN0000 1
se se PP3CN00 1
a a SP 0.998775
la el DA0FS0 0.98926
evolución evolución NCFS000 1
tecnológica tecnológico AQ0FS00 1
de de SP 1
el el DA0MS0 1
sector sector NCMS000 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
tomando tomar VMG0000 1
en en SP 1
cuenta cuenta NCFS000 0.229017
a a SP 1
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.99884
tecnológico tecnológico AQ0MS00 1
, , Fc 1
innovación innovación NCFS000 1
y y CC 0.999989
dinamismo dinamismo NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
existió existir VMIS3S0 1
la el DA0FS0 0.98926
necesidad necesidad NCFS000 1
de de SP 0.999961
establecer establecer VMN0000 1
medidas medida NCFP000 0.999067
que que PR0CN00 0.550139
atendieran atender VMSI3P0 1
a a SP 0.998775
los el DA0MP0 0.992728
citados citar VMP00PM 1
requerimientos requerimiento NCMP000 1
, , Fc 1
y y CC 0.999989
que que CS 0.449861
en en SP 1
todo todo DI0MS0 0.6662
momento momento NCMS000 1
quede quedar VMSP3S0 0.496933
garantizado garantizar VMP00SM 1
el el DA0MS0 1
correcto correcto AQ0MS00 1
enrutamiento enrutamiento NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
comunicaciones comunicación NCFP000 1
para para SP 0.999834
el el DA0MS0 1
intercambio intercambio NCMS000 0.994186
de de SP 0.999961
información información NCFS000 1
entre entre SP 0.980341
las el DA0FP0 0.988184
diversas diverso DI0FP0 0.805344
redes red NCFP000 0.990196
con con SP 1
la el DA0FS0 0.98926
adopción adopción NCFS000 1
de de SP 0.999961
diseños diseño NCMP000 1
de de SP 0.999961
arquitectura arquitectura NCFS000 1
abierta abrir VMP00SF 1
de de SP 0.999961
red red NCFS000 1
, , Fc 1
tal_y_como tal_y_como CS 1
se se P00CN00 0.494509
establece establecer VMIP3S0 0.992424
en en SP 1
la el DA0FS0 0.98926
LFTR lftr NP00000 1
, , Fc 1
asegurando asegurar VMG0000 1
con con SP 1
ello ello PD00S00 1
la el DA0FS0 0.98926
interoperabilidad interoperabilidad NCFS000 1
. . Fp 1

En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
, , Fc 1
con con SP 1
el el DA0MS0 1
fin fin NCMS000 1
de de SP 0.999961
permitir permitir VMN0000 1
la el DA0FS0 0.98926
comunicación comunicación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
usuarios usuario NCMP000 0.78169
de de SP 0.999961
distintas distinto DI0FP0 0.519841
redes red NCFP000 0.990196
, , Fc 1
los el DA0MP0 0.992728
diferentes diferente AQ0CP00 0.482818
operadores operador NCMP000 0.992958
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
deben deber VMIP3P0 1
realizar realizar VMN0000 1
el el DA0MS0 1
proceso proceso NCMS000 0.999101
de de SP 0.999961
interconexión interconexión NCFS000 1
de de SP 0.999961
sus su DP3CPN 0.999903
redes red NCFP000 0.990196
a_través_de a_través_de SP 1
distintos distinto DI0MP0 0.678571
protocolos protocolo NCMP000 1
. . Fp 1

Es ser VSIP3S0 1
por por SP 1
ello ello PD00S00 1
que que PR0CN00 0.550139
, , Fc 1
con con SP 1
el el DA0MS0 1
fin fin NCMS000 1
de de SP 0.999961
atender atender VMN0000 1
las el DA0FP0 0.988184
necesidades necesidad NCFP000 1
derivadas derivar VMP00PF 0.623747
de de SP 0.999961
la el DA0FS0 0.98926
evolución evolución NCFS000 1
tecnológica tecnológico AQ0FS00 1
, , Fc 1
se se P00CN00 0.494509
observa observar VMIP3S0 0.989241
una uno DI0FS0 0.951973
migración migración NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
tecnologías tecnología NCFP000 1
basadas basar VMP00PF 0.58091
en en SP 1
multiplexación multiplexación NCFS000 1
por por SP 1
división división NCFS000 1
de de SP 0.999961
tiempo tiempo NCMS000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
“ “ Fra 1
TDM t_decímetro NCFS000 0.52712
” ” Frc 1
) ) Fpt 1
a a SP 1
el el DA0MS0 1
uso uso NCMS000 0.998047
de de SP 0.999961
tecnologías tecnología NCFP000 1
basadas basar VMP00PF 0.58091
en en SP 1
protocolo protocolo NCMS000 0.980769
internet internet NCCN000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
“ “ Fra 1
IP i_p NCFS000 0.52712
” ” Frc 1
) ) Fpt 1
para para SP 0.999834
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
entre entre SP 0.980341
redes red NCFP000 0.990196
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
. . Fp 1

Considerando considerar VMG0000 0.78125
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
el el DA0MS0 1
Instituto instituto NP00000 1
en en SP 1
el el DA0MS0 1
Acuerdo_de_Condiciones_Técnicas_Mínimas acuerdo_de_condiciones_técnicas_mínimas NP00000 1
2017 2017 Z 1
determinó determinar VMIS3S0 1
que que CS 0.449861
el el DA0MS0 1
protocolo protocolo NCMS000 0.980769
de de SP 0.999961
señalización señalización NCFS000 1
para para SP 0.999834
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
IP ip NP00000 1
entre entre SP 0.980341
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
de de SP 0.999961
redes red NCFP000 0.990196
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
sería ser VSIC1S0 0.5
el el DA0MS0 1
protocolo protocolo NCMS000 0.980769
“ “ Fra 1
SIP si_p NCMS000 0.52712
” ” Frc 1
( ( Fpa 1
por por SP 1
sus su DP3CPN 0.999903
siglas sigla NCFP000 1
en en SP 1
inglés inglés NCMS000 0.68018
, , Fc 1
Session_Initiation_Protocol session_initiation_protocol NP00000 1
) ) Fpt 1
, , Fc 1
y y CC 0.999989
definió definir VMIS3S0 1
los el DA0MP0 0.992728
parámetros parámetro NCMP000 1
y y CC 0.999989
métodos método NCMP000 1
de de SP 0.999961
dicho decir VMP00SM 0.997159
protocolo protocolo NCMS000 0.980769
indispensables indispensable AQ0CP00 1
para para SP 0.999834
lograr lograr VMN0000 1
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
IP ip NP00000 1
de de SP 0.999961
forma forma NCFS000 0.987798
eficiente eficiente AQ0CS00 1
a_fin_de a_fin_de SP 1
propiciar propiciar VMN0000 1
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
IP-IP ip-ip NP00000 1
. . Fp 1

Dicho decir VMP00SM 0.994334
protocolo protocolo NCMS000 0.980769
, , Fc 1
es ser VSIP3S0 1
la el DA0FS0 0.98926
base base NCCS000 0.963722
para para SP 0.999834
el el DA0MS0 1
control control NCMS000 1
de de SP 0.999961
llamadas llamada NCFP000 0.544643
de de SP 0.999961
voz voz NCFS000 1
a_través_de a_través_de SP 1
protocolo protocolo NCMS000 0.980769
de de SP 0.999961
internet internet NCCN000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
“ “ Fra 1
VoIP voip NP00000 1
” ” Frc 1
) ) Fpt 1
y y CC 0.999989
llamadas llamada NCFP000 0.544643
multimedia multimedia AQ0CN00 1
ya_que ya_que CS 1
define definir VMIP3S0 0.989241
la el DA0FS0 0.98926
iniciación iniciación NCFS000 1
, , Fc 1
la el DA0FS0 0.98926
modificación modificación NCFS000 1
y y CC 0.999989
finalización finalización NCFS000 1
de de SP 0.999961
sesiones sesión NCFP000 1
de de SP 0.999961
comunicación comunicación NCFS000 1
interactiva interactivo AQ0FS00 1
multimedia multimedia AQ0CN00 1
entre entre SP 0.980341
usuarios usuario NCMP000 0.78169
. . Fp 1

Adicionalmente adicionalmente RG 1
, , Fc 1
a_fin_de a_fin_de SP 1
establecer establecer VMN0000 1
un uno DI0MS0 0.99698
procedimiento procedimiento NCMS000 1
de de SP 0.999961
migración migración NCFS000 1
paulatina paulatino AQ0FS00 1
hacia hacia SP 1
interconexión interconexión NCFS000 1
IP ip NP00000 1
, , Fc 1
se se P00CN00 0.494509
estableció establecer VMIS3S0 1
como como CS 0.967153
primera 1 AO0FS00 0.995242
fase fase NCFS000 1
que que PR0CN00 0.550139
en_caso_de en_caso_de SP 1
nuevas nuevo AQ0FP00 0.998891
solicitudes solicitud NCFP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
directa directo AQ0FS00 1
o o CC 0.999864
solicitudes solicitud NCFP000 1
de de SP 0.999961
incrementos incremento NCMP000 1
de de SP 0.999961
capacidad capacidad NCFS000 1
las el DA0FP0 0.988184
mismas mismo AQ0FP00 0.995495
deberían deber VMIC3P0 1
atender atender VMN0000 1
se se PP3CN00 1
mediante mediante SP 0.99763
interconexión interconexión NCFS000 1
IP ip NP00000 1
, , Fc 1
asimismo asimismo RG 1
que que CS 0.449861
en en SP 1
las el DA0FP0 0.988184
interconexiones interconexión NCFP000 1
realizadas realizar VMP00PF 1
a_través_de a_través_de SP 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
tránsito tránsito NCMS000 1
la el DA0FS0 0.98926
red red NCFS000 1
que que PR0CN00 0.550139
proporciona proporcionar VMIP3S0 0.989241
dicho decir VMP00SM 0.997159
servicio servicio NCMS000 1
realizaría realizar VMIC3S0 0.65
la el DA0FS0 0.98926
adaptación adaptación NCFS000 1
de de SP 0.999961
protocolo protocolo NCMS000 0.980769
de de SP 0.999961
señalización señalización NCFS000 1
SS7 SS7 Z 1
( ( Fpa 1
de de SP 0.999961
sus su DP3CPN 0.999903
siglas sigla NCFP000 1
en en SP 1
inglés inglés NCMS000 0.68018
, , Fc 1
Signalling_System signalling_system NP00000 1
7 7 Z 1
) ) Fpt 1
a a SP 0.998775
SIP sip NP00000 1
. . Fp 1

Ahora_bien ahora_bien RG 1
, , Fc 1
como como CS 0.967153
segunda 2 AO0FS00 0.997801
fase fase NCFS000 1
de de SP 1
el el DA0MS0 1
proceso proceso NCMS000 0.999101
de de SP 0.999961
transición transición NCFS000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
en en SP 1
tecnología tecnología NCFS000 1
TDM tdm NP00000 1
a a SP 0.998775
tecnología tecnología NCFS000 1
IP ip NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
Acuerdo_de_CTM acuerdo_de_ctm NP00000 1
2018 2018 Z 1
se se P00CN00 0.494509
estableció establecer VMIS3S0 1
el el DA0MS0 1
plazo plazo NCMS000 1
que que PR0CN00 0.550139
permitirá permitir VMIF3S0 1
concluir concluir VMN0000 1
dicha decir VMP00SF 0.819767
transición transición NCFS000 1
, , Fc 1
de de SP 0.999961
tal tal DD0CS0 0.672764
forma forma NCFS000 0.987798
que que CS 0.449861
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
tengan tener VMSP3P0 0.78169
certeza certeza NCFS000 1
de de SP 1
el el DA0MS0 1
periodo periodo NCMS000 1
con con SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
cuentan contar VMIP3P0 1
para para SP 0.999834
migrar migrar VMN0000 1
todo todo DI0MS0 0.6662
el el DA0MS0 1
tráfico tráfico NCMS000 1
de de SP 0.999961
tecnología tecnología NCFS000 1
TDM tdm NP00000 1
a a SP 0.998775
tecnología tecnología NCFS000 1
IP ip NP00000 1
. . Fp 1

En en SP 1
este este DD0MS0 0.949201
sentido sentido NCMS000 0.940835
, , Fc 1
se se P00CN00 0.494509
consideró considerar VMIS3S0 1
que que CS 0.449861
un uno DI0MS0 0.99698
plazo plazo NCMS000 1
de de SP 0.999961
cuatro 4 Z 1
años año NCMP000 1
para para SP 0.999834
finalizar finalizar VMN0000 1
la el DA0FS0 0.98926
transición transición NCFS000 1
hacia hacia SP 1
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
con con SP 1
tecnología tecnología NCFS000 1
IP ip NP00000 1
resulta resultar VMIP3S0 0.993808
suficiente suficiente AQ0CS00 0.993994
, , Fc 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
de de SP 0.999961
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
podrán poder VMIF3P0 1
continuar continuar VMN0000 1
intercambiando intercambiar VMG0000 1
tráfico tráfico NCMS000 1
en en SP 1
los el DA0MP0 0.992728
puntos punto NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
con con SP 1
tecnología tecnología NCFS000 1
TDM tdm NP00000 1
hasta hasta SP 0.922749
el el DA0MS0 1
31_de_enero_de_2022 [??:31/1/2022:??.??:??] W 1
en en SP 1
los el DA0MP0 0.992728
puntos punto NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
tengan tener VMSP3P0 0.78169
convenidos convenir VMP00PM 1
; ; Fx 1
ello ello PD00S00 1
considerando considerar VMG0000 0.813333
que que CS 0.449861
desde desde SP 1
el el DA0MS0 1
1_de_enero_de_2017 [??:1/1/2017:??.??:??] W 1
el el DA0MS0 1
protocolo protocolo NCMS000 0.980769
SIP sip NP00000 1
es ser VSIP3S0 1
obligatorio obligatorio AQ0MS00 0.661216
para para SP 0.999834
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
directa directo AQ0FS00 1
entre entre SP 0.980341
concesionarios concesionario NCMP000 0.62798
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
consideró considerar VMIS3S0 1
que que CS 0.449861
a_efecto_de a_efecto_de SP 1
llevar llevar VMN0000 1
una uno DI0FS0 0.951973
transición transición NCFS000 1
ordenada ordenar VMP00SF 0.623747
hacia hacia SP 1
el el DA0MS0 1
uso uso NCMS000 0.998047
de de SP 1
el el DA0MS0 1
protocolo protocolo NCMS000 0.980769
SIP sip NP00000 1
como como CS 0.967153
obligatorio obligatorio AQ0MS00 0.661216
se se P00CN00 0.494509
requiere requerir VMIP3S0 0.945545
de de SP 0.999961
un uno DI0MS0 0.99698
Comité comité NP00000 1
en en SP 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
puedan poder VMSP3P0 0.997382
definir definir VMN0000 1
, , Fc 1
en en SP 1
conjunto conjunto NCMS000 0.866375
con con SP 1
la el DA0FS0 0.98926
industria industria NCFS000 0.993994
las el DA0FP0 0.988184
ciudades ciudad NCFP000 1
, , Fc 1
los el DA0MP0 0.992728
puntos punto NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
IP ip NP00000 1
, , Fc 1
los el DA0MP0 0.992728
volúmenes volumen NCMP000 1
de de SP 0.999961
tráfico tráfico NCMS000 1
, , Fc 1
el el DA0MS0 1
calendario calendario NCMS000 1
de de SP 0.999961
migración migración NCFS000 1
y y CC 0.999989
los el DA0MP0 0.992728
demás demás PI0CP00 0.719907
elementos elemento NCMP000 1
que que CS 0.449861
sean ser VSSP3P0 0.996689
necesarios necesario AQ0MP00 1
. . Fp 1

TERCERO 3 AO0MS00 0.986928
. . Fp 1
- - Fg 1
De de SP 1
el el DA0MS0 1
Comité_Técnico comité_técnico NP00000 1
y y CC 0.999989
sus su DP3CPN 0.999903
reglas regla NCFP000 0.994505
de de SP 0.999961
operación operación NCFS000 1
. . Fp 1

El el DA0MS0 1
Transitorio_Primero_de_el_Acuerdo_de_CTM transitorio_primero_de_el_acuerdo_de_ctm NP00000 1
2018 2018 Z 1
, , Fc 1
dispone disponer VMIP3S0 1
que que CS 0.449861
el el DA0MS0 1
Instituto instituto NP00000 1
deberá deber VMIF3S0 1
establecer establecer VMN0000 1
un uno DI0MS0 0.99698
Comité_Técnico comité_técnico NP00000 1
para para SP 0.999834
la el DA0FS0 0.98926
migración migración NCFS000 1
de de SP 0.999961
interconexiones interconexión NCFP000 1
mediante mediante SP 0.99763
protocolo protocolo NCMS000 0.980769
de de SP 0.999961
señalización señalización NCFS000 1
PAUSI-MX pausi-mx NP00000 1
a a SP 0.998775
interconexiones interconexión NCFP000 1
mediante mediante SP 0.99763
protocolo protocolo NCMS000 0.980769
de de SP 0.999961
señalización señalización NCFS000 1
SIP-IP sip-ip NP00000 1
, , Fc 1
en en SP 1
un uno DI0MS0 0.99698
plazo plazo NCMS000 1
que que PR0CN00 0.550139
no no RN 0.999297
exceda exceder VMSP3S0 0.634861
de de SP 0.999961
ciento_ochenta_días TM_d:180 Zu 1
naturales natural AQ0CP00 0.991803
contados contar VMP00PM 0.623747
a_partir_de a_partir_de SP 1
la el DA0FS0 0.98926
entrada entrada NCFS000 0.998008
en en SP 1
vigor vigor NCMS000 1
de de SP 1
el el DA0MS0 1
Acuerdo_de_CTM acuerdo_de_ctm NP00000 1
2018 2018 Z 1
. . Fp 1

En en SP 1
tal tal DD0CS0 0.672764
sentido sentido NCMS000 0.940835
, , Fc 1
tomando tomar VMG0000 1
en en SP 1
cuenta contar VMIP3S0 0.768585
la el DA0FS0 0.98926
atribución atribución NCFS000 1
de de SP 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
dispuesta disponer VMP00SF 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
6 6 Z 1
fracción fracción NCFS000 1
IV_de_el_Estatuto iv_de_el_estatuto NP00000 1
, , Fc 1
para para SP 0.999834
ordenar ordenar VMN0000 1
la el DA0FS0 0.98926
conformación conformación NCFS000 1
de de SP 0.999961
comités comité NCMP000 1
técnicos técnico AQ0MP00 0.287234
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
, , Fc 1
es ser VSIP3S0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
considera considerar VMIP3S0 0.998721
procedente procedente AQ0CS00 1
establecer establecer VMN0000 1
dicho decir VMP00SM 0.997159
Comité_Técnico comité_técnico NP00000 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
tendrá tener VMIF3S0 1
por por SP 1
objeto objeto NCMS000 0.996183
