RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_A_FAVOR_DE_LA_VOZ_DE_LA_MIXTECA resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_a_favor_de_la_voz_de_la_mixteca NP00000 1
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
en en SP 1
cuatro 4 Z 1
tipos tipo NCMP000 1
de_acuerdo_con de_acuerdo_con SP 1
sus su DP3CPN 0.999903
fines fin NCMP000 0.994186
: : Fd 1
comercial comercial AQ0CS00 1
, , Fc 1
pública público AQ0FS00 1
, , Fc 1
privada privar VMP00SF 0.936047
o o CC 0.999864
social social AQ0CS00 0.998783
. . Fp 1

En en SP 1
particular particular AQ0CS00 0.827869
, , Fc 1
dispone disponer VMIP3S0 1
que que CS 0.449861
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
para para SP 0.999834
uso uso NCMS000 0.998047
social social AQ0CS00 0.998783
confieren conferir VMIP3P0 1
el el DA0MS0 1
derecho derecho NCMS000 0.882166
de de SP 0.999961
prestar prestar VMN0000 1
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
con con SP 1
propósitos propósito NCMP000 1
culturales cultural AQ0CP00 1
, , Fc 1
científicos científico NCMP000 0.916667
, , Fc 1
educativos educativo AQ0MP00 1
o o CC 0.999864
a a SP 0.998775
la el DA0FS0 0.98926
comunidad comunidad NCFS000 1
, , Fc 1
sin sin SP 1
fines fin NCMP000 0.994186
de de SP 0.999961
lucro lucro NCMS000 0.989726
, , Fc 1
quedando quedar VMG0000 1
comprendidas comprender VMP00PF 1
en en SP 1
esta este DD0FS0 0.978817
categoría categoría NCFS000 1
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
comunitarias comunitario AQ0FP00 1
y y CC 0.999989
las el DA0FP0 0.988184
indígenas indígena NCCP000 0.596154
, , Fc 1
así_como así_como CC 1
las el DA0FP0 0.988184
que que PR0CN00 0.550139
se se P00CN00 0.494509
otorguen otorgar VMSP3P0 0.941964
a a SP 0.998775
instituciones institución NCFP000 1
de de SP 0.999961
educación educación NCFS000 1
superior superior AQ0CS00 0.971939
de de SP 0.999961
carácter carácter NCMS000 1
privado privar VMP00SM 0.99569
, , Fc 1
como como CS 0.967153
se se P00CN00 0.494509
advierte advertir VMIP3S0 0.991071
de de SP 0.999961
la el DA0FS0 0.98926
lectura lectura NCFS000 1
siguiente siguiente AQ0CS00 1
: : Fd 1
“ “ Fra 1
Artículo artículo NCMS000 0.668984
67 67 Z 1
. . Fp 1

De_acuerdo_con de_acuerdo_con SP 1
sus su DP3CPN 0.999903
fines fin NCMP000 0.994186
, , Fc 1
la el DA0FS0 0.98926
concesión concesión NCFS000 1
única único AQ0FS00 1
será ser VSIF3S0 1
: : Fd 1
… … Fz 1
IV iv NP00000 1
. . Fp 1

Para para SP 0.999834
uso uso NCMS000 0.998047
social social AQ0CS00 0.998783
: : Fd 1
Confiere conferir VMIP3S0 0.989239
el el DA0MS0 1
derecho derecho NCMS000 0.882166
de de SP 0.999961
prestar prestar VMN0000 1
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
con con SP 1
propósitos propósito NCMP000 1
culturales cultural AQ0CP00 1
, , Fc 1
científicos científico NCMP000 0.916667
, , Fc 1
educativos educativo AQ0MP00 1
o o CC 0.999864
a a SP 0.998775
la el DA0FS0 0.98926
comunidad comunidad NCFS000 1
, , Fc 1
sin sin SP 1
fines fin NCMP000 0.994186
de de SP 0.999961
lucro lucro NCMS000 0.989726
. . Fp 1

Quedan quedar VMIP3P0 1
comprendidas comprender VMP00PF 1
en en SP 1
esta este DD0FS0 0.978817
categoría categoría NCFS000 1
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
comunitarias comunitario AQ0FP00 1
y y CC 0.999989
las el DA0FP0 0.988184
indígenas indígena NCCP000 0.596154
; ; Fx 1
así_como así_como CC 1
las el DA0FP0 0.988184
que que PR0CN00 0.550139
se se P00CN00 0.494509
otorguen otorgar VMSP3P0 0.941964
a a SP 0.998775
instituciones institución NCFP000 1
de de SP 0.999961
educación educación NCFS000 1
superior superior AQ0CS00 0.971939
de de SP 0.999961
carácter carácter NCMS000 1
privado privar VMP00SM 0.99569
. . Fp 1

Las el DA0FP0 0.988184
concesiones concesión NCFP000 1
para para SP 0.999834
uso uso NCMS000 0.998047
social social AQ0CS00 0.998783
comunitaria comunitario AQ0FS00 1
, , Fc 1
se se P00CN00 0.494509
podrán poder VMIF3P0 1
otorgar otorgar VMN0000 1
a a SP 0.998775
organizaciones organización NCFP000 1
de de SP 0.999961
la el DA0FS0 0.98926
sociedad sociedad NCFS000 1
civil civil AQ0CS00 0.997788
que que PR0CN00 0.550139
no no RN 0.999297
persigan perseguir VMSP3P0 0.941964
ni ni CC 0.834853
operen operar VMSP3P0 0.941964
con con SP 1
fines fin NCMP000 0.994186
de de SP 0.999961
lucro lucro NCMS000 0.989726
y y CC 0.999989
que que CS 0.449861
estén estar VMSP3P0 0.968085
constituidas constituir VMP00PF 1
bajo bajo SP 0.909179
los el DA0MP0 0.992728
principios principio NCMP000 1
de de SP 0.999961
participación participación NCFS000 1
ciudadana ciudadano AQ0FS00 0.738095
directa directo AQ0FS00 1
, , Fc 1
convivencia convivencia NCFS000 1
social social AQ0CS00 0.998783
, , Fc 1
equidad equidad NCFS000 1
, , Fc 1
igualdad igualdad NCFS000 1
de de SP 0.999961
género género NCMS000 1
y y CC 0.999989
pluralidad pluralidad NCFS000 1
. . Fp 1

Las el DA0FP0 0.988184
concesiones concesión NCFP000 1
para para SP 0.999834
uso uso NCMS000 0.998047
social social AQ0CS00 0.998783
indígena indígena AQ0CS00 0.425847
, , Fc 1
se se P00CN00 0.494509
podrán poder VMIF3P0 1
otorgar otorgar VMN0000 1
a a SP 0.998775
los el DA0MP0 0.992728
pueblos pueblo NCMP000 1
y y CC 0.999989
comunidades comunidad NCFP000 1
indígenas indígena AQ0CP00 0.403846
de de SP 1
el el DA0MS0 1
país país NCMS000 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
los el DA0MP0 0.992728
lineamientos lineamiento NCMP000 1
que que PR0CN00 0.550139
emita emitir VMSP3S0 0.634856
el el DA0MS0 1
Instituto instituto NP00000 1
y y CC 0.999989
tendrán tener VMIF3P0 1
como como CS 0.967153
fin fin NCMS000 1
la el DA0FS0 0.98926
promoción promoción NCFS000 1
, , Fc 1
desarrollo desarrollo NCMS000 0.99884
y y CC 0.999989
preservación preservación NCFS000 1
de de SP 0.999961
sus su DP3CPN 0.999903
lenguas lengua NCFP000 1
, , Fc 1
su su DP3CSN 1
cultura cultura NCFS000 1
, , Fc 1
sus su DP3CPN 0.999903
conocimientos conocimiento NCMP000 1
promoviendo promover VMG0000 1
sus su DP3CPN 0.999903
tradiciones tradición NCFP000 1
, , Fc 1
normas norma NCFP000 1
internas interno AQ0FP00 0.962264
y y CC 0.999989
bajo bajo SP 0.909179
principios principio NCMP000 1
que que PR0CN00 0.550139
respeten respetar VMSP3P0 0.941964
la el DA0FS0 0.98926
igualdad igualdad NCFS000 1
de de SP 0.999961
género género NCMS000 1
, , Fc 1
permitan permitir VMSP3P0 0.990196
la el DA0FS0 0.98926
integración integración NCFS000 1
de de SP 0.999961
mujeres mujer NCFP000 1
indígenas indígena AQ0CP00 0.403846
en en SP 1
la el DA0FS0 0.98926
participación participación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
objetivos objetivo NCMP000 0.962329
para para SP 0.999834
los el DA0MP0 0.992728
que que PR0CN00 0.550139
se se P00CN00 0.494509
solicita solicitar VMIP3S0 0.989241
la el DA0FS0 0.98926
concesión concesión NCFS000 1
y y CC 0.999989
demás demás DI0CP0 0.280093
elementos elemento NCMP000 1
que que PR0CN00 0.550139
constituyen constituir VMIP3P0 1
las el DA0FP0 0.988184
culturas cultura NCFP000 1
e y CC 0.987994
identidades identidad NCFP000 1
indígenas indígena AQ0CP00 0.403846
. . Fp 1
” ” Frc 1
[ [ Fca 1
Énfasis énfasis NCMN000 0.668984
añadido añadir VMP00SM 0.992958
] ] Fct 1
Por por NP00000 1
otra otro DI0FS0 0.740893
parte parte NCCS000 0.977711
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
59 59 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
establece establecer VMIP3S0 0.992424
que que CS 0.449861
el el DA0MS0 1
Instituto instituto NP00000 1
expedirá expedir VMIF3S0 1
de de SP 0.999961
manera manera NCFS000 1
anual anual AQ0CS00 1
el el DA0MS0 1
programa programa NCMS000 0.997879
de de SP 0.999961
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
mismo mismo AQ0MS00 0.802208
que que PR0CN00 0.550139
contendrá contener VMIF3S0 1
las el DA0FP0 0.988184
frecuencias frecuencia NCFP000 1
o o CC 0.999864
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 0.999961
espectro espectro NCMS000 1
determinado determinar VMP00SM 1
que que PR0CN00 0.550139
serán ser VSIF3P0 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
licitación licitación NCFS000 1
o o CC 0.999864
que que PR0CN00 0.550139
podrán poder VMIF3P0 1
asignar asignar VMN0000 1
se se PP3CN00 1
directamente directamente RG 1
y y CC 0.999989
que que PR0CN00 0.550139
contendrá contener VMIF3S0 1
a a SP 1
el el DA0MS0 1
menos menos RG 0.990694
, , Fc 1
los el DA0MP0 0.992728
servicios servicio NCMP000 1
que que PR0CN00 0.550139
pueden poder VMIP3P0 1
prestar prestar VMN0000 1
se se PP3CN00 1
a_través_de a_través_de SP 1
dichas decir VMP00PF 0.980769
frecuencias frecuencia NCFP000 1
o o CC 0.999864
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
, , Fc 1
su su DP3CSN 1
categoría categoría NCFS000 1
, , Fc 1
modalidades modalidad NCFP000 1
de de SP 0.999961
uso uso NCMS000 0.998047
y y CC 0.999989
coberturas cobertura NCFP000 1
geográficas geográfico AQ0FP00 1
. . Fp 1

Así así RG 0.999409
el el DA0MS0 1
artículo artículo NCMS000 1
59 59 Z 1
prevé prever VMIP3S0 0.967836
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
“ “ Fra 1
Artículo artículo NCMS000 0.668984
59 59 Z 1
. . Fp 1

El el DA0MS0 1
Instituto instituto NP00000 1
expedirá expedir VMIF3S0 1
, , Fc 1
a_más_tardar a_más_tardar RG 1
el el DA0MS0 1
treinta_y_uno_de_diciembre [??:31/12/??:??.??:??] W 1
de de SP 0.999961
cada cada DI0CS0 1
año año NCMS000 1
, , Fc 1
el el DA0MS0 1
programa programa NCMS000 0.997879
de de SP 0.999961
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
con con SP 1
las el DA0FP0 0.988184
frecuencias frecuencia NCFP000 1
o o CC 0.999864
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 0.999961
espectro espectro NCMS000 1
determinado determinar VMP00SM 1
que que PR0CN00 0.550139
serán ser VSIF3P0 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
licitación licitación NCFS000 1
o o CC 0.999864
que que PR0CN00 0.550139
podrán poder VMIF3P0 1
asignar asignar VMN0000 1
se se PP3CN00 1
directamente directamente RG 1
y y CC 0.999989
contendrá contener VMIF3S0 1
, , Fc 1
a a SP 1
el el DA0MS0 1
menos menos RG 0.990694
, , Fc 1
los el DA0MP0 0.992728
servicios servicio NCMP000 1
que que PR0CN00 0.550139
pueden poder VMIP3P0 1
prestar prestar VMN0000 1
se se PP3CN00 1
a_través_de a_través_de SP 1
dichas decir VMP00PF 0.980769
frecuencias frecuencia NCFP000 1
o o CC 0.999864
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
, , Fc 1
su su DP3CSN 1
categoría categoría NCFS000 1
, , Fc 1
modalidades modalidad NCFP000 1
de de SP 0.999961
uso uso NCMS000 0.998047
y y CC 0.999989
coberturas cobertura NCFP000 1
geográficas geográfico AQ0FP00 1
. . Fp 1
” ” Frc 1
En en SP 1
este este DD0MS0 0.949201
sentido sentido NCMS000 0.940835
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
87 87 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
multicitada multicitada VMP00SF 1
Ley ley NP00000 1
establece establecer VMIP3S0 0.992424
que que CS 0.449861
los el DA0MP0 0.992728
interesados interesar VMP00PM 0.980769
en en SP 1
obtener obtener VMN0000 1
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
sobre sobre SP 0.997804
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
social social AQ0CS00 0.998783
para para SP 0.999834
prestar prestar VMN0000 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
deberán deber VMIF3P0 1
presentar presentar VMN0000 1
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
establecidos establecer VMP00PM 1
por por SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
85 85 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
dentro_de dentro_de SP 1
el el DA0MS0 1
plazo plazo NCMS000 1
establecido establecer VMP00SM 1
por por SP 1
el el DA0MS0 1
Programa_Anual programa_anual NP00000 1
: : Fd 1
“ “ Fra 1
Artículo artículo NCMS000 0.668984
87 87 Z 1
. . Fp 1

Los el DA0MP0 0.992728
interesados interesar VMP00PM 0.980769
en en SP 1
obtener obtener VMN0000 1
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
sobre sobre SP 0.997804
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
social social AQ0CS00 0.998783
para para SP 0.999834
prestar prestar VMN0000 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
, , Fc 1
deberán deber VMIF3P0 1
presentar presentar VMN0000 1
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
establecidos establecer VMP00PM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
85 85 Z 1
de de SP 0.999961
esta este DD0FS0 0.978817
Ley ley NP00000 1
, , Fc 1
dentro_de dentro_de SP 1
el el DA0MS0 1
plazo plazo NCMS000 1
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
programa programa NCMS000 0.997879
anual anual AQ0CS00 1
de de SP 0.999961
uso uso NCMS000 0.998047
y y CC 0.999989
aprovechamiento aprovechamiento NCMS000 1
de de SP 0.999961
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
. . Fp 1

… … Fz 1
” ” Frc 1
Por por SP 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
en en SP 1
concordancia concordancia NCFS000 1
con con SP 1
lo el DA00S0 0.665165
previsto prever VMP00SM 1
por por SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
59 59 Z 1
y y CC 0.999989
87 87 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
con con SP 1
fecha fecha NCFS000 0.990741
6_de_abril_de_2015 [??:6/4/2015:??.??:??] W 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
“ “ Fra 1
Acuerdo acuerdo NCMS000 0.991798
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
modifica modificar VMIP3S0 0.973451
el el DA0MS0 1
Programa_Anual_de_Uso programa_anual_de_uso NP00000 1
y y CC 0.999989
Aprovechamiento_de_Bandas_de_Frecuencias aprovechamiento_de_bandas_de_frecuencias NP00000 1
2015 2015 Z 1
” ” Frc 1
y y CC 0.999989
que que CS 0.449861
en en SP 1
su su DP3CSN 1
Anexo anexo NP00000 1
Uno uno PI0MS00 0.981709
contiene contener VMIP3S0 1
la el DA0FS0 0.98926
versión versión NCFS000 1
final final AQ0CS00 0.365702
de de SP 1
el el DA0MS0 1
Programa_Anual_de_Uso programa_anual_de_uso NP00000 1
y y CC 0.999989
Aprovechamiento_de_Bandas_de_Frecuencias aprovechamiento_de_bandas_de_frecuencias NP00000 1
2015 2015 Z 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Programa_Anual programa_anual NP00000 1
2015 2015 Z 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
mismo mismo PI0MS00 0.163706
que que PR0CN00 0.550139
en en SP 1
el el DA0MS0 1
numeral numeral NCMS000 0.349312
3.4 3.4 Z 1
. . Fp 1
de de SP 0.999961
su su DP3CSN 1
capítulo capítulo NCMS000 1
3 3 Z 1
estableció establecer VMIS3S0 1
dos 2 Z 0.999868
periodos periodo NCMP000 1
para para SP 0.999834
la el DA0FS0 0.98926
presentación presentación NCFS000 1
de de SP 0.999961
solicitudes solicitud NCFP000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
uso uso NCMS000 0.998047
social social AQ0CS00 0.998783
, , Fc 1
siendo ser VSG0000 1
estos este DD0MP0 0.972009
de de SP 1
el el DA0MS0 1
3 3 Z 1
a a SP 1
el el DA0MS0 1
14_de_agosto_de_2015 [??:14/8/2015:??.??:??] W 1
y y CC 0.999989
de de SP 1
el el DA0MS0 1
17 17 Z 1
a a SP 1
el el DA0MS0 1
30_de_noviembre_de_2015 [??:30/11/2015:??.??:??] W 1
. . Fp 1

Dichos decir VMP00PM 0.953488
periodos periodo NCMP000 1
resultan resultar VMIP3P0 1
aplicables aplicable AQ0CP00 1
para para SP 0.999834
las el DA0FP0 0.988184
solicitudes solicitud NCFP000 1
relativas relativo AQ0FP00 1
a a SP 0.998775
las el DA0FP0 0.988184
localidades localidad NCFP000 1
previstas prever VMP00PF 1
en en SP 1
el el DA0MS0 1
numeral numeral NCMS000 0.349312
2.3.2 2.3.2 Z 1
de de SP 1
el el DA0MS0 1
Programa_Anual programa_anual NP00000 1
2015 2015 Z 1
en en SP 1
las el DA0FP0 0.988184
tablas tabla NCFP000 1
denominadas denominar VMP00PF 1
“ “ Fra 1
Frecuencias_FM frecuencias_fm NP00000 1
para para SP 0.999834
concesiones concesión NCFP000 1
de de SP 0.999961
uso uso NCMS000 0.998047
social social AQ0CS00 0.998783
” ” Frc 1
y y CC 0.999989
“ “ Fra 1
Frecuencias_AM frecuencias_am NP00000 1
para para SP 0.999834
concesiones concesión NCFP000 1
de de SP 0.999961
uso uso NCMS000 0.998047
social social AQ0CS00 0.998783
” ” Frc 1
. . Fp 1

Adicionalmente adicionalmente RG 1
, , Fc 1
es ser VSIP3S0 1
importante importante AQ0CS00 1
destacar destacar VMN0000 1
que que CS 0.449861
tratando tratar VMG0000 1
se se PP3CN00 1
de de SP 0.999961
concesiones concesión NCFP000 1
para para SP 0.999834
uso uso NCMS000 0.998047
social social AQ0CS00 0.998783
comunitarias comunitario AQ0FP00 1
e y CC 0.987994
indígenas indígena AQ0CP00 0.403846
tanto tanto RG 0.806143
la el DA0FS0 0.98926
Ley ley NP00000 1
en en SP 1
su su DP3CSN 1
artículo artículo NCMS000 1
90 90 Z 1
, , Fc 1
como como CS 0.967153
el el DA0MS0 1
Programa_Anual programa_anual NP00000 1
en en SP 1
su su DP3CSN 1
numeral numeral NCMS000 0.349312
2.3.2.1 2.3.2.1 Z 1
. . Fp 1
prevén prever VMIP3P0 1
una uno DI0FS0 0.951973
reserva reserva NCCS000 0.834586
en en SP 1
los el DA0MP0 0.992728
términos término NCMP000 1
siguientes siguiente AQ0CP00 1
: : Fd 1
“ “ Fra 1
Artículo artículo NCMS000 0.668984
90 90 Z 1
. . Fp 1
… … Fz 1
El_Instituto el_instituto NP00000 1
deberá deber VMIF3S0 1
reservar reservar VMN0000 1
para para SP 0.999834
estaciones estación NCFP000 0.992424
de de SP 0.999961
radio radio NCCS000 0.994505
FM fm NP00000 1
comunitarias comunitario AQ0FP00 1
e y CC 0.987994
indígenas indígena AQ0CP00 0.403846
el el DA0MS0 1
diez 10 Z 1
por por SP 1
ciento 100 Z 0.699081
de de SP 0.999961
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
de de SP 0.999961
FM fm NP00000 1
, , Fc 1
que que PR0CN00 0.550139
va ir VMIP3S0 1
de de SP 0.999961
los el DA0MP0 0.992728
88 88 Z 1
a a SP 0.998775
los el DA0MP0 0.992728
108 108 Z 1
MHz mhz NP00000 1
. . Fp 1

Dicho decir VMP00SM 0.994334
porcentaje porcentaje NCMS000 1
se se P00CN00 0.494509
concesionará concesionará VMIF3S0 1
en en SP 1
la el DA0FS0 0.98926
parte parte NCCS000 0.977711
alta alto AQ0FS00 0.996988
de de SP 0.999961
la el DA0FS0 0.98926
referida referir VMP00SF 1
banda banda NCFS000 1
. . Fp 1

El el DA0MS0 1
Instituto instituto NP00000 1
podrá poder VMIF3S0 1
otorgar otorgar VMN0000 1
concesiones concesión NCFP000 1
para para SP 0.999834
estaciones estación NCFP000 0.992424
de de SP 0.999961
radio radio NCCS000 0.994505
AM am NP00000 1
, , Fc 1
comunitarias comunitario AQ0FP00 1
e y CC 0.987994
indígenas indígena AQ0CP00 0.403846
, , Fc 1
en en SP 1
el el DA0MS0 1
segmento segmento NCMS000 0.989726
de de SP 0.999961
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
ampliada ampliar VMP00SF 1
que que PR0CN00 0.550139
va ir VMIP3S0 1
de de SP 0.999961
los el DA0MP0 0.992728
1605 1605 Z 1
a a SP 0.998775
los el DA0MP0 0.992728
1705 1705 Z 1
KHz khz NP00000 1
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
sin_perjuicio_de sin_perjuicio_de SP 1
que que CS 0.449861
el el DA0MS0 1
Instituto instituto NP00000 1
pueda poder VMSP3S0 0.499421
otorgar otorgar VMN0000 1
concesiones concesión NCFP000 1
de de SP 0.999961
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
, , Fc 1
comercial comercial AQ0CS00 1
o o CC 0.999864
social social AQ0CS00 0.998783
, , Fc 1
que que PR0CN00 0.550139
no no RN 0.999297
sean ser VSSP3P0 0.996689
comunitarias comunitario AQ0FP00 1
o o CC 0.999864
indígenas indígena AQ0CP00 0.403846
, , Fc 1
en en SP 1
el el DA0MS0 1
resto resto NCMS000 0.998634
de de SP 1
el el DA0MS0 1
segmento segmento NCMS000 0.989726
de de SP 0.999961
AM. am. NP00000 1
… … Fz 1
” ” Frc 1
“ “ Fra 1
2.3.2.1 2.3.2.1 Z 1
. . Fp 1

Reserva reserva NCCS000 0.828358
para para SP 0.999834
estaciones estación NCFP000 0.992424
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
comunitarias comunitario AQ0FP00 1
e y CC 0.987994
indígenas indígena AQ0CP00 0.403846
El_Programa el_programa NP00000 1
2015 2015 Z 1
contempla contemplar VMIP3S0 0.990196
las el DA0FP0 0.988184
siguientes siguiente AQ0CP00 1
Bandas_de_Frecuencias bandas_de_frecuencias NP00000 1
como como CS 0.967153
reservadas reservar VMP00PF 1
exclusivamente exclusivamente RG 1
para para SP 0.999834
concesiones concesión NCFP000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
de de SP 0.999961
uso uso NCMS000 0.998047
social social AQ0CS00 0.998783
comunitarias comunitario AQ0FP00 1
e y CC 0.987994
indígenas indígena AQ0CP00 0.403846
; ; Fx 1
a a SP 0.998775
) ) Fpt 1
Frecuencia_Modulada frecuencia_modulada NP00000 1
( ( Fpa 1
FM fm NP00000 0.47288
) ) Fpt 1
: : Fd 1
106 106 Z 1
MHz mhz NP00000 1
a a SP 0.998775
108 108 Z 1
MHz mhz NP00000 1
. . Fp 1

b b NCFS000 1
) ) Fpt 1
Amplitud_Modulada amplitud_modulada NP00000 1
( ( Fpa 1
AM am NP00000 0.309655
) ) Fpt 1
: : Fd 1
1,605 1.605 Z 1
kHz khz NCFS000 0.515128
a a SP 0.998775
1,705 1.705 Z 1
kHz khz NCFS000 0.515128
. . Fp 1

En_caso_de en_caso_de SP 1
que que CS 0.449861
no no RN 0.999297
exista existir VMSP3S0 0.497942
disponibilidad disponibilidad NCFS000 1
en en SP 1
la el DA0FS0 0.98926
reserva reserva NCCS000 0.834586
correspondiente correspondiente AQ0CS00 0.993421
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
verificará verificar VMIF3S0 1
si si CS 0.999827
existe existir VMIP3S0 0.997925
disponibilidad disponibilidad NCFS000 1
en en SP 1
el el DA0MS0 1
resto resto NCMS000 0.998634
de de SP 0.999961
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
que que CS 0.449861
se se P00CN00 0.494509
trate tratar VMSP3S0 0.495935
y y CC 0.999989
valorará valorar VMIF3S0 1
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
respectiva respectivo AQ0FS00 1
, , Fc 1
procurando procurar VMG0000 1
asignar asignar VMN0000 1
en en SP 1
el el DA0MS0 1
resto resto NCMS000 0.998634
de de SP 0.999961
la el DA0FS0 0.98926
banda banda NCFS000 1
hasta hasta SP 0.922749
un uno DI0MS0 0.99698
número número NCMS000 1
igual igual AQ0CS00 0.592493
a a SP 0.998775
la el DA0FS0 0.98926
cantidad cantidad NCFS000 1
de de SP 0.999961
espacios espacio NCMP000 1
ocupados ocupar VMP00PM 1
por por SP 1
estaciones estación NCFP000 0.992424
que que PR0CN00 0.550139
no no RN 0.999297
sean ser VSSP3P0 0.996689
comunitarias comunitario AQ0FP00 1
e y CC 0.987994
indígenas indígena AQ0CP00 0.403846
, , Fc 1
que que PR0CN00 0.550139
ya ya RG 0.999785
se se P00CN00 0.494509
encuentren encontrar VMSP3P0 0.941964
operando operar VMG0000 0.813333
en en SP 1
el el DA0MS0 1
segmento segmento NCMS000 0.989726
de_reserva de_reserva RG 1
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
con con SP 1
independencia independencia NCFS000 1
de de SP 0.999961
que que CS 0.449861
los el DA0MP0 0.992728
interesados interesar VMP00PM 0.980769
en en SP 1
solicitar solicitar VMN0000 1
concesiones concesión NCFP000 1
para para SP 0.999834
Uso_Social uso_social NP00000 1
comunitaria comunitario AQ0FS00 1
e y CC 0.987994
indígena indígena AQ0CS00 0.425847
, , Fc 1
lo lo PP3MSA0 0.334764
puedan poder VMSP3P0 0.997382
hacer hacer VMN0000 1
en en SP 1
el el DA0MS0 1
resto resto NCMS000 0.998634
de de SP 0.999961
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
