RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_A_TACTIC_TEL resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_a_tactic_tel NP00000 1
I_de_el_Estatuto_Orgánico i_de_el_estatuto_orgánico NP00000 1
, , Fc 1
corresponde corresponder VMIP3S0 0.996183
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Telecomunicaciones dirección_general_de_concesiones_de_telecomunicaciones NP00000 1
, , Fc 1
tramitar tramitar VMN0000 1
y y CC 0.999989
evaluar evaluar VMN0000 1
las el DA0FP0 0.988184
solicitudes solicitud NCFP000 1
para para SP 0.999834
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
concesiones concesión NCFP000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
con_excepción_de con_excepción_de SP 1
aquellas aquel PD0FP00 0.180233
que que PR0CN00 0.550139
deban deber VMSP3P0 0.941964
otorgar otorgar VMN0000 1
se se PP3CN00 1
a_través_de a_través_de SP 1
un uno DI0MS0 0.99698
procedimiento procedimiento NCMS000 1
de de SP 0.999961
licitación licitación NCFS000 1
pública público AQ0FS00 1
, , Fc 1
para para SP 0.999834
someter someter VMN0000 1
las lo PP3FPA0 1
a a SP 0.998775
consideración consideración NCFS000 1
de de SP 1
el el DA0MS0 1
Pleno pleno NP00000 1
. . Fp 1

En en SP 1
este este DD0MS0 0.949201
orden orden NCCS000 1
de de SP 0.999961
ideas idea NCFP000 0.991031
, , Fc 1
y y CC 0.999989
considerando considerar VMG0000 0.813333
que que CS 0.449861
el el DA0MS0 1
Instituto instituto NP00000 1
tiene tener VMIP3S0 1
a a SP 0.998775
su su DP3CSN 1
cargo cargo NCMS000 0.998084
la el DA0FS0 0.98926
regulación regulación NCFS000 1
, , Fc 1
promoción promoción NCFS000 1
y y CC 0.999989
supervisión supervisión NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
así_como así_como CC 1
la el DA0FS0 0.98926
facultad facultad NCFS000 0.988202
de de SP 0.999961
otorgar otorgar VMN0000 1
concesiones concesión NCFP000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
, , Fc 1
el el DA0MS0 1
Pleno pleno NP00000 1
, , Fc 1
como como CS 0.967153
órgano órgano NCMS000 1
máximo máximo AQ0MS00 0.863176
de de SP 0.999961
gobierno gobierno NCMS000 0.989726
y y CC 0.999989
decisión decisión NCFS000 1
de de SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
se se P00CN00 0.494509
encuentra encontrar VMIP3S0 0.97619
plenamente plenamente RG 1
facultado facultar VMP00SM 1
para para SP 0.999834
resolver resolver VMN0000 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
. . Fp 1

Segundo 2 AO0MS00 0.900353
. . Fp 1
- - Fg 1
Marco marco NCMS000 0.993808
legal legal AQ0CS00 1
aplicable aplicable AQ0CS00 1
a a SP 0.998775
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
. . Fp 1

El el DA0MS0 1
párrafo párrafo NCMS000 1
segundo 2 AO0MS00 0.901147
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
Cuarto_Transitorio_de_el_Decreto_de_Reforma_Constitucional cuarto_transitorio_de_el_decreto_de_reforma_constitucional NP00000 1
, , Fc 1
señala señalar VMIP3S0 0.997076
que que CS 0.449861
en en SP 1
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
que que PR0CN00 0.550139
la el DA0FS0 0.98926
Ley ley NP00000 1
establezca establecer VMSP3S0 0.484863
como como CS 0.967153
únicas único AQ0FP00 1
, , Fc 1
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
estarán estar VMIF3P0 0.994505
habilitados habilitar VMP00PM 0.623747
para para SP 0.999834
prestar prestar VMN0000 1
todo todo DI0MS0 0.6662
tipo tipo NCMS000 1
de de SP 0.999961
servicios servicio NCMP000 1
a_través_de a_través_de SP 1
sus su DP3CPN 0.999903
redes red NCFP000 0.990196
. . Fp 1

A a SP 1
el el DA0MS0 1
respecto respecto NCMS000 0.989726
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
66 66 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
establece establecer VMIP3S0 0.992424
que que CS 0.449861
se se P00CN00 0.494509
requerirá requerir VMIF3S0 1
concesión concesión NCFS000 1
única único AQ0FS00 1
para para SP 0.999834
prestar prestar VMN0000 1
todo todo DI0MS0 0.6662
tipo tipo NCMS000 1
de de SP 0.999961
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
67 67 Z 1
fracción fracción NCFS000 1
I_de_la_Ley i_de_la_ley NP00000 1
dispone disponer VMIP3S0 1
que que CS 0.449861
la el DA0FS0 0.98926
concesión concesión NCFS000 1
única único AQ0FS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
confiere conferir VMIP3S0 0.989239
el el DA0MS0 1
derecho derecho NCMS000 0.882166
a a SP 0.998775
personas persona NCFP000 0.999585
físicas físico AQ0FP00 0.962264
o o CC 0.999864
morales moral AQ0CP00 0.640816
para para SP 0.999834
prestar prestar VMN0000 1
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
, , Fc 1
con con SP 1
fines fin NCMP000 0.994186
de de SP 0.999961
lucro lucro NCMS000 0.989726
, , Fc 1
a_través_de a_través_de SP 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
. . Fp 1

Es ser VSIP3S0 1
importante importante AQ0CS00 1
mencionar mencionar VMN0000 1
que que CS 0.449861
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
debe deber VMIP3S0 0.998712
contener contener VMN0000 1
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
establecidos establecer VMP00PM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
73 73 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
establece establecer VMIP3S0 0.992424
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
“ “ Fra 1
Artículo artículo NCMS000 0.668984
73 73 Z 1
. . Fp 1

Los el DA0MP0 0.992728
interesados interesar VMP00PM 0.980769
en en SP 1
obtener obtener VMN0000 1
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
única único AQ0FS00 1
, , Fc 1
cualquiera cualquiera PI0CS00 0.992958
que que PR0CN00 0.550139
sea ser VSSP1S0 0.49434
su su DP3CSN 1
uso uso NCMS000 0.998047
, , Fc 1
deberán deber VMIF3P0 1
presentar presentar VMN0000 1
a a SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
solicitud solicitud NCFS000 1
que que PR0CN00 0.550139
contenga contener VMSP3S0 0.634863
como_mínimo como_mínimo RG 1
: : Fd 1
I._Nombre i._nombre NP00000 1
y y CC 0.999989
domicilio domicilio NCMS000 0.995868
de de SP 1
el el DA0MS0 1
solicitante solicitante NCCS000 0.97619
; ; Fx 1
II ii NP00000 1
. . Fp 1

Las el DA0FP0 0.988184
características característica NCFP000 0.994792
generales general AQ0CP00 0.916449
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
de de SP 0.999961
que que CS 0.449861
se se P00CN00 0.494509
trate tratar VMSP3S0 0.495935
, , Fc 1
y y CC 0.999989
III iii NP00000 1
. . Fp 1

La el DA0FS0 0.98926
documentación documentación NCFS000 1
e y CC 0.987994
información información NCFS000 1
que que PR0CN00 0.550139
acredite acreditar VMSP3S0 0.634861
su su DP3CSN 1
capacidad capacidad NCFS000 1
técnica técnico AQ0FS00 0.294798
, , Fc 1
económica económico AQ0FS00 1
, , Fc 1
jurídica jurídico AQ0FS00 1
y y CC 0.999989
administrativa administrativo AQ0FS00 0.661294
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
. . Fp 1
” ” Frc 1
En en SP 1
este este DD0MS0 0.949201
sentido sentido NCMS000 0.940835
, , Fc 1
si si CS 0.999827
bien bien RG 0.876088
el el DA0MS0 1
artículo artículo NCMS000 1
73 73 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
establece establecer VMIP3S0 0.992424
de de SP 0.999961
manera manera NCFS000 1
general general AQ0CS00 0.826212
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
que que PR0CN00 0.550139
deben deber VMIP3P0 1
cumplir cumplir VMN0000 1
los el DA0MP0 0.992728
interesados interesar VMP00PM 0.980769
en en SP 1
obtener obtener VMN0000 1
concesión concesión NCFS000 1
única único AQ0FS00 1
, , Fc 1
es ser VSIP3S0 1
necesario necesario AQ0MS00 1
observar observar VMN0000 1
lo el DA00S0 0.665165
contenido contenido NCMS000 0.993421
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
3 3 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
establece establecer VMIP3S0 0.992424
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
específicos específico AQ0MP00 0.97619
que que PR0CN00 0.550139
deben deber VMIP3P0 1
proporcionar proporcionar VMN0000 1
y y CC 0.999989
acreditar acreditar VMN0000 1
dichos decir VMP00PM 0.97619
interesados interesar VMP00PM 0.980769
. . Fp 1

Por por SP 1
su su DP3CSN 1
parte parte NCCS000 0.977711
, , Fc 1
cabe caber VMIP3S0 0.975904
destacar destacar VMN0000 1
que que CS 0.449861
dada dar VMP00SF 1
la el DA0FS0 0.98926
fecha fecha NCFS000 0.990741
en en SP 1
que que PR0CN00 0.550139
fue ser VSIS3S0 0.980739
presentada presentar VMP00SF 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
, , Fc 1
debe deber VMIP3S0 0.998712
acatar acatar VMN0000 1
se se PP3CN00 1
el el DA0MS0 1
requisito requisito NCMS000 0.983871
de de SP 0.999961
procedencia procedencia NCFS000 1
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
174-B 174-B Z 1
fracción fracción NCFS000 1
I i NP00000 1
, , Fc 1
inciso inciso AQ0MS00 0.66114
a a SP 0.998775
) ) Fpt 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Derechos ley_federal_de_derechos NP00000 1
, , Fc 1
que que PR0CN00 0.550139
establece establecer VMIP3S0 0.992424
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
los el DA0MP0 0.992728
derechos derecho NCMP000 0.996795
a a SP 0.998775
pagar pagar VMN0000 1
por por SP 1
el el DA0MS0 1
trámite trámite NCMS000 1
relativo relativo AQ0MS00 0.980769
a a SP 1
el el DA0MS0 1
estudio estudio NCMS000 0.97043
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
y y CC 0.999989
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
expedición expedición NCFS000 1
de de SP 0.999961
título título NCMS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
única único AQ0FS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
. . Fp 1

Tercero 3 AO0MS00 0.986928
. . Fp 1
- - Fg 1
Análisis_de_la_Solicitud_de_Concesión análisis_de_la_solicitud_de_concesión NP00000 1
. . Fp 1

Por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
a a SP 0.998775
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
señalados señalar VMP00PM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
3 3 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Telecomunicaciones dirección_general_de_concesiones_de_telecomunicaciones NP00000 1
, , Fc 1
revisó revisar VMIS3S0 1
y y CC 0.999989
evaluó evaluar VMIS3S0 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
observando observar VMG0000 1
que que CS 0.449861
la el DA0FS0 0.98926
información información NCFS000 1
fue ser VSIS3S0 0.980739
presentada presentar VMP00SF 1
mediante mediante SP 0.99763
el el DA0MS0 1
uso uso NCMS000 0.998047
de de SP 1
el el DA0MS0 1
Formato_IFT-Concesión_Única formato_ift-concesión_única NP00000 1
y y CC 0.999989
acreditada acreditar VMP00SF 0.623732
con con SP 1
la el DA0FS0 0.98926
siguiente siguiente AQ0CS00 1
documentación documentación NCFS000 1
: : Fd 1
Datos dato NCMP000 0.668984
generales general AQ0CP00 0.916449
de de SP 1
el el DA0MS0 1
Interesado interesado NP00000 1
. . Fp 1

Tactic_Tel tactic_tel NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
acreditó acreditar VMIS3S0 1
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
de de SP 0.999961
procedencia procedencia NCFS000 1
establecidos establecer VMP00PM 1
en en SP 1
la el DA0FS0 0.98926
fracción fracción NCFS000 1
I i NP00000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
3 3 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
, , Fc 1
mediante mediante SP 0.99763
la el DA0FS0 0.98926
presentación presentación NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
constancias constancia NCFP000 1
documentales documental AQ0CP00 0.287671
que que PR0CN00 0.550139
contienen contener VMIP3P0 1
los el DA0MP0 0.992728
datos dato NCMP000 1
generales general AQ0CP00 0.916449
de de SP 0.999961
la el DA0FS0 0.98926
interesada interesar VMP00SF 0.980769
. . Fp 1

Modalidad modalidad NCFS000 0.668984
de de SP 0.999961
uso uso NCMS000 0.998047
. . Fp 1

Tactic_Tel tactic_tel NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
especificó especificar VMIS3S0 1
que que CS 0.449861
la el DA0FS0 0.98926
concesión concesión NCFS000 1
solicitada solicitar VMP00SF 1
consiste consistir VMIP3S0 0.993421
en en SP 1
una uno DI0FS0 0.951973
Concesión_Única_para_Uso_Comercial concesión_única_para_uso_comercial NP00000 1
. . Fp 1

Características_Generales_de_el_Proyecto características_generales_de_el_proyecto NP00000 1
. . Fp 1

Descripción_de_el_Proyecto descripción_de_el_proyecto NP00000 1
: : Fd 1
A_través_de a_través_de SP 1
la el DA0FS0 0.98926
Concesión_Única_Tactic_Tel concesión_única_tactic_tel NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
pretende pretender VMIP3S0 0.996894
prestar prestar VMN0000 1
inicialmente inicialmente RG 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
telefonía telefonía NCFS000 1
fija fijo AQ0FS00 0.684211
y y CC 0.999989
servicios servicio NCMP000 1
asociados asociar VMP00PM 0.623747
a a SP 0.998775
éste este PD0MS00 1
, , Fc 1
y y CC 0.999989
acceso acceso NCMS000 1
a a SP 0.998775
Internet internet NP00000 1
; ; Fx 1
así_como así_como CC 1
la el DA0FS0 0.98926
comercialización comercialización NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
capacidad capacidad NCFS000 1
adquirida adquirir VMP00SF 1
de de SP 0.999961
otros otro DI0MP0 0.745978
concesionarios concesionario NCMP000 0.62798
, , Fc 1
con con SP 1
cobertura cobertura NCFS000 1
en en SP 1
diversas diverso DI0FP0 0.805344
localidades localidad NCFP000 1
de de SP 0.999961
los el DA0MP0 0.992728
Estados_de_México estados_de_méxico NP00000 1
, , Fc 1
Jalisco jalisco NP00000 1
y y CC 0.999989
Nuevo_León nuevo_león NP00000 1
, , Fc 1
así_como así_como CC 1
de de SP 0.999961
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
, , Fc 1
haciendo_uso hacer_uso VMG0000 0.682564
de de SP 0.999961
medios medio NCMP000 0.997344
de de SP 0.999961
transmisión transmisión NCFS000 1
alámbricos alámbrico AQ0MP00 1
y y CC 0.999989
, , Fc 1
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
, , Fc 1
a_través_de a_través_de SP 1
el el DA0MS0 1
arrendamiento arrendamiento NCMS000 1
de de SP 0.999961
enlaces enlace NCMP000 0.998103
inalámbricos inalámbrico AQ0MP00 0.625961
. . Fp 1

Para para SP 0.999834
efectos efecto NCMP000 1
de de SP 0.999961
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
señala señalar VMIP3S0 0.997076
como como CS 0.967153
principales principal AQ0CP00 0.998252
elementos elemento NCMP000 1
que que PR0CN00 0.550139
conforman conformar VMIP3P0 1
la el DA0FS0 0.98926
red red NCFS000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
ruteadores ruteadores NCMP000 1
, , Fc 1
conmutadores conmutador NCMP000 0.622489
, , Fc 1
enlaces enlace NCMP000 0.998103
de de SP 0.999961
fibra fibra NCFS000 1
óptica óptico AQ0FS00 0.526641
, , Fc 1
entre entre SP 0.980341
otros otro PI0MP00 0.254022
. . Fp 1

Capacidad_Técnica capacidad_técnica NP00000 1
, , Fc 1
Económica económica NP00000 1
, , Fc 1
Jurídica jurídica NP00000 1
y y CC 0.999989
Administrativa administrativa NP00000 1
. . Fp 1

Capacidad capacidad NCFS000 0.668984
técnica técnico AQ0FS00 0.294798
. . Fp 1

Tactic_Tel tactic_tel NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
presentó presentar VMIS3S0 1
la el DA0FS0 0.98926
documentación documentación NCFS000 1
con con SP 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
justifica justificar VMIP3S0 0.98913
la el DA0FS0 0.98926
capacidad capacidad NCFS000 1
técnica técnico AQ0FS00 0.294798
para para SP 0.999834
realizar realizar VMN0000 1
las el DA0FP0 0.988184
instalaciones instalación NCFP000 1
necesarias necesario AQ0FP00 1
, , Fc 1
presentando presentar VMG0000 1
una uno DI0FS0 0.951973
descripción descripción NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
actividades actividad NCFP000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
que que PR0CN00 0.550139
han haber VAIP3P0 0.999845
realizado realizar VMP00SM 1
los el DA0MP0 0.992728
responsables responsable NCCP000 0.881944
técnicos técnico AQ0MP00 0.287234
que que PR0CN00 0.550139
para para SP 0.999834
tal tal DD0CS0 0.672764
efecto efecto NCMS000 1
asignó asignar VMIS3S0 1
. . Fp 1

Capacidad capacidad NCFS000 0.668984
económica económico AQ0FS00 1
. . Fp 1

Tactic_Tel tactic_tel NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
acreditó acreditar VMIS3S0 1
su su DP3CSN 1
capacidad capacidad NCFS000 1
económica económico AQ0FS00 1
, , Fc 1
mediante mediante SP 0.99763
la el DA0FS0 0.98926
presentación presentación NCFS000 1
de de SP 0.999961
carta carta NCFS000 1
original original AQ0CS00 0.990196
emitida emitir VMP00SF 1
por por SP 1
institución institución NCFS000 1
financiera financiero AQ0FS00 0.988439
nacional nacional AQ0CS00 1
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
se se P00CN00 0.494509
manifiesta manifestar VMIP3S0 0.69863
se se P00CN00 0.494509
ha haber VAIP3S0 0.999889
autorizado autorizar VMP00SM 1
un uno DI0MS0 0.99698
crédito crédito NCMS000 1
por por SP 1
un uno DI0MS0 0.99698
monto monto NCMS000 0.939852
suficiente suficiente AQ0CS00 0.993994
, , Fc 1
con con SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
se se P00CN00 0.494509
confirma confirmar VMIP3S0 0.986111
su su DP3CSN 1
solvencia solvencia NCFS000 1
económica económico AQ0FS00 1
para para SP 0.999834
la el DA0FS0 0.98926
implementación implementación NCFS000 1
y y CC 0.999989
desarrollo desarrollo NCMS000 0.99884
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
. . Fp 1

Capacidad_Jurídica capacidad_jurídica NP00000 1
. . Fp 1

Tactic_Tel tactic_tel NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
acreditó acreditar VMIS3S0 1
capacidad capacidad NCFS000 1
jurídica jurídico AQ0FS00 1
mediante mediante SP 0.99763
la el DA0FS0 0.98926
presentación presentación NCFS000 1
de de SP 1
el el DA0MS0 1
original original AQ0CS00 0.990196
de de SP 0.999961
la el DA0FS0 0.98926
escritura escritura NCFS000 0.874644
pública público AQ0FS00 1
número número NCMS000 1
320,981 320.981 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
25_de_junio_de_2015 [??:25/6/2015:??.??:??] W 1
, , Fc 1
pasada pasar VMP00SF 0.998489
por por SP 1
la el DA0FS0 0.98926
fe fe NCFS000 1
de de SP 1
el el DA0MS0 1
Titular_de_la_Notaría_Pública_Número titular_de_la_notaría_pública_número NP00000 1
10 10 Z 1
de de SP 1
el el DA0MS0 1
Distrito_Federal distrito_federal NP00000 1
( ( Fpa 1
hoy hoy RG 0.993864
Ciudad_de_México ciudad_de_méxico NP00000 1
) ) Fpt 1
, , Fc 1
misma mismo PI0FS00 0.18316
que que PR0CN00 0.550139
se se P00CN00 0.494509
encuentra encontrar VMIP3S0 0.97619
debidamente debidamente RG 1
inscrita inscribir VMP00SF 1
en en SP 1
el el DA0MS0 1
Registro_Público_de_la_Propiedad registro_público_de_la_propiedad NP00000 1
y y CC 0.999989
de de SP 0.999961
Comercio_de_el_Distrito_Federal comercio_de_el_distrito_federal NP00000 1
( ( Fpa 1
hoy hoy RG 0.993864
Ciudad_de_México ciudad_de_méxico NP00000 1
) ) Fpt 1
. . Fp 1

Capacidad_Administrativa capacidad_administrativa NP00000 1
. . Fp 1

Tactic_Tel tactic_tel NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
confirmó confirmar VMIS3S0 1
tener tener VMN0000 1
la el DA0FS0 0.98926
capacidad capacidad NCFS000 1
administrativa administrativo AQ0FS00 0.661294
para para SP 0.999834
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
en en SP 1
su su DP3CSN 1
proyecto proyecto NCMS000 0.999084
, , Fc 1
mediante mediante SP 0.99763
la el DA0FS0 0.98926
descripción descripción NCFS000 1
de de SP 0.999961
diversos diverso DI0MP0 0.938596
procesos proceso NCMP000 1
administrativos administrativo AQ0MP00 0.788462
relativos relativo AQ0MP00 0.661294
a a SP 0.998775
la el DA0FS0 0.98926
atención atención NCFS000 0.997312
de de SP 0.999961
usuarios usuario NCMP000 0.78169
. . Fp 1

Programa programa NCMS000 0.996822
inicial inicial AQ0CS00 0.838542
de de SP 0.999961
cobertura cobertura NCFS000 1
. . Fp 1

Tactic_Tel tactic_tel NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
señaló señalar VMIS3S0 1
como como CS 0.967153
programa programa NCMS000 0.997879
de de SP 0.999961
cobertura cobertura NCFS000 1
inicial inicial AQ0CS00 0.838542
de de SP 0.999961
su su DP3CSN 1
proyecto proyecto NCMS000 0.999084
en en SP 1
diversas diverso DI0FP0 0.805344
localidades localidad NCFP000 1
de de SP 0.999961
los el DA0MP0 0.992728
Estados_de_México estados_de_méxico NP00000 1
, , Fc 1
Jalisco jalisco NP00000 1
y y CC 0.999989
Nuevo_León nuevo_león NP00000 1
, , Fc 1
así_como así_como CC 1
de de SP 0.999961
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
. . Fp 1

Pago pago NCMS000 0.99061
por por SP 1
el el DA0MS0 1
análisis análisis NCMN000 1
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
. . Fp 1

Por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
hace hacer VMIP3S0 1
a a SP 1
el el DA0MS0 1
comprobante comprobante NCMS000 1
de de SP 0.999961
pago pago NCMS000 0.995283
, , Fc 1
Tactic_Tel tactic_tel NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
presentó presentar VMIS3S0 1
el el DA0MS0 1
pago pago NCMS000 0.995283
de de SP 0.999961
derechos derecho NCMP000 0.996795
con con SP 1
número número NCMS000 1
de de SP 0.999961
folio folio NCMS000 0.989726
665160002987 665160002987 Z 1
, , Fc 1
por por SP 1
concepto concepto NCMS000 1
de de SP 1
el el DA0MS0 1
estudio estudio NCMS000 0.97043
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
y y CC 0.999989
, , Fc 1
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
, , Fc 1
expedición expedición NCFS000 1
de de SP 1
el el DA0MS0 1
título título NCMS000 1
o o CC 0.999864
prórroga prórroga NCFS000 1
de de SP 0.999961
concesión concesión NCFS000 1
única único AQ0FS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
, , Fc 1
conforme_a conforme_a SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
174-B 174-B Z 1
fracción fracción NCFS000 1
I i NP00000 1
, , Fc 1
inciso inciso AQ0MS00 0.66114
a a SP 0.998775
) ) Fpt 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
federal federal AQ0CS00 1
de de SP 0.999961
Derechos derechos NP00000 1
. . Fp 1

Por por SP 1
otra otro DI0FS0 0.740893
parte parte NCCS000 0.977711
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Telecomunicaciones dirección_general_de_concesiones_de_telecomunicaciones NP00000 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
