RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
términos término NCMP000 1
de de SP 1
el el DA0MS0 1
penúltimo penúltimo AO0MS00 0.607399
párrafo párrafo NCMS000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
129 129 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
cuando cuando CS 0.86298
las el DA0FP0 0.988184
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
de de SP 0.999961
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
se se P00CN00 0.494509
encuentran encontrar VMIP3P0 1
interconectadas interconectar VMP00PF 1
y y CC 0.999989
con con SP 1
motivo motivo NCMS000 0.992395
de de SP 0.999961
la el DA0FS0 0.98926
terminación terminación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
vigencia vigencia NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
puedan poder VMSP3P0 0.997382
acordar acordar VMN0000 1
nuevas nuevo AQ0FP00 0.998891
condiciones condición NCFP000 0.998418
de de SP 0.999961
interconexión interconexión NCFS000 1
, , Fc 1
y y CC 0.999989
no no RN 0.999297
exista existir VMSP3S0 0.497942
acuerdo acuerdo NCMS000 0.999311
, , Fc 1
las el DA0FP0 0.988184
partes parte NCCP000 0.997076
deberán deber VMIF3P0 1
presentar presentar VMN0000 1
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
de de SP 0.999961
resolución resolución NCFS000 1
de de SP 1
el el DA0MS0 1
desacuerdo desacuerdo NCMS000 0.97619
, , Fc 1
a_más_tardar a_más_tardar RG 1
el el DA0MS0 1
quince_de_julio [??:15/7/??:??.??:??] W 1
de de SP 0.999961
cada cada DI0CS0 1
año año NCMS000 1
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
tiene tener VMIP3S0 1
como como CS 0.967153
objeto objeto NCMS000 0.996183
que que CS 0.449861
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
pueda poder VMSP3S0 0.499421
resolver resolver VMN0000 1
, , Fc 1
conforme_a conforme_a SP 1
el el DA0MS0 1
procedimiento procedimiento NCMS000 1
que que PR0CN00 0.550139
establece establecer VMIP3S0 0.992424
el el DA0MS0 1
propio propio AQ0MS00 0.998575
artículo artículo NCMS000 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
no no RN 0.999297
convenidas convenir VMP00PF 1
– – Fz 1
incluidas incluir VMP00PF 1
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
- - Fg 1
, , Fc 1
antes_de antes_de SP 1
el el DA0MS0 1
quince_de_diciembre [??:15/12/??:??.??:??] W 1
, , Fc 1
para para SP 0.999834
que que CS 0.449861
así así RG 0.999409
, , Fc 1
las el DA0FP0 0.988184
nuevas nuevo AQ0FP00 0.998891
condiciones condición NCFP000 0.998418
inicien iniciar VMSP3P0 0.941964
su su DP3CSN 1
vigencia vigencia NCFS000 1
a_partir_de a_partir_de SP 1
el el DA0MS0 1
primero 1 AO0MS00 0.686916
de de SP 0.999961
enero [??:??/1/??:??.??:??] W 1
de de SP 1
el el DA0MS0 1
año año NCMS000 1
siguiente siguiente AQ0CS00 1
. . Fp 1

El el DA0MS0 1
anterior anterior AQ0CS00 1
esquema esquema NCMS000 1
se se P00CN00 0.494509
implementó implementar VMIS3S0 1
en en SP 1
la el DA0FS0 0.98926
ley ley NCFS000 1
para para SP 0.999834
evitar evitar VMN0000 1
aquellas aquel DD0FP0 0.819767
situaciones situación NCFP000 1
en en SP 1
las el DA0FP0 0.988184
cuales cual PR0CP00 1
, , Fc 1
el el DA0MS0 1
desacuerdo desacuerdo NCMS000 0.97619
de de SP 0.999961
interconexión interconexión NCFS000 1
se se P00CN00 0.494509
resolvía resolver VMII3S0 0.65
una uno DI0FS0 0.951973
vez vez NCFS000 1
iniciado iniciar VMP00SM 0.992958
el el DA0MS0 1
periodo periodo NCMS000 1
en en SP 1
cuestión cuestión NCFS000 1
, , Fc 1
o o CC 0.999864
incluso incluso RG 0.998488
una_vez_que una_vez_que CS 1
éste este PD0MS00 1
había haber VAII3S0 0.499853
terminado terminar VMP00SM 1
, , Fc 1
generando generar VMG0000 1
así así RG 0.999409
escenarios escenario NCMP000 1
de de SP 0.999961
“ “ Fra 1
pago pago NCMS000 0.995283
por por SP 1
diferencias diferencia NCFP000 0.996454
” ” Frc 1
antes antes RG 1
los el DA0MP0 0.992728
montos monto NCMP000 1
que que PR0CN00 0.550139
ya ya RG 0.999785
fueron ser VSIS3P0 0.933213
cobrados cobrar VMP00PM 1
. . Fp 1

Sin sin SP 1
embargo embargo NCMS000 0.995283
, , Fc 1
el el DA0MS0 1
esquema esquema NCMS000 1
general general AQ0CS00 0.826212
previsto prever VMP00SM 1
en en SP 1
la el DA0FS0 0.98926
ley ley NCFS000 1
implica implicar VMIP3S0 0.993421
una uno DI0FS0 0.951973
problemática problemática NCFS000 0.488664
particular particular AQ0CS00 0.827869
para para SP 0.999834
la el DA0FS0 0.98926
tarifa tarifa NCFS000 0.984962
de de SP 0.999961
dos_mil_quince 2015 Z 1
, , Fc 1
pues pues CS 0.999049
siguiendo seguir VMG0000 1
la el DA0FS0 0.98926
lógica lógica NCFS000 0.462121
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
129 129 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
con con SP 1
motivo motivo NCMS000 0.992395
de de SP 0.999961
la el DA0FS0 0.98926
terminación terminación NCFS000 1
de de SP 0.999961
un uno DI0MS0 0.99698
convenio convenio NCMS000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
, , Fc 1
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
tendrían tener VMIC3P0 1
que que CS 0.449861
haber haber VAN0000 0.987521
solicitado solicitar VMP00SM 1
a a SP 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
que que CS 0.449861
fijara fijar VMSI3S0 0.500013
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
de de SP 0.999961
interconexión interconexión NCFS000 1
no no RN 0.999297
convenidas convenir VMP00PF 1
, , Fc 1
a_más_tardar a_más_tardar RG 1
el el DA0MS0 1
quince_de_julio_de_dos_mil_catorce [??:15/7/2014:??.??:??] W 1
. . Fp 1

Ello ello PD00S00 1
, , Fc 1
en_consecuencia en_consecuencia RG 1
resultaba resultar VMII3S0 0.65
jurídicamente jurídicamente RG 1
inviable inviable AQ0CS00 1
tratando tratar VMG0000 1
se se PP3CN00 1
de de SP 0.999961
los el DA0MP0 0.992728
desacuerdos desacuerdo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
suscitados suscitar VMP00PM 1
en en SP 1
el el DA0MS0 1
año_dos_mil_quince [??:??/??/2015:??.??:??] W 1
, , Fc 1
en en SP 1
tanto tanto RG 0.806143
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
fue ser VSIS3S0 0.980739
publicada publicar VMP00SF 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
catorce_de_julio_de_dos_mil_catorce [??:14/7/2014:??.??:??] W 1
, , Fc 1
pero pero CC 0.999902
su su DP3CSN 1
artículo artículo NCMS000 1
primero primero RG 0.313084
transitorio transitorio AQ0MS00 1
señala señalar VMIP3S0 0.997076
de de SP 0.999961
manera manera NCFS000 1
categórica categórico AQ0FS00 1
que que CS 0.449861
el el DA0MS0 1
Decreto decreto NP00000 1
entraría entrar VMIC3S0 0.65
en en SP 1
vigor vigor NCMS000 1
a a SP 0.998775
los el DA0MP0 0.992728
treinta_días TM_d:30 Zu 1
naturales natural AQ0CP00 0.991803
siguientes siguiente AQ0CP00 1
a a SP 0.998775
la el DA0FS0 0.98926
publicación publicación NCFS000 1
. . Fp 1

En en SP 1
otras otro DI0FP0 0.865408
palabras palabra NCFP000 1
, , Fc 1
el el DA0MS0 1
plazo plazo NCMS000 1
contenido contenido NCMS000 0.993421
en en SP 1
el el DA0MS0 1
numeral numeral NCMS000 0.349312
129 129 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
no no RN 0.999297
podría poder VMIC3S0 0.643878
exigir exigir VMN0000 1
se se PP3CN00 1
para para SP 0.999834
la el DA0FS0 0.98926
fijación fijación NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
de de SP 0.999961
dos_mil_quince 2015 Z 1
, , Fc 1
en en SP 1
tanto tanto RG 0.806143
implicaría implicar VMIC3S0 0.65
la el DA0FS0 0.98926
obligación obligación NCFS000 1
de de SP 0.999961
que que CS 0.449861
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
presentaran presentar VMSI3P0 1
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
cuando cuando CS 0.86298
aún aun RG 1
no no RN 0.999297
estaba estar VMII3S0 0.499587
en en SP 1
vigor vigor NCMS000 1
la el DA0FS0 0.98926
ley ley NCFS000 1
, , Fc 1
pues pues CS 0.999049
incluso incluso RG 0.998488
la el DA0FS0 0.98926
misma mismo AQ0FS00 0.81684
no no RN 0.999297
había haber VAII3S0 0.499853
sido ser VSP00SM 1
publicada publicar VMP00SF 1
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
En en NP00000 1
tales tal DD0CP0 0.742331
condiciones condición NCFP000 0.998418
normativas normativa NCFP000 0.97619
, , Fc 1
frente_a frente_a SP 1
la el DA0FS0 0.98926
imposibilidad imposibilidad NCFS000 1
de de SP 0.999961
aplicar aplicar VMN0000 1
los el DA0MP0 0.992728
plazos plazo NCMP000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
ha haber VAIP3S0 0.999889
hecho_referencia hacer_referencia VMP00SM 1
, , Fc 1
cobran cobrar VMIP3P0 1
particular particular AQ0CS00 0.827869
relevancia relevancia NCFS000 1
las el DA0FP0 0.988184
disposiciones disposición NCFP000 1
transitorias transitorio AQ0FP00 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
puesto poner VMP00SM 0.400249
que que CS 0.449861
tales tal DD0CP0 0.742331
disposiciones disposición NCFP000 1
tienen tener VMIP3P0 1
por por SP 1
objeto objeto NCMS000 0.996183
precisar precisar VMN0000 1
cómo cómo PT00000 0.997099
se se P00CN00 0.494509
tiene tener VMIP3S0 1
que que CS 0.449861
llevar_a_cabo llevar_a_cabo VMN0000 1
la el DA0FS0 0.98926
transición transición NCFS000 1
entre entre SP 0.980341
dos 2 Z 0.999868
sistemas sistema NCMP000 1
normativos normativo AQ0MP00 1
diversos diverso AQ0MP00 0.0614035
a_partir_de a_partir_de SP 1
una uno DI0FS0 0.951973
reforma reforma NCFS000 0.99689
constitucional constitucional AQ0CS00 1
y y CC 0.999989
legal legal AQ0CS00 1
, , Fc 1
con con SP 1
la el DA0FS0 0.98926
intención intención NCFS000 1
de de SP 0.999961
dotar dotar VMN0000 1
de de SP 0.999961
certeza certeza NCFS000 1
en en SP 1
las el DA0FP0 0.988184
relaciones relación NCFP000 0.998155
jurídicas jurídico AQ0FP00 1
sobre sobre SP 0.997804
normas norma NCFP000 1
aplicables aplicable AQ0CP00 1
y y CC 0.999989
el el DA0MS0 1
modo modo NCMS000 1
en en SP 1
que que CS 0.449861
los el DA0MP0 0.992728
operadores operador NCMP000 0.992958
de de SP 1
el el DA0MS0 1
sistema sistema NCMS000 1
deben deber VMIP3P0 1
llevar_a_cabo llevar_a_cabo VMN0000 1
el el DA0MS0 1
tratamiento tratamiento NCMS000 1
de de SP 0.999961
situaciones situación NCFP000 1
de de SP 0.999961
posible posible AQ0CS00 1
conflicto conflicto NCMS000 1
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
En en NP00000 1
consideración consideración NCFS000 1
a a SP 0.998775
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
esta este DD0FS0 0.978817
Segunda_Sala segunda_sala NP00000 1
advierte advertir VMIP3S0 0.991071
que que CS 0.449861
la el DA0FS0 0.98926
problemática problemática NCFS000 0.488664
concerniente concerniente AQ0CS00 1
a a SP 0.998775
la el DA0FS0 0.98926
fijación fijación NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
no no RN 0.999297
convenidas convenir VMP00PF 1
entre entre SP 0.980341
concesionarios concesionario NCMP000 0.62798
distintos distinto AQ0MP00 0.321429
a a SP 1
el el DA0MS0 1
preponderante preponderante AQ0CS00 1
para para SP 0.999834
dos_mil_quince 2015 Z 1
, , Fc 1
tratando tratar VMG0000 1
se se PP3CN00 1
de de SP 0.999961
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
terminación terminación NCFS000 1
de de SP 0.999961
tráfico tráfico NCMS000 1
, , Fc 1
debe deber VMIP3S0 0.998712
ser ser VSN0000 0.959637
resuelta resolver VMP00SF 1
necesariamente necesariamente RG 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
aplicación aplicación NCFS000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
vigésimo 20 AO0MS00 1
, , Fc 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
; ; Fx 1
que que CS 0.449861
es ser VSIP3S0 1
precisamente precisamente RG 1
el el DA0MS0 1
numeral numeral NCMS000 0.349312
reclamado reclamar VMP00SM 1
en en SP 1
el el DA0MS0 1
presente presente AQ0CS00 0.524254
asunto asunto NCMS000 1
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
es ser VSIP3S0 1
así así RG 0.999409
porque porque CS 1
el el DA0MS0 1
campo campo NCMS000 0.99867
de de SP 0.999961
aplicación aplicación NCFS000 1
temporal temporal AQ0CS00 0.819767
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
, , Fc 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
justamente justamente RG 1
se se P00CN00 0.494509
actualiza actualizar VMIP3S0 0.989236
para para SP 0.999834
la el DA0FS0 0.98926
resolución resolución NCFS000 1
de de SP 1
el el DA0MS0 1
desfase desfase NCMS000 0.80628
entre entre SP 0.980341
la el DA0FS0 0.98926
necesidad necesidad NCFS000 1
de de SP 0.999961
fijar fijar VMN0000 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
de de SP 0.999961
interconexión interconexión NCFS000 1
no no RN 0.999297
convenidas convenir VMP00PF 1
entre entre SP 0.980341
concesionarios concesionario NCMP000 0.62798
, , Fc 1
distintos distinto AQ0MP00 0.321429
a a SP 1
el el DA0MS0 1
preponderante preponderante AQ0CS00 1
, , Fc 1
para para SP 0.999834
dos_mil_quince 2015 Z 1
, , Fc 1
y y CC 0.999989
la el DA0FS0 0.98926
entrada entrada NCFS000 0.998008
en en SP 1
vigor vigor NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
citada citar VMP00SF 1
ley ley NCFS000 1
federal federal AQ0CS00 1
. . Fp 1

Adicionalmente adicionalmente RG 1
, , Fc 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
respecta respectar VMIP3S0 0.989241
a a SP 1
el el DA0MS0 1
campo campo NCMS000 0.99867
de de SP 0.999961
aplicación aplicación NCFS000 1
material material AQ0CS00 0.216312
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
reclamado reclamar VMP00SM 1
, , Fc 1
cabe caber VMIP3S0 0.975904
puntualizar puntualizar VMN0000 1
, , Fc 1
a_partir_de a_partir_de SP 1
una uno DI0FS0 0.951973
interpretación interpretación NCFS000 1
conjunta conjunto AQ0FS00 0.990148
con con SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
131 131 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
propia propio AQ0FS00 1
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
que que CS 0.449861
éste este PD0MS00 1
se se P00CN00 0.494509
actualiza actualizar VMIP3S0 0.989236
en en SP 1
relación relación NCFS000 1
a a SP 0.998775
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
terminación terminación NCFS000 1
de de SP 0.999961
tráfico tráfico NCMS000 1
, , Fc 1
aunado aunar VMP00SM 1
a a SP 0.998775
que que CS 0.449861
el el DA0MS0 1
mismo mismo AQ0MS00 0.802208
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
a a SP 0.998775
dos 2 Z 0.999868
tipos tipo NCMP000 1
de de SP 0.999961
tarifas tarifa NCFP000 0.992958
, , Fc 1
en_atención_a en_atención_a SP 1
que que CS 0.449861
la el DA0FS0 0.98926
terminación terminación NCFS000 1
de de SP 0.999961
tráfico tráfico NCMS000 1
sea ser VSSP1S0 0.49434
en en SP 1
la el DA0FS0 0.98926
red red NCFS000 1
de de SP 1
el el DA0MS0 1
agente agente NCCS000 0.993421
económico económico AQ0MS00 1
preponderante preponderante AQ0CS00 1
, , Fc 1
o_bien o_bien CC 1
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
red red NCFS000 1
de de SP 1
el el DA0MS0 1
resto resto NCMS000 0.998634
de de SP 0.999961
concesionarios concesionario NCMP000 0.62798
. . Fp 1

En en SP 1
este este DD0MS0 0.949201
último último AO0MS00 1
supuesto supuesto NCMS000 0.0679012
, , Fc 1
por por SP 1
disposición disposición NCFS000 1
de de SP 1
el el DA0MS0 1
legislador legislador NCMS000 0.97619
, , Fc 1
hasta hasta SP 0.922749
en en SP 1
tanto tanto RG 0.806143
no no RN 0.999297
sean ser VSSP3P0 0.996689
acordadas acordar VMP00PF 0.623683
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
, , Fc 1
o o CC 0.999864
éstas este PD0FP00 1
no no RN 0.999297
sean ser VSSP3P0 0.996689
determinadas determinar VMP00PF 1
por por SP 1
el el DA0MS0 1
órgano órgano NCMS000 1
regulador regulador AQ0MS00 0.97619
, , Fc 1
continuará continuar VMIF3S0 1
la el DA0FS0 0.98926
vigencia vigencia NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
que que PR0CN00 0.550139
venían venir VMII3P0 1
pagando pagar VMG0000 1
se se PP3CN00 1
, , Fc 1
lo el DA00S0 0.665165
cual cual PR0CS00 0.930743
presupone presuponer VMIP3S0 1
que que CS 0.449861
las el DA0FP0 0.988184
redes red NCFP000 0.990196
de de SP 0.999961
dichos decir VMP00PM 0.97619
concesionarios concesionario NCMP000 0.62798
ya ya RG 0.999785
se se P00CN00 0.494509
encontraban encontrar VMII3P0 1
interconectadas interconectar VMP00PF 1
, , Fc 1
pues pues CS 0.999049
de de SP 0.999961
otro otro DI0MS0 0.658501
modo modo NCMS000 1
no no RN 0.999297
podría poder VMIC3S0 0.643878
hablar hablar VMN0000 1
se se PP3CN00 1
de de SP 0.999961
una uno DI0FS0 0.951973
tarifa tarifa NCFS000 0.984962
previamente previamente RG 1
acordada acordar VMP00SF 0.623747
o o CC 0.999864
fijada fijar VMP00SF 1
. . Fp 1

Una uno DI0FS0 0.951973
vez vez NCFS000 1
precisado precisar VMP00SM 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
esta este DD0FS0 0.978817
Segunda_Sala_de_la_Suprema_Corte_de_Justicia_de_la_Nación segunda_sala_de_la_suprema_corte_de_justicia_de_la_nación NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
una uno DI0FS0 0.951973
interpretación interpretación NCFS000 1
sistemática sistemático AQ0FS00 0.97619
, , Fc 1
arriba arriba RG 0.990148
a a SP 0.998775
la el DA0FS0 0.98926
conclusión conclusión NCFS000 1
de de SP 0.999961
que que CS 0.449861
la el DA0FS0 0.98926
disposición disposición NCFS000 1
reclamada reclamar VMP00SF 1
es ser VSIP3S0 1
constitucional constitucional AQ0CS00 1
, , Fc 1
en en SP 1
tanto tanto DI0MS0 0.109898
la el DA0FS0 0.98926
misma mismo PI0FS00 0.18316
se se P00CN00 0.494509
ajusta ajustar VMIP3S0 0.989241
a a SP 0.998775
los el DA0MP0 0.992728
principios principio NCMP000 1
constitucionales constitucional AQ0CP00 1
, , Fc 1
legales legal AQ0CP00 0.993827
y y CC 0.999989
jurisprudenciales jurisprudencial AQ0CP00 1
de de SP 1
el el DA0MS0 1
sistema sistema NCMS000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
en en SP 1
nuestro nuestro DP1MSP 0.957064
país país NCMS000 1
, , Fc 1
mismos mismo PI0MP00 0.47076
que que PR0CN00 0.550139
fueron ser VSIS3P0 0.933213
expuestos exponer VMP00PM 1
en en SP 1
el el DA0MS0 1
considerando considerando NCMS000 0.186667
tercero 3 AO0MS00 0.993421
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
sentencia sentencia NCFS000 0.972286
de_acuerdo_con de_acuerdo_con SP 1
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
( ( Fpa 1
I i NP00000 0.47288
) ) Fpt 1
En en NP00000 1
primer 1 AO0MS00 1
término término NCMS000 1
, , Fc 1
la el DA0FS0 0.98926
disposición disposición NCFS000 1
es ser VSIP3S0 1
constitucional constitucional AQ0CS00 1
, , Fc 1
debido_a debido_a SP 1
que que PR0CN00 0.550139
permite permitir VMIP3S0 0.997312
que que CS 0.449861
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
ejerzan ejercer VMSP3P0 0.941964
su su DP3CSN 1
libertad libertad NCFS000 0.998188
de de SP 0.999961
comercio comercio NCMS000 0.996689
, , Fc 1
consistente consistente AQ0CS00 1
en en SP 1
la el DA0FS0 0.98926
fijación fijación NCFS000 1
de de SP 0.999961
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
Como como NP00000 1
puede poder VMIP3S0 0.999693
advertir advertir VMN0000 1
se se PP3CN00 1
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
, , Fc 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
es ser VSIP3S0 1
constitucional constitucional AQ0CS00 1
en en SP 1
tanto tanto RG 0.806143
permite permitir VMIP3S0 0.997312
que que CS 0.449861
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
ejerzan ejercer VMSP3P0 0.941964
la el DA0FS0 0.98926
citada citar VMP00SF 1
libertad libertad NCFS000 0.998188
de de SP 0.999961
negociación negociación NCFS000 1
, , Fc 1
dentro_de dentro_de SP 1
un uno DI0MS0 0.99698
contexto contexto NCMS000 1
de de SP 0.999961
transitoriedad transitoriedad NCFS000 1
normativa normativa NCFS000 0.992424
. . Fp 1

Esto este PD00S00 1
es ser VSIP3S0 1
así así RG 0.999409
porque porque CS 1
la el DA0FS0 0.98926
disposición disposición NCFS000 1
reclamada reclamar VMP00SF 1
tiene tener VMIP3S0 1
por por SP 1
objeto objeto NCMS000 0.996183
dirimir dirimir VMN0000 1
cuáles cuál DT0CP0 0.0185185
tarifas tarifa NCFP000 0.992958
se se P00CN00 0.494509
aplicarán aplicar VMIF3P0 1
para para SP 0.999834
los el DA0MP0 0.992728
desacuerdos desacuerdo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
de de SP 0.999961
dos_mil_quince 2015 Z 1
, , Fc 1
pero pero CC 0.999902
reconoce reconocer VMIP3S0 0.942708
que que CS 0.449861
hasta hasta RG 0.0772506
en en SP 1
tanto tanto DI0MS0 0.109898
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
no no RN 0.999297
acuerden acordar VMSP3P0 0.941964
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
, , Fc 1
o o CC 0.999864
el el DA0MS0 1
órgano órgano NCMS000 1
regulador regulador AQ0MS00 0.97619
no no RN 0.999297
resuelva resolver VMSP3S0 0.495935
la el DA0FS0 0.98926
dispuesta disponer VMP00SF 1
, , Fc 1
seguirán seguir VMIF3P0 1
en en SP 1
vigor vigor NCMS000 1
las el DA0FP0 0.988184
que que PR0CN00 0.550139
se se P00CN00 0.494509
venían venir VMII3P0 1
aplicando aplicar VMG0000 1
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
Debiendo debiendo NP00000 1
reiterar reiterar VMN0000 1
que que CS 0.449861
el el DA0MS0 1
hecho hecho NCMS000 0.361738
de de SP 0.999961
que que CS 0.449861
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
de de SP 0.999961
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
suscriban suscribir VMSP3P0 0.941964
un uno DI0MS0 0.99698
convenio convenio NCMS000 1
, , Fc 1
de_ninguna_manera de_ninguna_manera RG 1
implica implicar VMIP3S0 0.993421
que que CS 0.449861
el el DA0MS0 1
Estado estado NP00000 1
permita permitir VMSP3S0 0.469388
que que CS 0.449861
los el DA0MP0 0.992728
particulares particular NCCP000 0.256098
, , Fc 1
en en SP 1
condiciones condición NCFP000 0.998418
de de SP 0.999961
mercado mercado NCMS000 0.999343
, , Fc 1
determinen determinar VMSP3P0 0.941964
libremente libremente RG 1
cuáles cuál PT0CP00 0.944444
son ser VSIP3P0 0.995197
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
que que PR0CN00 0.550139
se se P00CN00 0.494509
van ir VMIP3P0 1
a a SP 0.998775
establecer establecer VMN0000 1
, , Fc 1
pues pues CS 0.999049
incluso incluso RG 0.998488
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
convenidas convenir VMP00PF 1
entre entre SP 0.980341
las el DA0FP0 0.988184
partes parte NCCP000 0.997076
, , Fc 1
se se P00CN00 0.494509
encuentran encontrar VMIP3P0 1
limitadas limitar VMP00PF 1
por por SP 1
un uno DI0MS0 0.99698
marco marco NCMS000 0.996894
legal legal AQ0CS00 1
. . Fp 1

Por por SP 1
tanto tanto RG 0.806143
