RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_A_EL_ORGANISMO_PROMOTOR_DE_INVERSIONES_EN_TELECOMUNICACIONES resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_a_el_organismo_promotor_de_inversiones_en_telecomunicaciones NP00000 1
la el DA0FS0 0.98926
competencia competencia NCFS000 1
y y CC 0.999989
la el DA0FS0 0.98926
libre libre AQ0CS00 0.957522
concurrencia concurrencia NCFS000 1
; ; Fx 1
impondrá imponer VMIF3S0 1
límites límite NCMP000 1
a a SP 1
el el DA0MS0 1
concesionamiento concesionamiento NCMS000 0.981144
y y CC 0.999989
a a SP 0.998775
la el DA0FS0 0.98926
propiedad propiedad NCFS000 1
cruzada cruzar VMP00SF 0.473747
que que PR0CN00 0.550139
controle controlar VMSP3S0 0.634863
varios varios DI0MP0 0.9139
medios medio NCMP000 0.997344
de de SP 0.999961
comunicación comunicación NCFS000 1
que que PR0CN00 0.550139
sean ser VSSP3P0 0.996689
concesionarios concesionario AQ0MP00 0.37202
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
telecomunicaciones telecomunicación NCFP000 1
que que PR0CN00 0.550139
sirvan servir VMSP3P0 0.941964
a a SP 0.998775
un uno DI0MS0 0.99698
mismo mismo AQ0MS00 0.802208
mercado mercado NCMS000 0.999343
o o CC 0.999864
zona zona NCFS000 1
de de SP 0.999961
cobertura cobertura NCFS000 1
geográfica geográfico AQ0FS00 1
, , Fc 1
garantizando garantizar VMG0000 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6o 6o Z 1
. . Fp 1
y y CC 0.999989
7o 7o Z 1
. . Fp 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución constitución NP00000 1
. . Fp 1

Ahora_bien ahora_bien RG 1
, , Fc 1
corresponde corresponder VMIP3S0 0.996183
a a SP 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
conforme_a conforme_a SP 1
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
15 15 Z 1
fracción fracción NCFS000 1
IV iv NP00000 1
y y CC 0.999989
17 17 Z 1
fracción fracción NCFS000 1
I_de_la_Ley_Federal_de_Telecomunicaciones i_de_la_ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Ley ley NCFS000 0.668984
” ” Frc 1
) ) Fpt 1
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
concesiones concesión NCFP000 1
, , Fc 1
así_como así_como CC 1
resolver resolver VMN0000 1
respecto_de respecto_de SP 1
las el DA0FP0 0.988184
prórrogas prórroga NCFP000 1
, , Fc 1
modificación modificación NCFS000 1
o o CC 0.999864
terminación terminación NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
mismas mismo AQ0FP00 0.995495
. . Fp 1

Por por SP 1
su su DP3CSN 1
parte parte NCCS000 0.977711
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
6 6 Z 1
fracción fracción NCFS000 1
I_de_el_Estatuto_Orgánico i_de_el_estatuto_orgánico NP00000 1
establece establecer VMIP3S0 0.992424
la el DA0FS0 0.98926
atribución atribución NCFS000 1
de de SP 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
de de SP 0.999961
regular regular VMN0000 0.5
, , Fc 1
promover promover VMN0000 1
y y CC 0.999989
supervisar supervisar VMN0000 1
el el DA0MS0 1
uso uso NCMS000 0.998047
, , Fc 1
aprovechamiento aprovechamiento NCMS000 1
y y CC 0.999989
explotación explotación NCFS000 1
eficiente eficiente AQ0CS00 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
, , Fc 1
los el DA0MP0 0.992728
recursos recurso NCMP000 1
orbitales orbital NCMP000 0.968254
, , Fc 1
los el DA0MP0 0.992728
servicios servicio NCMP000 1
satelitales satelitales AQ0CP00 0.275207
, , Fc 1
las el DA0FP0 0.988184
redes red NCFP000 0.990196
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
servicios servicio NCMP000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
así_como así_como CC 1
el el DA0MS0 1
acceso acceso NCMS000 1
a a SP 0.998775
infraestructura infraestructura NCFS000 1
activa activo AQ0FS00 0.992395
, , Fc 1
pasiva pasivo AQ0FS00 0.661244
e y CC 0.987994
insumos insumo NCMP000 1
esenciales esencial AQ0CP00 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
conforme_a conforme_a SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
32 32 Z 1
y y CC 0.999989
33 33 Z 1
fracción fracción NCFS000 1
I_de_el_Estatuto_Orgánico i_de_el_estatuto_orgánico NP00000 1
, , Fc 1
corresponde corresponder VMIP3S0 0.996183
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Telecomunicaciones dirección_general_de_concesiones_de_telecomunicaciones NP00000 1
, , Fc 1
tramitar tramitar VMN0000 1
y y CC 0.999989
evaluar evaluar VMN0000 1
las el DA0FP0 0.988184
solicitudes solicitud NCFP000 1
para para SP 0.999834
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
concesiones concesión NCFP000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
con_excepción_de con_excepción_de SP 1
aquellas aquel PD0FP00 0.180233
que que PR0CN00 0.550139
deban deber VMSP3P0 0.941964
otorgar otorgar VMN0000 1
se se PP3CN00 1
a_través_de a_través_de SP 1
un uno DI0MS0 0.99698
procedimiento procedimiento NCMS000 1
de de SP 0.999961
licitación licitación NCFS000 1
pública público AQ0FS00 1
, , Fc 1
para para SP 0.999834
someter someter VMN0000 1
las lo PP3FPA0 1
a a SP 0.998775
consideración consideración NCFS000 1
de de SP 1
el el DA0MS0 1
Pleno pleno NP00000 1
. . Fp 1

En en SP 1
este este DD0MS0 0.949201
orden orden NCCS000 1
de de SP 0.999961
ideas idea NCFP000 0.991031
, , Fc 1
y y CC 0.999989
considerando considerar VMG0000 0.813333
que que CS 0.449861
el el DA0MS0 1
Instituto instituto NP00000 1
tiene tener VMIP3S0 1
a a SP 0.998775
su su DP3CSN 1
cargo cargo NCMS000 0.998084
la el DA0FS0 0.98926
regulación regulación NCFS000 1
, , Fc 1
promoción promoción NCFS000 1
y y CC 0.999989
supervisión supervisión NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
así_como así_como CC 1
la el DA0FS0 0.98926
facultad facultad NCFS000 0.988202
de de SP 0.999961
otorgar otorgar VMN0000 1
concesiones concesión NCFP000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
, , Fc 1
el el DA0MS0 1
Pleno pleno NP00000 1
, , Fc 1
como como CS 0.967153
órgano órgano NCMS000 1
máximo máximo AQ0MS00 0.863176
de de SP 0.999961
gobierno gobierno NCMS000 0.989726
y y CC 0.999989
decisión decisión NCFS000 1
de de SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
se se P00CN00 0.494509
encuentra encontrar VMIP3S0 0.97619
plenamente plenamente RG 1
facultado facultar VMP00SM 1
para para SP 0.999834
resolver resolver VMN0000 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
. . Fp 1

Segundo 2 AO0MS00 0.900353
. . Fp 1
- - Fg 1
Marco marco NCMS000 0.993808
legal legal AQ0CS00 1
aplicable aplicable AQ0CS00 1
a a SP 0.998775
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
. . Fp 1

El el DA0MS0 1
artículo artículo NCMS000 1
Décimo_Sexto_Transitorio_de_el_Decreto_de_Reforma_Constitucional décimo_sexto_transitorio_de_el_decreto_de_reforma_constitucional NP00000 1
señala señalar VMIP3S0 0.997076
que que CS 0.449861
el el DA0MS0 1
Estado estado NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
el el DA0MS0 1
Ejecutivo_Federal ejecutivo_federal NP00000 1
, , Fc 1
en en SP 1
coordinación coordinación NCFS000 1
con con SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
garantizará garantizar VMIF3S0 1
la el DA0FS0 0.98926
instalación instalación NCFS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
compartida compartir VMP00SF 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
que que PR0CN00 0.550139
impulse impulsar VMSP3S0 0.634863
el el DA0MS0 1
acceso acceso NCMS000 1
efectivo efectivo AQ0MS00 0.78169
de de SP 0.999961
la el DA0FS0 0.98926
población población NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
comunicación comunicación NCFS000 1
de de SP 0.999961
banda banda NCFS000 1
ancha ancho AQ0FS00 1
y y CC 0.999989
a a SP 0.998775
los el DA0MP0 0.992728
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
los el DA0MP0 0.992728
principios principio NCMP000 1
contenidos contener VMP00PM 0.256098
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
6o 6o Z 1
. . Fp 1
, , Fc 1
Apartado_B apartado_b NP00000 1
, , Fc 1
fracción fracción NCFS000 1
II ii NP00000 1
de de SP 0.999961
dicho decir VMP00SM 0.997159
Decreto decreto NP00000 1
y y CC 0.999989
, , Fc 1
entre entre SP 0.980341
otras otro DI0FP0 0.865408
, , Fc 1
contemplará contemplar VMIF3S0 1
el el DA0MS0 1
aprovechamiento aprovechamiento NCMS000 1
de de SP 0.999961
a a SP 1
el el DA0MS0 1
menos menos RG 0.990694
90 90 Z 1
MHz mhz NP00000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
liberado liberar VMP00SM 0.983871
por por SP 1
la el DA0FS0 0.98926
transición transición NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
Televisión_Digital_Terrestre televisión_digital_terrestre NP00000 1
( ( Fpa 1
banda banda NCFS000 1
700 700 Z 1
MHz mhz NP00000 1
) ) Fpt 1
, , Fc 1
de de SP 0.999961
los el DA0MP0 0.992728
recursos recurso NCMP000 1
de de SP 0.999961
la el DA0FS0 0.98926
red red NCFS000 1
troncal troncal AQ0CS00 1
de de SP 0.999961
fibra fibra NCFS000 1
óptica óptico AQ0FS00 0.526641
de de SP 0.999961
la el DA0FS0 0.98926
Comisión_Federal_de_Electricidad comisión_federal_de_electricidad NP00000 1
y y CC 0.999989
de de SP 0.999961
cualquier cualquiera DI0CS0 1
otro otro DI0MS0 0.658501
activo activo NCMS000 0.308271
de de SP 1
el el DA0MS0 1
Estado estado NP00000 1
que que CS 0.449861
pueda poder VMSP3S0 0.499421
utilizar utilizar VMN0000 1
se se PP3CN00 1
en en SP 1
la el DA0FS0 0.98926
instalación instalación NCFS000 1
y y CC 0.999989
la el DA0FS0 0.98926
operación operación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
red red NCFS000 1
compartida compartir VMP00SF 1
. . Fp 1

En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
Décimo_Tercero_Transitorio_de_el_Decreto_de_Ley décimo_tercero_transitorio_de_el_decreto_de_ley NP00000 1
señala señalar VMIP3S0 0.997076
que que CS 0.449861
el el DA0MS0 1
Ejecutivo_Federal ejecutivo_federal NP00000 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
, , Fc 1
realizará realizar VMIF3S0 1
las el DA0FP0 0.988184
acciones acción NCFP000 0.998534
tendientes tendientes AQ0CP00 0.729733
a a SP 0.998775
instalar instalar VMN0000 1
la el DA0FS0 0.98926
red red NCFS000 1
pública público AQ0FS00 1
compartida compartir VMP00SF 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
el el DA0MS0 1
artículo artículo NCMS000 1
Décimo_Sexto_Transitorio_de_el_Decreto_de_Reforma_Constitucional décimo_sexto_transitorio_de_el_decreto_de_reforma_constitucional NP00000 1
, , Fc 1
señalado señalar VMP00SM 1
previamente previamente RG 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
dicho decir VMP00SM 0.997159
artículo artículo NCMS000 1
indica indicar VMIP3S0 0.995495
que que CS 0.449861
en_caso_de en_caso_de SP 1
que que CS 0.449861
el el DA0MS0 1
Ejecutivo_Federal ejecutivo_federal NP00000 1
requiera requerir VMSP3S0 0.592006
de de SP 0.999961
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
liberado liberar VMP00SM 0.983871
por por SP 1
la el DA0FS0 0.98926
transición transición NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
Televisión_Digital_Terrestre televisión_digital_terrestre NP00000 1
( ( Fpa 1
banda banda NCFS000 1
700 700 Z 1
MHz mhz NP00000 1
) ) Fpt 1
para para SP 0.999834
crecer crecer VMN0000 1
y y CC 0.999989
fortalecer fortalecer VMN0000 1
la el DA0FS0 0.98926
red red NCFS000 1
compartida compartir VMP00SF 1
señalada señalar VMP00SF 1
en en SP 1
el el DA0MS0 1
párrafo párrafo NCMS000 1
que que PR0CN00 0.550139
antecede anteceder VMIP3S0 0.978533
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
las lo PP3FPA0 0.011793
otorgará otorgar VMIF3S0 1
directamente directamente RG 1
, , Fc 1
siempre_y_cuando siempre_y_cuando RG 1
dicha decir VMP00SF 0.819767
red red NCFS000 1
se se P00CN00 0.494509
mantenga mantener VMSP3S0 0.493976
bajo bajo SP 0.909179
el el DA0MS0 1
control control NCMS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
entidad entidad NCFS000 1
o o CC 0.999864
dependencia dependencia NCFS000 1
pública público AQ0FS00 1
o o CC 0.999864
bajo bajo SP 0.909179
un uno DI0MS0 0.99698
esquema esquema NCMS000 1
de de SP 0.999961
asociación asociación NCFS000 1
público-privada público_privado AQ0FS00 1
. . Fp 1

En en SP 1
relación relación NCFS000 1
con con SP 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
142 142 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
establece establecer VMIP3S0 0.992424
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
“ “ Fra 1
Artículo artículo NCMS000 0.668984
142 142 Z 1
. . Fp 1

El el DA0MS0 1
Instituto instituto NP00000 1
asignará asignar VMIF3S0 1
directamente directamente RG 1
90 90 Z 1
MHz mhz NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
700 700 Z 1
MHz mhz NP00000 1
para para SP 0.999834
la el DA0FS0 0.98926
operación operación NCFS000 1
y y CC 0.999989
explotación explotación NCFS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
red red NCFS000 1
compartida compartir VMP00SF 1
mayorista mayorista AQ0CS00 0.909836
, , Fc 1
mediante mediante SP 0.99763
concesión concesión NCFS000 1
de de SP 0.999961
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
, , Fc 1
en en SP 1
los el DA0MP0 0.992728
términos término NCMP000 1
establecidos establecer VMP00PM 1
en en SP 1
esta este DD0FS0 0.978817
Ley ley NP00000 1
. . Fp 1
” ” Frc 1
Por por SP 1
su su DP3CSN 1
parte parte NCCS000 0.977711
el el DA0MS0 1
numeral numeral NCMS000 0.349312
14.2.3 14.2.3 Z 1
de de SP 0.999961
las el DA0FP0 0.988184
Bases bases NP00000 1
estableció establecer VMIS3S0 1
que que CS 0.449861
PROMTEL promtel NP00000 1
debería deber VMIC3S0 0.638889
solicitar solicitar VMN0000 1
a a SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
un uno DI0MS0 0.99698
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
usar usar VMN0000 1
, , Fc 1
aprovechar aprovechar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
que que PR0CN00 0.550139
incluye incluir VMIP3S0 0.95045
los el DA0MP0 0.992728
segmentos segmento NCMP000 1
de de SP 0.999961
703 703 Z 1
a a SP 0.998775
748 748 Z 1
MHz mhz NP00000 1
y y CC 0.999989
de de SP 0.999961
758 758 Z 1
a a SP 0.998775
803 803 Z 1
MHz mhz NP00000 1
, , Fc 1
con con SP 1
un uno DI0MS0 0.99698
total total NCMS000 0.405303
de de SP 0.999961
90 90 Z 1
MHz mhz NP00000 1
, , Fc 1
dentro_de dentro_de SP 1
los el DA0MP0 0.992728
5 5 Z 1
( ( Fpa 1
cinco 5 Z 0.999454
) ) Fpt 1
días día NCMP000 1
hábiles hábil AQ0CP00 1
siguientes siguiente AQ0CP00 1
a a SP 0.998775
que que CS 0.449861
el el DA0MS0 1
concursante concursante AQ0CS00 0.627944
ganador ganador NCMS000 0.815315
le le PP3CSD0 1
entregara entregar VMSI3S0 0.65
la el DA0FS0 0.98926
documentación documentación NCFS000 1
referida referir VMP00SF 1
en en SP 1
el el DA0MS0 1
numeral numeral NCMS000 0.349312
14.1 14.1 Z 1
de de SP 0.999961
dichas decir VMP00PF 0.980769
Bases bases NP00000 1
. . Fp 1

En en SP 1
relación relación NCFS000 1
con con SP 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
es ser VSIP3S0 1
importante importante AQ0CS00 1
señalar señalar VMN0000 1
que que CS 0.449861
con con SP 1
el el DA0MS0 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
brindar brindar VMN0000 1
certeza certeza NCFS000 1
a a SP 0.998775
los el DA0MP0 0.992728
agentes agente NCCP000 0.998155
económicos económico AQ0MP00 1
interesados interesar VMP00PM 0.980769
en en SP 1
participar participar VMN0000 1
en en SP 1
el el DA0MS0 1
concurso concurso NCMS000 0.991803
objeto objeto NCMS000 0.996183
de de SP 0.999961
las el DA0FP0 0.988184
Bases bases NP00000 1
, , Fc 1
mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
P/IFT/EXT/280116/4 P/IFT/EXT/280116/4 Z 1
señalado señalar VMP00SM 1
en en SP 1
el el DA0MS0 1
Antecedente_IV antecedente_iv NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Resolución resolución NP00000 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
proporcionó proporcionar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
, , Fc 1
entre entre SP 0.980341
otros otro PI0MP00 0.254022
, , Fc 1
el el DA0MS0 1
modelo modelo NCCS000 0.99763
de de SP 0.999961
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
usar usar VMN0000 1
, , Fc 1
aprovechar aprovechar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
que que PR0CN00 0.550139
formaría_parte formar_parte VMIC3S0 0.502709
de de SP 0.999961
las el DA0FP0 0.988184
mismas mismo AQ0FP00 0.995495
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
en en SP 1
el el DA0MS0 1
entendido entender VMP00SM 0.97619
de de SP 0.999961
que que CS 0.449861
dicho decir VMP00SM 0.997159
modelo modelo NCCS000 0.99763
podría poder VMIC3S0 0.643878
ser ser VSN0000 0.959637
objeto objeto NCMS000 0.996183
de de SP 0.999961
modificaciones modificación NCFP000 1
por por SP 1
parte parte NCCS000 0.977711
de de SP 0.999961
este este DD0MS0 0.949201
Instituto instituto NP00000 1
, , Fc 1
como como CS 0.967153
consecuencia consecuencia NCFS000 1
de de SP 0.999961
particularidades particularidad NCFP000 1
que que PR0CN00 0.550139
pudieran poder VMSI3P0 1
derivar derivar VMN0000 1
se se PP3CN00 1
de de SP 1
el el DA0MS0 1
resultado resultado NCMS000 0.924877
de de SP 1
el el DA0MS0 1
propio propio AQ0MS00 0.998575
concurso concurso NCMS000 0.991803
. . Fp 1

Finalmente finalmente RG 1
, , Fc 1
cabe caber VMIP3S0 0.975904
destacar destacar VMN0000 1
que que CS 0.449861
dada dar VMP00SF 1
la el DA0FS0 0.98926
fecha fecha NCFS000 0.990741
en en SP 1
que que PR0CN00 0.550139
fue ser VSIS3S0 0.980739
presentada presentar VMP00SF 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
, , Fc 1
debe deber VMIP3S0 0.998712
acatar acatar VMN0000 1
se se PP3CN00 1
el el DA0MS0 1
requisito requisito NCMS000 0.983871
de de SP 0.999961
procedencia procedencia NCFS000 1
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
173 173 Z 1
apartado apartado NCMS000 0.663043
A a NP00000 1
fracción fracción NCFS000 1
I i NP00000 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Derechos ley_federal_de_derechos NP00000 1
, , Fc 1
que que PR0CN00 0.550139
establece establecer VMIP3S0 0.992424
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
los el DA0MP0 0.992728
derechos derecho NCMP000 0.996795
a a SP 0.998775
pagar pagar VMN0000 1
por por SP 1
el el DA0MS0 1
trámite trámite NCMS000 1
relativo relativo AQ0MS00 0.980769
a a SP 1
el el DA0MS0 1
estudio estudio NCMS000 0.97043
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
y y CC 0.999989
, , Fc 1
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
, , Fc 1
expedición expedición NCFS000 1
de de SP 0.999961
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
usar usar VMN0000 1
, , Fc 1
aprovechar aprovechar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
de de SP 0.999961
uso uso NCMS000 0.998047
de de SP 0.999961
uso uso NCMS000 0.998047
determinado determinar VMP00SM 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
. . Fp 1

Tercero 3 AO0MS00 0.986928
. . Fp 1
- - Fg 1
Análisis_de_la_Solicitud_de_Concesión análisis_de_la_solicitud_de_concesión NP00000 1
. . Fp 1

Como como CS 0.967153
se se P00CN00 0.494509
señaló señalar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Considerando_Segundo considerando_segundo NP00000 1
anterior anterior AQ0CS00 1
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
Décimo_Tercero_Transitorio_de_el_Decreto_de_Ley décimo_tercero_transitorio_de_el_decreto_de_ley NP00000 1
señala señalar VMIP3S0 0.997076
que que CS 0.449861
el el DA0MS0 1
Instituto instituto NP00000 1
otorgará otorgar VMIF3S0 1
directamente directamente RG 1
, , Fc 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
liberado liberar VMP00SM 0.983871
por por SP 1
la el DA0FS0 0.98926
transición transición NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
Televisión_Digital_Terrestre televisión_digital_terrestre NP00000 1
( ( Fpa 1
banda banda NCFS000 1
700 700 Z 1
MHz mhz NP00000 1
) ) Fpt 1
para para SP 0.999834
crecer crecer VMN0000 1
y y CC 0.999989
fortalecer fortalecer VMN0000 1
la el DA0FS0 0.98926
red red NCFS000 1
compartida compartir VMP00SF 1
previamente previamente RG 1
señalada señalar VMP00SF 1
, , Fc 1
siempre_y_cuando siempre_y_cuando RG 1
dicha decir VMP00SF 0.819767
red red NCFS000 1
se se P00CN00 0.494509
mantenga mantener VMSP3S0 0.493976
bajo bajo SP 0.909179
el el DA0MS0 1
control control NCMS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
entidad entidad NCFS000 1
o o CC 0.999864
dependencia dependencia NCFS000 1
pública público AQ0FS00 1
o o CC 0.999864
bajo bajo SP 0.909179
un uno DI0MS0 0.99698
esquema esquema NCMS000 1
de de SP 0.999961
asociación asociación NCFS000 1
público-privada público_privado AQ0FS00 1
. . Fp 1

Con_respecto_a con_respecto_a SP 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Telecomunicaciones dirección_general_de_concesiones_de_telecomunicaciones NP00000 1
, , Fc 1
revisó revisar VMIS3S0 1
y y CC 0.999989
evaluó evaluar VMIS3S0 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
, , Fc 1
observando observar VMG0000 1
que que CS 0.449861
contiene contener VMIP3S0 1
los el DA0MP0 0.992728
siguientes siguiente AQ0CP00 1
elementos elemento NCMP000 1
: : Fd 1
Características_Generales_de_el_Proyecto características_generales_de_el_proyecto NP00000 1
. . Fp 1

Descripción_de_el_Proyecto descripción_de_el_proyecto NP00000 1
: : Fd 1
PROMTEL promtel NP00000 1
señaló señalar VMIS3S0 1
que que CS 0.449861
el el DA0MS0 1
artículo artículo NCMS000 1
1o 1o Z 1
. . Fp 1
de de SP 0.999961
su su DP3CSN 1
Decreto_de_Creación decreto_de_creación NP00000 1
establece establecer VMIP3S0 0.992424
que que CS 0.449861
dicho decir VMP00SM 0.997159
organismo organismo NCMS000 1
tiene tener VMIP3S0 1
como como CS 0.967153
objeto objeto NCMS000 0.996183
realizar realizar VMN0000 1
las el DA0FP0 0.988184
acciones acción NCFP000 0.998534
tendientes tendientes AQ0CP00 0.729733
a a SP 0.998775
garantizar garantizar VMN0000 1
la el DA0FS0 0.98926
instalación instalación NCFS000 1
de de SP 0.999961
