RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_AUTORIZA_LA_MODIFICACIÓN_A_LAS_CARACTERÍSTICAS_TÉCNICAS_DE_LA_ESTACIÓN_DE_RADIODIFUSIÓN_SONORA_CON_DISTINTIVO_DE_LLAMADA_XHLIA-FM_QUE_OPERA_LA_FRECUENCIA resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_autoriza_la_modificación_a_las_características_técnicas_de_la_estación_de_radiodifusión_sonora_con_distintivo_de_llamada_xhlia-fm_que_opera_la_frecuencia NP00000 1
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
telecomunicaciones telecomunicación NCFP000 1
que que PR0CN00 0.550139
sirvan servir VMSP3P0 0.941964
a a SP 0.998775
un uno DI0MS0 0.99698
mismo mismo AQ0MS00 0.802208
mercado mercado NCMS000 0.999343
o o CC 0.999864
zona zona NCFS000 1
de de SP 0.999961
cobertura cobertura NCFS000 1
geográfica geográfico AQ0FS00 1
, , Fc 1
garantizando garantizar VMG0000 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6o 6o Z 1
. . Fp 1
y y CC 0.999989
7o 7o Z 1
. . Fp 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución constitución NP00000 1
. . Fp 1

Por por SP 1
su su DP3CSN 1
parte parte NCCS000 0.977711
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
6 6 Z 1
fracción fracción NCFS000 1
I_de_el_Estatuto_Orgánico i_de_el_estatuto_orgánico NP00000 1
, , Fc 1
establece establecer VMIP3S0 0.992424
la el DA0FS0 0.98926
atribución atribución NCFS000 1
de de SP 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
de de SP 0.999961
regular regular VMN0000 0.5
, , Fc 1
promover promover VMN0000 1
y y CC 0.999989
supervisar supervisar VMN0000 1
el el DA0MS0 1
uso uso NCMS000 0.998047
, , Fc 1
aprovechamiento aprovechamiento NCMS000 1
y y CC 0.999989
explotación explotación NCFS000 1
eficiente eficiente AQ0CS00 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
, , Fc 1
los el DA0MP0 0.992728
recursos recurso NCMP000 1
orbitales orbital NCMP000 0.968254
, , Fc 1
los el DA0MP0 0.992728
servicios servicio NCMP000 1
satelitales satelitales AQ0CP00 0.275207
, , Fc 1
las el DA0FP0 0.988184
redes red NCFP000 0.990196
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
servicios servicio NCMP000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
así_como así_como CC 1
el el DA0MS0 1
acceso acceso NCMS000 1
a a SP 0.998775
infraestructura infraestructura NCFS000 1
activa activo AQ0FS00 0.992395
, , Fc 1
pasiva pasivo AQ0FS00 0.661244
e y CC 0.987994
insumos insumo NCMP000 1
esenciales esencial AQ0CP00 1
. . Fp 1

Ahora_bien ahora_bien RG 1
, , Fc 1
corresponde corresponder VMIP3S0 0.996183
a a SP 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
conforme_a conforme_a SP 1
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
15 15 Z 1
fracción fracción NCFS000 1
VIII viii NP00000 1
, , Fc 1
99 99 Z 1
y y CC 0.999989
100 100 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Ley ley NCFS000 0.668984
” ” Frc 1
) ) Fpt 1
, , Fc 1
fijar fijar VMN0000 1
los el DA0MP0 0.992728
montos monto NCMP000 1
de de SP 0.999961
la el DA0FS0 0.98926
contraprestaciones contraprestación NCFP000 1
por por SP 1
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
, , Fc 1
así_como así_como CC 1
por por SP 1
la el DA0FS0 0.98926
autorización autorización NCFS000 1
de de SP 0.999961
servicios servicio NCMP000 1
adicionales adicional AQ0CP00 0.980769
vinculados vincular VMP00PM 1
a a SP 0.998775
éstas este PD0FP00 1
, , Fc 1
previa previo AQ0FS00 1
opinión opinión NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Secretaría_de_Hacienda secretaría_de_hacienda NP00000 1
y y CC 0.999989
Crédito_Público crédito_público NP00000 1
. . Fp 1

En en SP 1
este este DD0MS0 0.949201
sentido sentido NCMS000 0.940835
, , Fc 1
conforme_a conforme_a SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
32 32 Z 1
de de SP 1
el el DA0MS0 1
Estatuto_Orgánico estatuto_orgánico NP00000 1
, , Fc 1
corresponden corresponder VMIP3P0 1
originariamente originariamente RG 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
las el DA0FP0 0.988184
atribuciones atribución NCFP000 1
conferidas conferir VMP00PF 1
a a SP 0.998775
la el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Radiodifusión dirección_general_de_concesiones_de_radiodifusión NP00000 1
, , Fc 1
así así RG 0.999409
también también RG 1
, , Fc 1
corresponde corresponder VMIP3S0 0.996183
a a SP 0.998775
dicha dicha NCFS000 0.180233
Dirección_General dirección_general NP00000 1
en en SP 1
términos término NCMP000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
34 34 Z 1
, , Fc 1
fracción fracción NCFS000 1
XIV xiv NP00000 1
de de SP 1
el el DA0MS0 1
ordenamiento ordenamiento NCMS000 1
jurídico jurídico AQ0MS00 1
en en SP 1
cita cita NCFS000 0.774105
, , Fc 1
tramitar tramitar VMN0000 1
las el DA0FP0 0.988184
solicitudes solicitud NCFP000 1
de de SP 0.999961
cualquier cualquiera DI0CS0 1
modificación modificación NCFS000 1
a a SP 0.998775
las el DA0FP0 0.988184
características característica NCFP000 0.994792
técnicas técnico AQ0FP00 0.300493
de de SP 0.999961
las el DA0FP0 0.988184
estaciones estación NCFP000 0.992424
radiodifusoras radiodifusor AQ0FP00 1
, , Fc 1
previa previo AQ0FS00 1
opinión opinión NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Unidad_de_Espectro_Radioeléctrico unidad_de_espectro_radioeléctrico NP00000 1
. . Fp 1

En en SP 1
este este DD0MS0 0.949201
orden orden NCCS000 1
de de SP 0.999961
ideas idea NCFP000 0.991031
, , Fc 1
considerando considerar VMG0000 0.813333
que que CS 0.449861
el el DA0MS0 1
Instituto instituto NP00000 1
tiene tener VMIP3S0 1
a a SP 0.998775
su su DP3CSN 1
cargo cargo NCMS000 0.998084
la el DA0FS0 0.98926
regulación regulación NCFS000 1
, , Fc 1
promoción promoción NCFS000 1
y y CC 0.999989
supervisión supervisión NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
la el DA0FS0 0.98926
radiodifusión radiodifusión NCFS000 1
, , Fc 1
así_como así_como CC 1
la el DA0FS0 0.98926
facultad facultad NCFS000 0.988202
para para SP 0.999834
autorizar autorizar VMN0000 1
los el DA0MP0 0.992728
cambios cambio NCMP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
, , Fc 1
el el DA0MS0 1
Pleno pleno NP00000 1
, , Fc 1
como como CS 0.967153
órgano órgano NCMS000 1
máximo máximo AQ0MS00 0.863176
de de SP 0.999961
gobierno gobierno NCMS000 0.989726
de de SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
se se P00CN00 0.494509
encuentra encontrar VMIP3S0 0.97619
plenamente plenamente RG 1
facultado facultar VMP00SM 1
para para SP 0.999834
resolver resolver VMN0000 1
sobre sobre SP 0.997804
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
la el DA0FS0 0.98926
contraprestación contraprestación NCFS000 1
con con SP 1
motivo motivo NCMS000 0.992395
de de SP 0.999961
la el DA0FS0 0.98926
modificación modificación NCFS000 1
técnica técnico AQ0FS00 0.294798
que que PR0CN00 0.550139
nos nos PP1CP00 0.810258
ocupa ocupar VMIP3S0 0.99505
Segundo segundo NP00000 1
. . Fp 1

Marco marco NCMS000 0.993808
legal legal AQ0CS00 1
aplicable aplicable AQ0CS00 1
. . Fp 1

El el DA0MS0 1
artículo artículo NCMS000 1
155 155 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
señala señalar VMIP3S0 0.997076
que que CS 0.449861
es ser VSIP3S0 1
competencia competencia NCFS000 1
de de SP 0.999961
este este DD0MS0 0.949201
Instituto instituto NP00000 1
aprobar aprobar VMN0000 1
las el DA0FP0 0.988184
modificaciones modificación NCFP000 1
a a SP 0.998775
las el DA0FP0 0.988184
características característica NCFP000 0.994792
técnicas técnico AQ0FP00 0.300493
de de SP 0.999961
las el DA0FP0 0.988184
estaciones estación NCFP000 0.992424
radiodifusoras radiodifusor AQ0FP00 1
acorde acorde NCMS000 0.638641
a a SP 0.998775
las el DA0FP0 0.988184
disposiciones disposición NCFP000 1
legales legal AQ0CP00 0.993827
, , Fc 1
reglamentarias reglamentario AQ0FP00 1
, , Fc 1
así_como así_como CC 1
a a SP 0.998775
las el DA0FP0 0.988184
normas norma NCFP000 1
de de SP 0.999961
ingeniería ingeniería NCFS000 1
generalmente generalmente RG 1
aceptadas aceptar VMP00PF 1
; ; Fx 1
por por SP 1
su su DP3CSN 1
parte parte NCCS000 0.977711
el el DA0MS0 1
artículo artículo NCMS000 1
Sexto_Transitorio_de_el_Decreto sexto_transitorio_de_el_decreto NP00000 1
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
expida expedir VMSP3S0 0.634861
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
establece establecer VMIP3S0 0.992424
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
“ “ Fra 1
SEXTO 6 AO0MS00 0.975904
. . Fp 1

La el DA0FS0 0.98926
atención atención NCFS000 0.997312
, , Fc 1
trámite trámite NCMS000 1
y y CC 0.999989
resolución resolución NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
asuntos asunto NCMP000 1
y y CC 0.999989
procedimientos procedimiento NCMP000 1
que que PR0CN00 0.550139
hayan haber VASP3P0 0.994792
iniciado iniciar VMP00SM 0.992958
previo previo AQ0MS00 0.983871
a a SP 0.998775
la el DA0FS0 0.98926
entrada entrada NCFS000 0.998008
en en SP 1
vigor vigor NCMS000 1
de de SP 1
el el DA0MS0 1
presente presente AQ0CS00 0.524254
Decreto decreto NP00000 1
, , Fc 1
se se P00CN00 0.494509
realizará realizar VMIF3S0 1
en en SP 1
los el DA0MP0 0.992728
términos término NCMP000 1
establecidos establecer VMP00PM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
Séptimo_Transitorio_de_el_Decreto séptimo_transitorio_de_el_decreto NP00000 1
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
y y CC 0.999989
adicionan adicionar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
de de SP 0.999961
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6o 6o Z 1
. . Fp 1
, , Fc 1
7o 7o Z 1
. . Fp 1
, , Fc 1
27 27 Z 1
, , Fc 1
28 28 Z 1
, , Fc 1
73 73 Z 1
, , Fc 1
78 78 Z 1
, , Fc 1
94 94 Z 1
y y CC 0.999989
105 105 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
publicado publicar VMP00SM 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
11_de_junio_de_2013 [??:11/6/2013:??.??:??] W 1
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
sin_perjuicio_de sin_perjuicio_de SP 1
lo el DA00S0 0.665165
previsto prever VMP00SM 1
en en SP 1
el el DA0MS0 1
Vigésimo_Transitorio vigésimo_transitorio NP00000 1
de de SP 1
el el DA0MS0 1
presente presente AQ0CS00 0.524254
Decreto decreto NP00000 1
. . Fp 1
” ” Frc 1
En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
, , Fc 1
se se P00CN00 0.494509
debe deber VMIP3S0 0.998712
observar observar VMN0000 1
que que CS 0.449861
la el DA0FS0 0.98926
atención atención NCFS000 0.997312
, , Fc 1
trámite trámite NCMS000 1
y y CC 0.999989
resolución resolución NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
asuntos asunto NCMP000 1
que que PR0CN00 0.550139
hayan haber VASP3P0 0.994792
iniciado iniciar VMP00SM 0.992958
previo previo AQ0MS00 0.983871
a a SP 0.998775
la el DA0FS0 0.98926
entrada entrada NCFS000 0.998008
en en SP 1
vigor vigor NCMS000 1
de de SP 1
el el DA0MS0 1
Decreto_de_Ley decreto_de_ley NP00000 1
, , Fc 1
continuarán continuar VMIF3P0 1
su su DP3CSN 1
trámite trámite NCMS000 1
en en SP 1
términos término NCMP000 1
de de SP 0.999961
la el DA0FS0 0.98926
legislación legislación NCFS000 1
aplicable aplicable AQ0CS00 1
a a SP 1
el el DA0MS0 1
momento momento NCMS000 1
de de SP 0.999961
su su DP3CSN 1
inicio inicio NCMS000 0.996183
, , Fc 1
conforme_a conforme_a SP 1
lo el DA00S0 0.665165
señalado señalar VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
Séptimo_Transitorio_de_el_Decreto_de_Reforma séptimo_transitorio_de_el_decreto_de_reforma NP00000 1
, , Fc 1
que que PR0CN00 0.550139
a a SP 0.998775
la el DA0FS0 0.98926
letra letra NCFS000 1
indica indicar VMIP3S0 0.995495
: : Fd 1
“ “ Fra 1
SÉPTIMO 7 AO0MS00 0.98374
. . Fp 1

En en SP 1
tanto tanto RG 0.806143
se se P00CN00 0.494509
integran integrar VMIP3P0 1
los el DA0MP0 0.992728
órganos órgano NCMP000 1
constitucionales constitucional AQ0CP00 1
conforme_a conforme_a SP 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
Sexto_Transitorio sexto_transitorio NP00000 1
, , Fc 1
continuarán continuar VMIF3P0 1
en en SP 1
sus su DP3CPN 0.999903
funciones función NCFP000 0.994186
, , Fc 1
conforme_a conforme_a SP 1
el el DA0MS0 1
marco marco NCMS000 0.996894
jurídico jurídico AQ0MS00 1
vigente vigente AQ0CS00 1
a a SP 0.998775
la el DA0FS0 0.98926
entrada entrada NCFS000 0.998008
en en SP 1
vigor vigor NCMS000 1
de de SP 1
el el DA0MS0 1
presente presente AQ0CS00 0.524254
Decreto decreto NP00000 1
, , Fc 1
los el DA0MP0 0.992728
órganos órgano NCMP000 1
desconcentrados desconcentrado AQ0MP00 1
Comisión_Federal_de_Competencia comisión_federal_de_competencia NP00000 1
y y CC 0.999989
Comisión_Federal_de_Telecomunicaciones comisión_federal_de_telecomunicaciones NP00000 1
. . Fp 1

Los el DA0MP0 0.992728
recursos recurso NCMP000 1
humanos humano AQ0MP00 0.808642
, , Fc 1
financieros financiero AQ0MP00 0.987805
y y CC 0.999989
materiales material NCMP000 0.890625
de de SP 0.999961
los el DA0MP0 0.992728
órganos órgano NCMP000 1
desconcentrados desconcentrado AQ0MP00 1
referidos referir VMP00PM 1
pasarán pasar VMIF3P0 1
a a SP 0.998775
los el DA0MP0 0.992728
órganos órgano NCMP000 1
constitucionales constitucional AQ0CP00 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
crean crear VMIP3P0 0.72093
por_virtud_de por_virtud_de SP 1
este este DD0MS0 0.949201
Decreto decreto NP00000 1
. . Fp 1

Los el DA0MP0 0.992728
procedimientos procedimiento NCMP000 1
iniciados iniciar VMP00PM 0.473811
con con SP 1
anterioridad anterioridad NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
integración integración NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Comisión_Federal_de_Competencia_Económica comisión_federal_de_competencia_económica NP00000 1
y y CC 0.999989
de de SP 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
, , Fc 1
continuarán continuar VMIF3P0 1
su su DP3CSN 1
trámite trámite NCMS000 1
ante ante SP 0.999744
estos este DD0MP0 0.972009
órganos órgano NCMP000 1
en en SP 1
términos término NCMP000 1
de de SP 0.999961
la el DA0FS0 0.98926
legislación legislación NCFS000 1
aplicable aplicable AQ0CS00 1
a a SP 1
el el DA0MS0 1
momento momento NCMS000 1
de de SP 0.999961
su su DP3CSN 1
inicio inicio NCMS000 0.996183
. . Fp 1

Las el DA0FP0 0.988184
resoluciones resolución NCFP000 1
que que PR0CN00 0.550139
recaigan recaer VMSP3P0 0.941964
en en SP 1
estos este DD0MP0 0.972009
procedimientos procedimiento NCMP000 1
, , Fc 1
sólo sólo RG 1
podrán poder VMIF3P0 1
ser ser VSN0000 0.959637
impugnadas impugnar VMP00PF 1
en en SP 1
términos término NCMP000 1
de de SP 0.999961
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
por por SP 1
el el DA0MS0 1
presente presente AQ0CS00 0.524254
Decreto decreto NP00000 1
mediante mediante SP 0.99763
juicio juicio NCMS000 1
de de SP 0.999961
amparo amparo NCMS000 0.986111
indirecto indirecto AQ0MS00 0.661294
. . Fp 1

[ [ Fca 1
... ... Fs 1
] ] Fct 1
” ” Frc 1
Énfasis énfasis NCMN000 0.668984
añadido añadir VMP00SM 0.992958
. . Fp 1
[ [ Fca 1
... ... Fs 1
] ] Fct 1
” ” Frc 1
Bajo bajo SP 0.909179
esa ese DD0FS0 0.964505
tesitura tesitura NCFS000 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
interpretación interpretación NCFS000 1
armónica armónico AQ0FS00 0.593609
de de SP 0.999961
los el DA0MP0 0.992728
artículos artículo NCMP000 1
referidos referir VMP00PM 1
, , Fc 1
se se P00CN00 0.494509
desprende desprender VMIP3S0 0.980769
que que CS 0.449861
para para SP 0.999834
la el DA0FS0 0.98926
tramitación tramitación NCFS000 1
y y CC 0.999989
resolución resolución NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Solicitud solicitud NP00000 1
de de SP 0.999961
modificaciones modificación NCFP000 1
técnicas técnico AQ0FP00 0.300493
deberá deber VMIF3S0 1
observar observar VMN0000 1
se se PP3CN00 1
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
la el DA0FS0 0.98926
Ley_Federal_de_Radio ley_federal_de_radio NP00000 1
y y CC 0.999989
Televisión televisión NP00000 1
vigente vigente AQ0CS00 1
a a SP 1
el el DA0MS0 1
momento momento NCMS000 1
de de SP 1
el el DA0MS0 1
inicio inicio NCMS000 0.996183
de de SP 1
el el DA0MS0 1
trámite trámite NCMS000 1
de de SP 0.999961
solicitud solicitud NCFS000 1
. . Fp 1

En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
41 41 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Radio ley_federal_de_radio NP00000 1
y y CC 0.999989
Televisión televisión NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
LFRTV lfrtv NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
en en SP 1
vigor vigor NCMS000 1
a a SP 1
el el DA0MS0 1
momento momento NCMS000 1
de de SP 1
el el DA0MS0 1
inicio inicio NCMS000 0.996183
de de SP 1
el el DA0MS0 1
trámite trámite NCMS000 1
, , Fc 1
a a SP 0.998775
la el DA0FS0 0.98926
letra letra NCFS000 1
dispone disponer VMIP3S0 1
: : Fd 1
“ “ Fra 1
Artículo artículo NCMS000 0.668984
41 41 Z 1
. . Fp 1

Las el DA0FP0 0.988184
estaciones estación NCFP000 0.992424
radiodifusoras radiodifusor AQ0FP00 1
se se P00CN00 0.494509
construirán construir VMIF3P0 1
e y CC 0.987994
instalarán instalar VMIF3P0 1
con con SP 1
sujeción sujeción NCFS000 1
a a SP 0.998775
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
técnicos técnico AQ0MP00 0.287234
que que PR0CN00 0.550139
fije fijar VMSP3S0 0.634859
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
, , Fc 1
de_acuerdo_con de_acuerdo_con SP 1
los el DA0MP0 0.992728
planos plano NCMP000 0.991071
, , Fc 1
memorias memoria NCFP000 1
descriptivas descriptivo AQ0FP00 1
y y CC 0.999989
demás demás DI0CP0 0.280093
documentos documento NCMP000 1
relacionados relacionar VMP00PM 1
con con SP 1
las el DA0FP0 0.988184
obras obra NCFP000 0.997925
por por SP 1
realizar realizar VMN0000 1
se se PP3CN00 1
, , Fc 1
los el DA0MP0 0.992728
cuales cual PR0CP00 1
deberán deber VMIF3P0 1
ajustar ajustar VMN0000 1
se se PP3CN00 1
a a SP 0.998775
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
por por SP 1
esta este DD0FS0 0.978817
ley ley NCFS000 1
, , Fc 1
sus su DP3CPN 0.999903
reglamentos reglamento NCMP000 1
y y CC 0.999989
las el DA0FP0 0.988184
normas norma NCFP000 1
de de SP 0.999961
ingeniería ingeniería NCFS000 1
generalmente generalmente RG 1
aceptadas aceptar VMP00PF 1
. . Fp 1

Las el DA0FP0 0.988184
modificaciones modificación NCFP000 1
se se P00CN00 0.494509
someterán someter VMIF3P0 1
igualmente igualmente RG 1
, , Fc 1
a a SP 0.998775
la el DA0FS0 0.98926
aprobación aprobación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
, , Fc 1
salvo salvo SP 0.850649
los el DA0MP0 0.992728
trabajos trabajo NCMP000 1
de de SP 0.999961
emergencia emergencia NCFS000 1
necesarios necesario AQ0MP00 1
para para SP 0.999834
la el DA0FS0 0.98926
realización realización NCFS000 1
de de SP 1
el el DA0MS0 1
servicio servicio NCMS000 1
, , Fc 1
respecto_a respecto_a SP 1
los el DA0MP0 0.992728
cuales cual PR0CP00 1
deberá deber VMIF3S0 1
rendir rendir VMN0000 1
se se PP3CN00 1
un uno DI0MS0 0.99698
informe informe NCMS000 0.954286
a a SP 0.998775
dicha dicha NCFS000 0.180233
Secretaría secretaría NP00000 1
, , Fc 1
dentro_de dentro_de SP 1
las el DA0FP0 0.988184
24_horas TM_h:24 Zu 1
siguientes siguiente AQ0CP00 1
. . Fp 1
” ” Frc 1
Ahora_bien ahora_bien RG 1
, , Fc 1
respecto_a respecto_a SP 1
la el DA0FS0 0.98926
normatividad normatividad NCFS000 1
técnica técnico AQ0FS00 0.294798
, , Fc 1
resulta resultar VMIP3S0 0.993808
aplicable aplicable AQ0CS00 1
la el DA0FS0 0.98926
“ “ Fra 1
NOM-02-SCT1-93 NOM-02-SCT1-93 Z 1
, , Fc 1
Especificaciones especificaciones NP00000 1
y y CC 0.999989
requerimientos requerimiento NCMP000 1
para para SP 0.999834
la el DA0FS0 0.98926
instalación instalación NCFS000 1
y y CC 0.999989
operación operación NCFS000 1
de de SP 0.999961
estaciones estación NCFP000 0.992424
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
en en SP 1
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
88 88 Z 1
A a NP00000 1
108 108 Z 1
MHz mhz NP00000 1
, , Fc 1
con con SP 1
portadora portador NCFS000 0.338823
principal principal AQ0CS00 0.984551
modulada modular VMP00SF 1
en en SP 1
frecuencia frecuencia NCFS000 1
” ” Frc 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
NOM-02-SCT1-93 NOM-02-SCT1-93 Z 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
en en SP 1
vigor vigor NCMS000 1
a a SP 1
el el DA0MS0 1
momento momento NCMS000 1
de de SP 1
el el DA0MS0 1
inicio inicio NCMS000 0.996183
de de SP 1
el el DA0MS0 1
trámite trámite NCMS000 1
; ; Fx 1
que que CS 0.449861
establece establecer VMIP3S0 0.992424
en en SP 1
su su DP3CSN 1
Capítulo capítulo NP00000 1
10 10 Z 1
numerales numeral NCMP000 0.372522
10.3 10.3 Z 1
y y CC 0.999989
10.4 10.4 Z 1
las el DA0FP0 0.988184
especificaciones especificación NCFP000 1
respecto_a respecto_a SP 1
la el DA0FS0 0.98926
ubicación ubicación NCFS000 1
y y CC 0.999989
erección erección NCFS000 1
de de SP 0.999961
cualquier cualquiera DI0CS0 1
soporte soporte NCMS000 0.919142
estructural estructural AQ0CS00 1
de de SP 0.999961
antena antena NCFS000 1
que que PR0CN00 0.550139
ha haber VMIP3S0 5.55463e-05
de de SP 0.999961
utilizar utilizar VMN0000 1
se se PP3CN00 1
por por SP 1
una uno DI0FS0 0.951973
estación estación NCFS000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
de de SP 0.999961
Frecuencia_Modulada frecuencia_modulada NP00000 1
( ( Fpa 1
“ “ Fra 1
F.M. f.m. NP00000 1
” ” Frc 1
) ) Fpt 1
y y CC 0.999989
el el DA0MS0 1
sitio sitio NCMS000 0.994186
en en SP 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
vaya ir VMSP3S0 0.387234
a a SP 0.998775
instalar instalar VMN0000 1
se se PP3CN00 1
la el DA0FS0 0.98926
estación estación NCFS000 1
radiodifusora radiodifusor AQ0FS00 1
. . Fp 1

En_atención_a en_atención_a SP 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
es ser VSIP3S0 1
importante importante AQ0CS00 1
puntualizar puntualizar VMN0000 1
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
párrafo párrafo NCMS000 1
primero primero RG 0.313084
de de SP 1
el el DA0MS0 1
numeral numeral NCMS000 0.349312
10.3 10.3 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
NOM-02-SCT1-93 NOM-02-SCT1-93 Z 1
, , Fc 1
que que PR0CN00 0.550139
a a SP 0.998775
letra letra NCFS000 1
señala señalar VMIP3S0 0.997076
: : Fd 1
“ “ Fra 1
10.3 10.3 Z 1
ESTRUCTURA_Para estructura_para NP00000 1
la el DA0FS0 0.98926
ubicación ubicación NCFS000 1
y y CC 0.999989
erección erección NCFS000 1
de de SP 0.999961
cualquier cualquiera DI0CS0 1
soporte soporte NCMS000 0.919142
estructural estructural AQ0CS00 1
de de SP 0.999961
