RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_A_FAVOR_DE_LA_UNIVERSIDAD_AUTÓNOMA_CHAPINGO_UNA_CONCESIÓN_PARA_USAR_Y_APROVECHAR_BANDAS_DE_FRECUENCIA_DE_EL_ESPECTRO_RADIOELÉCTRICO_PARA_USO_PÚBLICO resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_a_favor_de_la_universidad_autónoma_chapingo_una_concesión_para_usar_y_aprovechar_bandas_de_frecuencia_de_el_espectro_radioeléctrico_para_uso_público NP00000 1
uso uso NCMS000 0.998047
y y CC 0.999989
coberturas cobertura NCFP000 1
geográficas geográfico AQ0FP00 1
. . Fp 1

Así así RG 0.999409
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
59 59 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
prevé prever VMIP3S0 0.967836
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
Artículo artículo NP00000 0.331016
59 59 Z 1
. . Fp 1

El el DA0MS0 1
Instituto instituto NP00000 1
expedirá expedir VMIF3S0 1
, , Fc 1
a_más_tardar a_más_tardar RG 1
el el DA0MS0 1
treinta_y_uno_de_diciembre [??:31/12/??:??.??:??] W 1
de de SP 0.999961
cada cada DI0CS0 1
año año NCMS000 1
, , Fc 1
el el DA0MS0 1
programa programa NCMS000 0.997879
de de SP 0.999961
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
con con SP 1
las el DA0FP0 0.988184
frecuencias frecuencia NCFP000 1
o o CC 0.999864
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 0.999961
espectro espectro NCMS000 1
determinado determinar VMP00SM 1
que que PR0CN00 0.550139
serán ser VSIF3P0 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
licitación licitación NCFS000 1
o o CC 0.999864
que que PR0CN00 0.550139
podrán poder VMIF3P0 1
asignar asignar VMN0000 1
se se PP3CN00 1
directamente directamente RG 1
y y CC 0.999989
contendrá contener VMIF3S0 1
, , Fc 1
a a SP 1
el el DA0MS0 1
menos menos RG 0.990694
, , Fc 1
los el DA0MP0 0.992728
servicios servicio NCMP000 1
que que PR0CN00 0.550139
pueden poder VMIP3P0 1
prestar prestar VMN0000 1
se se PP3CN00 1
a_través_de a_través_de SP 1
dichas decir VMP00PF 0.980769
frecuencias frecuencia NCFP000 1
o o CC 0.999864
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
, , Fc 1
su su DP3CSN 1
categoría categoría NCFS000 1
, , Fc 1
modalidades modalidad NCFP000 1
de de SP 0.999961
uso uso NCMS000 0.998047
y y CC 0.999989
coberturas cobertura NCFP000 1
geográficas geográfico AQ0FP00 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
86 86 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
referida referir VMP00SF 1
Ley ley NP00000 1
ordena ordenar VMIP3S0 0.97619
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
“ “ Fra 1
Artículo artículo NCMS000 0.668984
86 86 Z 1
. . Fp 1

Los el DA0MP0 0.992728
interesados interesar VMP00PM 0.980769
en en SP 1
obtener obtener VMN0000 1
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
sobre sobre SP 0.997804
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
para para SP 0.999834
prestar prestar VMN0000 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
, , Fc 1
presentarán presentar VMIF3P0 1
solicitud solicitud NCFS000 1
en en SP 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
deberán deber VMIF3P0 1
cumplir cumplir VMN0000 1
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
establecidos establecer VMP00PM 1
en en SP 1
el el DA0MS0 1
numeral numeral NCMS000 0.349312
85 85 Z 1
de de SP 0.999961
esta este DD0FS0 0.978817
Ley ley NP00000 1
, , Fc 1
dentro_de dentro_de SP 1
el el DA0MS0 1
plazo plazo NCMS000 1
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
programa programa NCMS000 0.997879
anual anual AQ0CS00 1
de de SP 0.999961
uso uso NCMS000 0.998047
y y CC 0.999989
aprovechamiento aprovechamiento NCMS000 1
de de SP 0.999961
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
. . Fp 1

En en SP 1
dicha decir VMP00SF 0.819767
solicitud solicitud NCFS000 1
deberán deber VMIF3P0 1
precisar precisar VMN0000 1
se se PP3CN00 1
los el DA0MP0 0.992728
mecanismos mecanismo NCMP000 1
para para SP 0.999834
asegurar asegurar VMN0000 1
la el DA0FS0 0.98926
independencia independencia NCFS000 1
editorial editorial AQ0CS00 0.253086
; ; Fx 1
autonomía autonomía NCFS000 1
de de SP 0.999961
gestión gestión NCFS000 1
financiera financiero AQ0FS00 0.988439
; ; Fx 1
garantías garantía NCFP000 0.991071
de de SP 0.999961
participación participación NCFS000 1
ciudadana ciudadano AQ0FS00 0.738095
; ; Fx 1
reglas regla NCFP000 0.994505
claras claro AQ0FP00 0.990196
para para SP 0.999834
la el DA0FS0 0.98926
transparencia transparencia NCFS000 1
y y CC 0.999989
rendición rendición NCFS000 1
de de SP 0.999961
cuentas cuenta NCFP000 0.997449
; ; Fx 1
defensa defensa NCCS000 1
de de SP 0.999961
sus su DP3CPN 0.999903
contenidos contenido NCMP000 0.743902
; ; Fx 1
opciones opción NCFP000 1
de de SP 0.999961
financiamiento financiamiento NCMS000 1
; ; Fx 1
pleno pleno NCMS000 0.624224
acceso acceso NCMS000 1
a a SP 0.998775
tecnologías tecnología NCFP000 1
y y CC 0.999989
reglas regla NCFP000 0.994505
para para SP 0.999834
la el DA0FS0 0.98926
expresión expresión NCFS000 1
de de SP 0.999961
diversidades diversidad NCFP000 1
ideológicas ideológico AQ0FP00 1
, , Fc 1
étnicas étnico AQ0FP00 1
y y CC 0.999989
culturales cultural AQ0CP00 1
. . Fp 1

( ( Fpa 1
… … Fz 1
) ) Fpt 1
” ” Frc 1
De de SP 0.999961
la el DA0FS0 0.98926
lectura lectura NCFS000 1
de de SP 1
el el DA0MS0 1
precepto precepto NCMS000 1
legal legal AQ0CS00 1
anteriormente anteriormente RG 1
citado citar VMP00SM 1
se se P00CN00 0.494509
desprende desprender VMIP3S0 0.980769
que que CS 0.449861
, , Fc 1
adicionalmente adicionalmente RG 1
a a SP 1
el el DA0MS0 1
cumplimiento cumplimiento NCMS000 1
de de SP 0.999961
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
señalados señalar VMP00PM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
85 85 Z 1
los el DA0MP0 0.992728
interesados interesar VMP00PM 0.980769
deberán deber VMIF3P0 1
cumplir cumplir VMN0000 1
con con SP 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
el el DA0MS0 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
86 86 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
. . Fp 1

Por por SP 1
su su DP3CSN 1
parte parte NCCS000 0.977711
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
8 8 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos_Generales_para_el_Otorgamiento_de_las_Concesiones lineamientos_generales_para_el_otorgamiento_de_las_concesiones NP00000 1
, , Fc 1
establece establecer VMIP3S0 0.992424
que que CS 0.449861
los el DA0MP0 0.992728
interesados interesar VMP00PM 0.980769
en en SP 1
obtener obtener VMN0000 1
una uno DI0FS0 0.951973
Concesión_de_Espectro_Radioeléctrico concesión_de_espectro_radioeléctrico NP00000 1
para para SP 0.999834
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
deberán deber VMIF3P0 1
de de SP 0.999961
satisfacer satisfacer VMN0000 1
los el DA0MP0 0.992728
siguientes siguiente AQ0CP00 1
requisitos requisito NCMP000 0.98913
en_materia_de en_materia_de SP 1
radiodifusión radiodifusión NCFS000 1
: : Fd 1
( ( Fpa 1
… … Fz 1
) ) Fpt 1
II ii NP00000 1
. . Fp 1

En_materia_de en_materia_de SP 1
Radiodifusión radiodifusión NP00000 1
, , Fc 1
las el DA0FP0 0.988184
especificaciones especificación NCFP000 1
técnicas técnico AQ0FP00 0.300493
siguientes siguiente AQ0CP00 1
: : Fd 1
Para para SP 0.999834
los el DA0MP0 0.992728
servicios servicio NCMP000 1
de de SP 0.999961
AM am NP00000 1
, , Fc 1
FM fm NP00000 1
o o CC 0.999864
TDT tdt NP00000 1
, , Fc 1
indicar indicar VMN0000 1
la el DA0FS0 0.98926
población población NCFS000 1
principal principal AQ0CS00 0.984551
a a SP 0.998775
servir servir VMN0000 1
( ( Fpa 1
localidad localidad NCFS000 1
, , Fc 1
municipio municipio NCMS000 1
, , Fc 1
estado estado NCMS000 0.647596
y y CC 0.999989
clave clave NCFS000 0.984906
de de SP 1
el el DA0MS0 1
área área NCFS000 1
geoestadística geoestadístico AQ0FS00 1
de de SP 1
el el DA0MS0 1
Instituto_Nacional_de_Estadística instituto_nacional_de_estadística NP00000 1
y y CC 0.999989
Geografía geografía NP00000 1
) ) Fpt 1
. . Fp 1

III iii NP00000 1
. . Fp 1

Fuentes fuentes NP00000 0.331016
de de SP 0.999961
los el DA0MP0 0.992728
recursos recurso NCMP000 1
financieros financiero AQ0MP00 0.987805
para para SP 0.999834
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.99884
y y CC 0.999989
operación operación NCFS000 1
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
para para SP 0.999834
el el DA0MS0 1
caso caso NCMS000 0.999445
de de SP 0.999961
Concesiones_de_Espectro_para_Uso_Público concesiones_de_espectro_para_uso_público NP00000 1
y y CC 0.999989
Concesiones_de_Espectro_para_Uso_Social concesiones_de_espectro_para_uso_social NP00000 1
. . Fp 1

El el DA0MS0 1
Interesado interesado NP00000 1
deberá deber VMIF3S0 1
justificar justificar VMN0000 1
la el DA0FS0 0.98926
fuente fuente NCFS000 1
de de SP 0.999961
sus su DP3CPN 0.999903
ingresos ingreso NCMP000 1
, , Fc 1
los el DA0MP0 0.992728
cuales cual PR0CP00 1
podrán poder VMIF3P0 1
ser ser VSN0000 0.959637
acordes acorde AQ0CP00 0.511372
con con SP 1
los el DA0MP0 0.992728
supuestos supuesto NCMP000 0.430556
previstos prever VMP00PM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
85 85 Z 1
, , Fc 1
88 88 Z 1
y y CC 0.999989
89 89 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
o o CC 0.999864
con con SP 1
cualquier cualquiera DI0CS0 1
otra otro DI0FS0 0.740893
fuente fuente NCFS000 1
acorde acorde AQ0CS00 0.361359
con con SP 1
sus su DP3CPN 0.999903
fines fin NCMP000 0.994186
. . Fp 1

IV iv NP00000 0.47288
. . Fp 1

Para para SP 0.999834
Concesiones_de_Espectro_Radioeléctrico_para_Uso_Público concesiones_de_espectro_radioeléctrico_para_uso_público NP00000 1
en_materia_de en_materia_de SP 1
Radiodifusión radiodifusión NP00000 1
, , Fc 1
los el DA0MP0 0.992728
mecanismos mecanismo NCMP000 1
para para SP 0.999834
asegurar asegurar VMN0000 1
la el DA0FS0 0.98926
independencia independencia NCFS000 1
editorial editorial AQ0CS00 0.253086
; ; Fx 1
autonomía autonomía NCFS000 1
de de SP 0.999961
gestión gestión NCFS000 1
financiera financiero AQ0FS00 0.988439
; ; Fx 1
garantías garantía NCFP000 0.991071
de de SP 0.999961
participación participación NCFS000 1
ciudadana ciudadano AQ0FS00 0.738095
; ; Fx 1
reglas regla NCFP000 0.994505
claras claro AQ0FP00 0.990196
para para SP 0.999834
la el DA0FS0 0.98926
transparencia transparencia NCFS000 1
y y CC 0.999989
rendición rendición NCFS000 1
de de SP 0.999961
cuentas cuenta NCFP000 0.997449
; ; Fx 1
defensa defensa NCCS000 1
de de SP 0.999961
sus su DP3CPN 0.999903
contenidos contenido NCMP000 0.743902
; ; Fx 1
opciones opción NCFP000 1
de de SP 0.999961
financiamiento financiamiento NCMS000 1
; ; Fx 1
pleno pleno NCMS000 0.624224
acceso acceso NCMS000 1
a a SP 0.998775
tecnologías tecnología NCFP000 1
y y CC 0.999989
reglas regla NCFP000 0.994505
para para SP 0.999834
la el DA0FS0 0.98926
expresión expresión NCFS000 1
de de SP 0.999961
diversidades diversidad NCFP000 1
ideológicas ideológico AQ0FP00 1
, , Fc 1
étnicas étnico AQ0FP00 1
y y CC 0.999989
culturales cultural AQ0CP00 1
. . Fp 1

El el DA0MS0 1
Interesado interesado NP00000 1
deberá deber VMIF3S0 1
describir describir VMN0000 1
los el DA0MP0 0.992728
mecanismos mecanismo NCMP000 1
concretos concreto AQ0MP00 0.987805
para para SP 0.999834
asegurar asegurar VMN0000 1
los el DA0MP0 0.992728
principios principio NCMP000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
el el DA0MS0 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
86 86 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
los el DA0MP0 0.992728
cuales cual PR0CP00 1
deberán deber VMIF3P0 1
atender atender VMN0000 1
a a SP 0.998775
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
El el DA0MS0 1
Interesado interesado NP00000 1
deberá deber VMIF3S0 1
presentar presentar VMN0000 1
las el DA0FP0 0.988184
reglas regla NCFP000 0.994505
para para SP 0.999834
la el DA0FS0 0.98926
conformación conformación NCFS000 1
de de SP 0.999961
un uno DI0MS0 0.99698
consejo consejo NCMS000 1
ciudadano ciudadano NCMS000 0.922535
plural plural AQ0CS00 0.980769
que que PR0CN00 0.550139
garanticen garantizar VMSP3P0 0.941964
una uno DI0FS0 0.951973
elección elección NCFS000 1
transparente transparente AQ0CS00 0.944444
y y CC 0.999989
democrática democrático AQ0FS00 1
de de SP 0.999961
sus su DP3CPN 0.999903
miembros miembro NCMP000 0.998938
, , Fc 1
así_como así_como CC 1
su su DP3CSN 1
funcionamiento funcionamiento NCMS000 1
independiente independiente AQ0CS00 1
y y CC 0.999989
eficaz eficaz AQ0CS00 1
para para SP 0.999834
garantizar garantizar VMN0000 1
su su DP3CSN 1
independencia independencia NCFS000 1
editorial editorial AQ0CS00 0.253086
, , Fc 1
la el DA0FS0 0.98926
participación participación NCFS000 1
ciudadana ciudadano AQ0FS00 0.738095
y y CC 0.999989
la el DA0FS0 0.98926
expresión expresión NCFS000 1
de de SP 0.999961
diversidades diversidad NCFP000 1
ideológicas ideológico AQ0FP00 1
, , Fc 1
étnicas étnico AQ0FP00 1
y y CC 0.999989
culturales cultural AQ0CP00 1
. . Fp 1

El el DA0MS0 1
consejo consejo NCMS000 1
ciudadano ciudadano AQ0MS00 0.0774648
deberá deber VMIF3S0 1
ser ser VSN0000 0.959637
instalado instalar VMP00SM 1
dentro_de dentro_de SP 1
los el DA0MP0 0.992728
primeros 1 AO0MP00 1
seis 6 Z 1
meses mes NCMP000 0.999436
a_partir_de a_partir_de SP 1
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Concesión_de_Espectro_Radioeléctrico_para_Uso_Público concesión_de_espectro_radioeléctrico_para_uso_público NP00000 1
, , Fc 1
lo el DA00S0 0.665165
cual cual PR0CS00 0.930743
deberá deber VMIF3S0 1
ser ser VSN0000 0.959637
acreditado acreditar VMP00SM 0.623747
ante ante SP 0.999744
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
conforme conforme CS 0.0981559
se se P00CN00 0.494509
establezca establecer VMSP3S0 0.484863
en en SP 1
el el DA0MS0 1
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
respectivo respectivo AQ0MS00 1
y y CC 0.999989
, , Fc 1
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
, , Fc 1
las el DA0FP0 0.988184
disposiciones disposición NCFP000 1
aplicables aplicable AQ0CP00 1
; ; Fx 1
El_Interesado el_interesado NP00000 1
deberá deber VMIF3S0 1
contar contar VMN0000 1
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
su su DP3CSN 1
naturaleza naturaleza NCFS000 1
jurídica jurídico AQ0FS00 1
y y CC 0.999989
la el DA0FS0 0.98926
normatividad normatividad NCFS000 1
aplicable aplicable AQ0CS00 1
, , Fc 1
con con SP 1
autonomía autonomía NCFS000 1
de de SP 0.999961
gestión gestión NCFS000 1
financiera financiero AQ0FS00 0.988439
; ; Fx 1
El_Interesado el_interesado NP00000 1
deberá deber VMIF3S0 1
establecer establecer VMN0000 1
reglas regla NCFP000 0.994505
que que PR0CN00 0.550139
aseguren asegurar VMSP3P0 0.941964
la el DA0FS0 0.98926
transparencia transparencia NCFS000 1
y y CC 0.999989
la el DA0FS0 0.98926
rendición rendición NCFS000 1
de de SP 0.999961
cuentas cuenta NCFP000 0.997449
de de SP 1
el el DA0MS0 1
mismo mismo AQ0MS00 0.802208
, , Fc 1
para para SP 0.999834
lo el DA00S0 0.665165
cual cual PR0CS00 0.930743
deberá deber VMIF3S0 1
observar observar VMN0000 1
las el DA0FP0 0.988184
disposiciones disposición NCFP000 1
normativas normativa NCFP000 0.97619
aplicables aplicable AQ0CP00 1
en en SP 1
la el DA0FS0 0.98926
materia materia NCFS000 1
según según CS 0.231127
corresponda corresponder VMSP3S0 0.634863
; ; Fx 1
El_Interesado el_interesado NP00000 1
deberá deber VMIF3S0 1
especificar especificar VMN0000 1
cómo cómo PT00000 0.997099
atenderá atender VMIF3S0 1
a a SP 0.998775
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
la el DA0FS0 0.98926
Ley ley NP00000 1
y y CC 0.999989
en en SP 1
los el DA0MP0 0.992728
lineamientos lineamiento NCMP000 1
en en SP 1
la el DA0FS0 0.98926
materia materia NCFS000 1
emitidos emitir VMP00PM 1
por por SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
para para SP 0.999834
la el DA0FS0 0.98926
defensoría defensoría NCFS000 1
de de SP 0.999961
sus su DP3CPN 0.999903
contenidos contenido NCMP000 0.743902
en en SP 1
relación relación NCFS000 1
con con SP 1
las el DA0FP0 0.988184
audiencias audiencia NCFP000 1
; ; Fx 1
Los los NP00000 1
mecanismos mecanismo NCMP000 1
de de SP 0.999961
financiamiento financiamiento NCMS000 1
deberán deber VMIF3P0 1
ser ser VSN0000 0.959637
acordes acorde AQ0CP00 0.511372
con con SP 1
los el DA0MP0 0.992728
establecidos establecer VMP00PM 1
en en SP 1
la el DA0FS0 0.98926
Ley ley NP00000 1
o o CC 0.999864
con con SP 1
cualquier cualquiera DI0CS0 1
otro otro PI0MS00 0.341499
cuyo cuyo PR0MS00 1
ejercicio ejercicio NCMS000 1
sea ser VSSP1S0 0.49434
legítimo legítimo AQ0MS00 1
y y CC 0.999989
les le PP3CPD0 1
esté estar VMSP3S0 0.495885
permitido permitir VMP00SM 1
, , Fc 1
y y CC 0.999989
El_Interesado el_interesado NP00000 1
deberá deber VMIF3S0 1
especificar especificar VMN0000 1
de de SP 0.999961
qué qué DT0CN0 0.216289
manera manera NCFS000 1
garantizará garantizar VMIF3S0 1
el el DA0MS0 1
pleno pleno AQ0MS00 0.375776
acceso acceso NCMS000 1
a a SP 0.998775
tecnologías tecnología NCFP000 1
. . Fp 1

En en SP 1
el el DA0MS0 1
supuesto suponer VMP00SM 0.932099
de de SP 0.999961
que que CS 0.449861
el el DA0MS0 1
Instituto instituto NP00000 1
advierta advertir VMSP3S0 0.634863
que que CS 0.449861
los el DA0MP0 0.992728
mecanismos mecanismo NCMP000 1
expuestos exponer VMP00PM 1
no no RN 0.999297
sean ser VSSP3P0 0.996689
suficientes suficiente AQ0CP00 0.989637
para para SP 0.999834
garantizar garantizar VMN0000 1
los el DA0MP0 0.992728
objetivos objetivo NCMP000 0.962329
pretendidos pretender VMP00PM 1
, , Fc 1
requerirá requerir VMIF3S0 1
a a SP 1
el el DA0MS0 1
Interesado interesado NP00000 1
para para SP 0.999834
que que CS 0.449861
realice realizar VMSP3S0 0.534863
las el DA0FP0 0.988184
modificaciones modificación NCFP000 1
pertinentes pertinente AQ0CP00 1
. . Fp 1

( ( Fpa 1
… … Fz 1
) ) Fpt 1
Adicional adicional NP00000 1
a a SP 0.998775
estas este DD0FP0 0.969897
formalidades formalidad NCFP000 1
, , Fc 1
el el DA0MS0 1
interesado interesar VMP00SM 0.97619
en en SP 1
obtener obtener VMN0000 1
una uno DI0FS0 0.951973
Concesión_de_Espectro_Radioeléctrico concesión_de_espectro_radioeléctrico NP00000 1
, , Fc 1
deberá deber VMIF3S0 1
presentar presentar VMN0000 1
la el DA0FS0 0.98926
información información NCFS000 1
y y CC 0.999989
requisitos requisito NCMP000 0.98913
aplicables aplicable AQ0CP00 1
que que PR0CN00 0.550139
establece establecer VMIP3S0 0.992424
el el DA0MS0 1
artículo artículo NCMS000 1
3 3 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos_Generales_para_el_Otorgamiento_de_las_Concesiones lineamientos_generales_para_el_otorgamiento_de_las_concesiones NP00000 1
, , Fc 1
en en SP 1
concordancia concordancia NCFS000 1
con con SP 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
75 75 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
tales tal PD0CP00 0.251534
como como CS 0.967153
: : Fd 1
I._Datos i._datos NP00000 1
generales general AQ0CP00 0.916449
de de SP 1
el el DA0MS0 1
Interesado_Identidad interesado_identidad NP00000 1
. . Fp 1

Acreditación acreditación NP00000 0.331016
de de SP 0.999961
la el DA0FS0 0.98926
personalidad personalidad NCFS000 1
jurídica jurídico AQ0FS00 1
de de SP 0.999961
las el DA0FP0 0.988184
personas persona NCFP000 0.999585
físicas físico AQ0FP00 0.962264
y y CC 0.999989
/ / Fh 1
o o CC 0.999864
morales moral AQ0CP00 0.640816
( ( Fpa 1
nombre nombre NCMS000 0.995342
o o CC 0.999864
razón razón NCFS000 1
o o CC 0.999864
denominación denominación NCFS000 1
social social AQ0CS00 0.998783
) ) Fpt 1
, , Fc 1
así_como así_como CC 1
la el DA0FS0 0.98926
de de SP 0.999961
sus su DP3CPN 0.999903
representantes representante NCCP000 0.998221
legales legal AQ0CP00 0.993827
. . Fp 1

Para para SP 0.999834
el el DA0MS0 1
caso caso NCMS000 0.999445
de de SP 0.999961
los el DA0MP0 0.992728
entes ente NCMP000 1
públicos público AQ0MP00 0.974537
, , Fc 1
su su DP3CSN 1
naturaleza naturaleza NCFS000 1
jurídica jurídico AQ0FS00 1
deberá deber VMIF3S0 1
ser ser VSN0000 0.959637
acreditada acreditar VMP00SF 0.623732
y y CC 0.999989
referenciada referenciar VMP00SF 1
en en SP 1
términos término NCMP000 1
de de SP 0.999961
las el DA0FP0 0.988184
disposiciones disposición NCFP000 1
normativas normativa NCFP000 0.97619
aplicables aplicable AQ0CP00 1
. . Fp 1

A a SP 0.998775
su su DP3CSN 1
vez vez NCFS000 1
, , Fc 1
la el DA0FS0 0.98926
personalidad personalidad NCFS000 1
de de SP 0.999961
su su DP3CSN 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
se se P00CN00 0.494509
acreditará acreditar VMIF3S0 1
con con SP 1
copia copia NCFS000 0.874645
simple simple AQ0CS00 0.997312
de de SP 1
el el DA0MS0 1
nombramiento nombramiento NCMS000 1
respectivo respectivo AQ0MS00 1
o o CC 0.999864
testimonio testimonio NCMS000 0.983871
o o CC 0.999864
copia copia NCFS000 0.874645
certificada certificar VMP00SF 1
de de SP 1
el el DA0MS0 1
instrumento instrumento NCMS000 0.991071
público público AQ0MS00 0.409696
correspondiente correspondiente AQ0CS00 0.993421
. . Fp 1

En en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
, , Fc 1
nombre nombre NCMS000 0.995342
comercial comercial AQ0CS00 1
o o CC 0.999864
marca marca NCFS000 0.826638
de de SP 1
el el DA0MS0 1
servicio servicio NCMS000 1
a a SP 0.998775
prestar prestar VMN0000 1
. . Fp 1

Domicilio domicilio NCMS000 0.99177
en en SP 1
el el DA0MS0 1
territorio territorio NCMS000 1
nacional nacional AQ0CS00 1
. . Fp 1

En en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
, , Fc 1
el el DA0MS0 1
Interesado interesado NP00000 1
podrá poder VMIF3S0 1
autorizar autorizar VMN0000 1
personas persona NCFP000 0.999585
para para SP 0.999834
oír oír VMN0000 1
y y CC 0.999989
recibir recibir VMN0000 1
notificaciones notificación NCFP000 1
. . Fp 1

En en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
, , Fc 1
correo correo NCMS000 0.98913
electrónico electrónico AQ0MS00 1
y y CC 0.999989
teléfono teléfono NCMS000 1
, , Fc 1
de de SP 1
el el DA0MS0 1
Interesado interesado NP00000 1
o o CC 0.999864
de de SP 0.999961
su su DP3CSN 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
. . Fp 1

Clave clave NCFS000 0.981203
de de SP 0.999961
inscripción inscripción NCFS000 1
en en SP 1
el el DA0MS0 1
Registro_Federal_de_Contribuyentes registro_federal_de_contribuyentes NP00000 1
. . Fp 1

II ii NP00000 0.47288
. . Fp 1

Modalidad modalidad NCFS000 0.668984
de de SP 0.999961
uso uso NCMS000 0.998047
. . Fp 1
( ( Fpa 1
Uso uso NCMS000 0.977055
público público AQ0MS00 0.409696
) ) Fpt 1
III iii NP00000 1
. . Fp 1

Características_Generales_de_el_Proyecto_Descripción_de_el_Proyecto características_generales_de_el_proyecto_descripción_de_el_proyecto NP00000 1
. . Fp 1

Descripción descripción NP00000 0.331016
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
y y CC 0.999989
presentar presentar VMN0000 1
una uno DI0FS0 0.951973
relación relación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
principales principal AQ0CP00 0.998252
equipos equipo NCMP000 1
y y CC 0.999989
medios medio NCMP000 0.997344
de de SP 0.999961
transmisión transmisión NCFS000 1
que que PR0CN00 0.550139
conformarán conformar VMIF3P0 1
la el DA0FS0 0.98926
red red NCFS000 1
o o CC 0.999864
el el DA0MS0 1
sistema sistema NCMS000 1
proyectado proyectar VMP00SM 1
para para SP 0.999834
el el DA0MS0 1
inicio inicio NCMS000 0.996183
de de SP 0.999961
operaciones operación NCFP000 1
, , Fc 1
entre entre SP 0.980341
otras otro PI0FP00 0.134592
. . Fp 1

Justificación_de_el_Proyecto justificación_de_el_proyecto NP00000 1
. . Fp 1

Detallar detallar VMN0000 1
o o CC 0.999864
especificar especificar VMN0000 1
las el DA0FP0 0.988184
atribuciones atribución NCFP000 1
que que PR0CN00 0.550139
tiene tener VMIP3S0 1
conferidas conferir VMP00PF 1
el el DA0MS0 1
ente ente NCMS000 1
