RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_A_LA_C._MARÍA_DE_EL_CONSUELO_SÁNCHEZ_GALLEGOS resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_a_la_c._maría_de_el_consuelo_sánchez_gallegos NP00000 1
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
así_como así_como CC 1
la el DA0FS0 0.98926
facultad facultad NCFS000 0.988202
de de SP 0.999961
otorgar otorgar VMN0000 1
concesiones concesión NCFP000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
, , Fc 1
el el DA0MS0 1
Pleno pleno NP00000 1
, , Fc 1
como como CS 0.967153
órgano órgano NCMS000 1
máximo máximo AQ0MS00 0.863176
de de SP 0.999961
gobierno gobierno NCMS000 0.989726
y y CC 0.999989
decisión decisión NCFS000 1
de de SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
se se P00CN00 0.494509
encuentra encontrar VMIP3S0 0.97619
plenamente plenamente RG 1
facultado facultar VMP00SM 1
para para SP 0.999834
resolver resolver VMN0000 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
. . Fp 1

Segundo 2 AO0MS00 0.900353
. . Fp 1
- - Fg 1
Marco marco NCMS000 0.993808
legal legal AQ0CS00 1
aplicable aplicable AQ0CS00 1
a a SP 0.998775
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
. . Fp 1

El el DA0MS0 1
párrafo párrafo NCMS000 1
segundo 2 AO0MS00 0.901147
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
Cuarto_Transitorio_de_el_Decreto_de_Reforma_Constitucional cuarto_transitorio_de_el_decreto_de_reforma_constitucional NP00000 1
, , Fc 1
señala señalar VMIP3S0 0.997076
que que CS 0.449861
en en SP 1
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
que que PR0CN00 0.550139
la el DA0FS0 0.98926
Ley ley NP00000 1
establezca establecer VMSP3S0 0.484863
como como CS 0.967153
únicas único AQ0FP00 1
, , Fc 1
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
estarán estar VMIF3P0 0.994505
habilitados habilitar VMP00PM 0.623747
para para SP 0.999834
prestar prestar VMN0000 1
todo todo DI0MS0 0.6662
tipo tipo NCMS000 1
de de SP 0.999961
servicios servicio NCMP000 1
a_través_de a_través_de SP 1
sus su DP3CPN 0.999903
redes red NCFP000 0.990196
. . Fp 1

A a SP 1
el el DA0MS0 1
respecto respecto NCMS000 0.989726
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
66 66 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
establece establecer VMIP3S0 0.992424
que que CS 0.449861
se se P00CN00 0.494509
requerirá requerir VMIF3S0 1
concesión concesión NCFS000 1
única único AQ0FS00 1
para para SP 0.999834
prestar prestar VMN0000 1
todo todo DI0MS0 0.6662
tipo tipo NCMS000 1
de de SP 0.999961
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
67 67 Z 1
fracción fracción NCFS000 1
I_de_la_Ley i_de_la_ley NP00000 1
dispone disponer VMIP3S0 1
que que CS 0.449861
la el DA0FS0 0.98926
concesión concesión NCFS000 1
única único AQ0FS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
confiere conferir VMIP3S0 0.989239
el el DA0MS0 1
derecho derecho NCMS000 0.882166
a a SP 0.998775
personas persona NCFP000 0.999585
físicas físico AQ0FP00 0.962264
o o CC 0.999864
morales moral AQ0CP00 0.640816
para para SP 0.999834
prestar prestar VMN0000 1
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
, , Fc 1
con con SP 1
fines fin NCMP000 0.994186
de de SP 0.999961
lucro lucro NCMS000 0.989726
, , Fc 1
a_través_de a_través_de SP 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
. . Fp 1

Es ser VSIP3S0 1
importante importante AQ0CS00 1
mencionar mencionar VMN0000 1
que que CS 0.449861
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
debe deber VMIP3S0 0.998712
contener contener VMN0000 1
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
establecidos establecer VMP00PM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
73 73 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
establece establecer VMIP3S0 0.992424
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
“ “ Fra 1
Artículo artículo NCMS000 0.668984
73 73 Z 1
. . Fp 1

Los el DA0MP0 0.992728
interesados interesar VMP00PM 0.980769
en en SP 1
obtener obtener VMN0000 1
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
única único AQ0FS00 1
, , Fc 1
cualquiera cualquiera PI0CS00 0.992958
que que PR0CN00 0.550139
sea ser VSSP1S0 0.49434
su su DP3CSN 1
uso uso NCMS000 0.998047
, , Fc 1
deberán deber VMIF3P0 1
presentar presentar VMN0000 1
a a SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
solicitud solicitud NCFS000 1
que que PR0CN00 0.550139
contenga contener VMSP3S0 0.634863
como_mínimo como_mínimo RG 1
: : Fd 1
I._Nombre i._nombre NP00000 1
y y CC 0.999989
domicilio domicilio NCMS000 0.995868
de de SP 1
el el DA0MS0 1
solicitante solicitante NCCS000 0.97619
; ; Fx 1
II ii NP00000 1
. . Fp 1

Las el DA0FP0 0.988184
características característica NCFP000 0.994792
generales general AQ0CP00 0.916449
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
de de SP 0.999961
que que CS 0.449861
se se P00CN00 0.494509
trate tratar VMSP3S0 0.495935
, , Fc 1
y y CC 0.999989
III iii NP00000 1
. . Fp 1

La el DA0FS0 0.98926
documentación documentación NCFS000 1
e y CC 0.987994
información información NCFS000 1
que que PR0CN00 0.550139
acredite acreditar VMSP3S0 0.634861
su su DP3CSN 1
capacidad capacidad NCFS000 1
técnica técnico AQ0FS00 0.294798
, , Fc 1
económica económico AQ0FS00 1
, , Fc 1
jurídica jurídico AQ0FS00 1
y y CC 0.999989
administrativa administrativo AQ0FS00 0.661294
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
. . Fp 1
” ” Frc 1
En en SP 1
este este DD0MS0 0.949201
sentido sentido NCMS000 0.940835
, , Fc 1
si si CS 0.999827
bien bien RG 0.876088
el el DA0MS0 1
artículo artículo NCMS000 1
73 73 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
establece establecer VMIP3S0 0.992424
de de SP 0.999961
manera manera NCFS000 1
general general AQ0CS00 0.826212
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
que que PR0CN00 0.550139
deben deber VMIP3P0 1
cumplir cumplir VMN0000 1
los el DA0MP0 0.992728
interesados interesar VMP00PM 0.980769
en en SP 1
obtener obtener VMN0000 1
concesión concesión NCFS000 1
única único AQ0FS00 1
, , Fc 1
es ser VSIP3S0 1
necesario necesario AQ0MS00 1
observar observar VMN0000 1
lo el DA00S0 0.665165
contenido contenido NCMS000 0.993421
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
3 3 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
establece establecer VMIP3S0 0.992424
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
específicos específico AQ0MP00 0.97619
que que PR0CN00 0.550139
deben deber VMIP3P0 1
proporcionar proporcionar VMN0000 1
y y CC 0.999989
acreditar acreditar VMN0000 1
dichos decir VMP00PM 0.97619
interesados interesar VMP00PM 0.980769
. . Fp 1

Por por SP 1
su su DP3CSN 1
parte parte NCCS000 0.977711
, , Fc 1
cabe caber VMIP3S0 0.975904
destacar destacar VMN0000 1
que que CS 0.449861
dada dar VMP00SF 1
la el DA0FS0 0.98926
fecha fecha NCFS000 0.990741
en en SP 1
que que PR0CN00 0.550139
fue ser VSIS3S0 0.980739
presentada presentar VMP00SF 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
, , Fc 1
debe deber VMIP3S0 0.998712
acatar acatar VMN0000 1
se se PP3CN00 1
el el DA0MS0 1
requisito requisito NCMS000 0.983871
de de SP 0.999961
procedencia procedencia NCFS000 1
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
174-B 174-B Z 1
fracción fracción NCFS000 1
I i NP00000 1
, , Fc 1
inciso inciso AQ0MS00 0.66114
a a SP 0.998775
) ) Fpt 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Derechos ley_federal_de_derechos NP00000 1
, , Fc 1
que que PR0CN00 0.550139
establece establecer VMIP3S0 0.992424
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
los el DA0MP0 0.992728
derechos derecho NCMP000 0.996795
a a SP 0.998775
pagar pagar VMN0000 1
por por SP 1
el el DA0MS0 1
trámite trámite NCMS000 1
relativo relativo AQ0MS00 0.980769
a a SP 1
el el DA0MS0 1
estudio estudio NCMS000 0.97043
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
y y CC 0.999989
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
expedición expedición NCFS000 1
de de SP 0.999961
título título NCMS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
única único AQ0FS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
. . Fp 1

Tercero 3 AO0MS00 0.986928
. . Fp 1
- - Fg 1
Análisis_de_la_Solicitud_de_Concesión análisis_de_la_solicitud_de_concesión NP00000 1
. . Fp 1

Por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
a a SP 0.998775
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
señalados señalar VMP00PM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
3 3 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Telecomunicaciones dirección_general_de_concesiones_de_telecomunicaciones NP00000 1
, , Fc 1
revisó revisar VMIS3S0 1
y y CC 0.999989
evaluó evaluar VMIS3S0 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
observando observar VMG0000 1
que que CS 0.449861
la el DA0FS0 0.98926
información información NCFS000 1
fue ser VSIS3S0 0.980739
presentada presentar VMP00SF 1
mediante mediante SP 0.99763
el el DA0MS0 1
uso uso NCMS000 0.998047
de de SP 1
el el DA0MS0 1
Formato_IFT-Concesión_Única formato_ift-concesión_única NP00000 1
y y CC 0.999989
acreditada acreditar VMP00SF 0.623732
con con SP 1
la el DA0FS0 0.98926
siguiente siguiente AQ0CS00 1
documentación documentación NCFS000 1
: : Fd 1
Datos dato NCMP000 0.668984
generales general AQ0CP00 0.916449
de de SP 1
el el DA0MS0 1
Interesado interesado NP00000 1
. . Fp 1

La el DA0FS0 0.98926
C._María_de_el_Consuelo_Sánchez_Gallegos c._maría_de_el_consuelo_sánchez_gallegos NP00000 1
acreditó acreditar VMIS3S0 1
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
de de SP 0.999961
procedencia procedencia NCFS000 1
establecidos establecer VMP00PM 1
en en SP 1
la el DA0FS0 0.98926
fracción fracción NCFS000 1
I i NP00000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
3 3 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos lineamientos NP00000 1
, , Fc 1
mediante mediante SP 0.99763
la el DA0FS0 0.98926
presentación presentación NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
constancias constancia NCFP000 1
documentales documental AQ0CP00 0.287671
que que PR0CN00 0.550139
contienen contener VMIP3P0 1
los el DA0MP0 0.992728
datos dato NCMP000 1
generales general AQ0CP00 0.916449
de de SP 1
el el DA0MS0 1
interesado interesar VMP00SM 0.97619
. . Fp 1

Modalidad modalidad NCFS000 0.668984
de de SP 0.999961
uso uso NCMS000 0.998047
. . Fp 1

La el DA0FS0 0.98926
C._María_de_el_Consuelo_Sánchez_Gallegos c._maría_de_el_consuelo_sánchez_gallegos NP00000 1
especificó especificar VMIS3S0 1
que que CS 0.449861
la el DA0FS0 0.98926
concesión concesión NCFS000 1
solicitada solicitar VMP00SF 1
consiste consistir VMIP3S0 0.993421
en en SP 1
una uno DI0FS0 0.951973
Concesión_Única_para_Uso_Comercial concesión_única_para_uso_comercial NP00000 1
. . Fp 1

Características_Generales_de_el_Proyecto características_generales_de_el_proyecto NP00000 1
. . Fp 1

Descripción_de_el_Proyecto descripción_de_el_proyecto NP00000 1
: : Fd 1
A_través_de a_través_de SP 1
la el DA0FS0 0.98926
Concesión_Única concesión_única NP00000 1
, , Fc 1
la el DA0FS0 0.98926
C._María_de_el_Consuelo_Sánchez_Gallegos c._maría_de_el_consuelo_sánchez_gallegos NP00000 1
proveerá proveer VMIF3S0 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
televisión televisión NCFS000 1
restringida restringir VMP00SF 1
a_través_de a_través_de SP 1
el el DA0MS0 1
uso uso NCMS000 0.998047
de de SP 0.999961
fibra fibra NCFS000 1
óptica óptico AQ0FS00 0.526641
y y CC 0.999989
con con SP 1
equipo equipo NCMS000 0.999728
propio propio AQ0MS00 0.998575
, , Fc 1
para para SP 0.999834
lo el DA00S0 0.665165
cual cual PR0CS00 0.930743
adjunta adjuntar VMIP3S0 0.121224
un uno DI0MS0 0.99698
listado listado NCMS000 0.476197
de de SP 0.999961
los el DA0MP0 0.992728
equipos equipo NCMP000 1
que que PR0CN00 0.550139
conformarán conformar VMIF3P0 1
la el DA0FS0 0.98926
red red NCFS000 1
. . Fp 1

Capacidad_Técnica capacidad_técnica NP00000 1
, , Fc 1
Económica económica NP00000 1
, , Fc 1
Jurídica jurídica NP00000 1
y y CC 0.999989
Administrativa administrativa NP00000 1
. . Fp 1

Capacidad capacidad NCFS000 0.668984
técnica técnico AQ0FS00 0.294798
. . Fp 1

La el DA0FS0 0.98926
C._María_de_el_Consuelo_Sánchez_Gallegos c._maría_de_el_consuelo_sánchez_gallegos NP00000 1
presentó presentar VMIS3S0 1
la el DA0FS0 0.98926
documentación documentación NCFS000 1
que que PR0CN00 0.550139
contiene contener VMIP3S0 1
la el DA0FS0 0.98926
descripción descripción NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
actividades actividad NCFP000 1
que que PR0CN00 0.550139
ha haber VAIP3S0 0.999889
desarrollado desarrollar VMP00SM 0.991803
la el DA0FS0 0.98926
persona persona NCFS000 0.996683
que que PR0CN00 0.550139
le le PP3CSD0 1
proporcionará proporcionar VMIF3S0 1
asistencia asistencia NCFS000 1
técnica técnico AQ0FS00 0.294798
para para SP 0.999834
llevar_a_cabo llevar_a_cabo VMN0000 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
. . Fp 1

Capacidad capacidad NCFS000 0.668984
económica económico AQ0FS00 1
. . Fp 1

Mediante mediante SP 0.99763
el el DA0MS0 1
escrito escrito NCMS000 0.466887
presentado presentar VMP00SM 1
ante ante SP 0.999744
el el DA0MS0 1
Instituto instituto NP00000 1
el el DA0MS0 1
14_de_noviembre_de_2017 [??:14/11/2017:??.??:??] W 1
, , Fc 1
en en SP 1
respuesta respuesta NCFS000 1
a a SP 1
el el DA0MS0 1
requerimiento requerimiento NCMS000 1
formulado formular VMP00SM 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/223/UCS/DG-CTEL/1875/2017 IFT/223/UCS/DG-CTEL/1875/2017 Z 1
, , Fc 1
la el DA0FS0 0.98926
C._María_de_el_Consuelo_Sánchez_Gallegos c._maría_de_el_consuelo_sánchez_gallegos NP00000 1
acreditó acreditar VMIS3S0 1
solvencia solvencia NCFS000 1
económica económico AQ0FS00 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
copia copia NCFS000 0.874645
simple simple AQ0CS00 0.997312
de de SP 0.999961
los el DA0MP0 0.992728
estados estado NCMP000 1
de de SP 0.999961
cuenta cuenta NCFS000 0.229017
emitidos emitir VMP00PM 1
por por SP 1
una uno DI0FS0 0.951973
Institución institución NP00000 1
financiera financiero AQ0FS00 0.988439
, , Fc 1
correspondientes correspondiente AQ0CP00 0.980769
a a SP 0.998775
los el DA0MP0 0.992728
últimos último AO0MP00 1
3 3 Z 1
meses mes NCMP000 0.999436
anteriores anterior AQ0CP00 1
a a SP 0.998775
la el DA0FS0 0.98926
fecha fecha NCFS000 0.990741
de de SP 0.999961
la el DA0FS0 0.98926
presentación presentación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
, , Fc 1
por por SP 1
un uno DI0MS0 0.99698
monto monto NCMS000 0.939852
suficiente suficiente AQ0CS00 0.993994
para para SP 0.999834
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.99884
de de SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
de de SP 0.999961
televisión televisión NCFS000 1
por por SP 1
cable cable NCMS000 1
que que PR0CN00 0.550139
nos nos PP1CP00 0.810258
ocupa ocupar VMIP3S0 0.99505
. . Fp 1

Capacidad_Jurídica capacidad_jurídica NP00000 1
. . Fp 1

La el DA0FS0 0.98926
C._María_de_el_Consuelo_Sánchez_Gallegos c._maría_de_el_consuelo_sánchez_gallegos NP00000 1
acreditó acreditar VMIS3S0 1
su su DP3CSN 1
nacionalidad nacionalidad NCFS000 1
mexicana mexicano AQ0FS00 0.927632
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
presentación presentación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
copia copia NCFS000 0.874645
certificada certificar VMP00SF 1
de de SP 0.999961
su su DP3CSN 1
acta acta NCFS000 1
de de SP 0.999961
nacimiento nacimiento NCMS000 1
. . Fp 1

Capacidad_Administrativa capacidad_administrativa NP00000 1
. . Fp 1

La el DA0FS0 0.98926
C._María_de_el_Consuelo_Sánchez_Gallegos c._maría_de_el_consuelo_sánchez_gallegos NP00000 1
confirmó confirmar VMIS3S0 1
tener tener VMN0000 1
capacidad capacidad NCFS000 1
administrativa administrativo AQ0FS00 0.661294
para para SP 0.999834
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
su su DP3CSN 1
proyecto proyecto NCMS000 0.999084
, , Fc 1
mediante mediante SP 0.99763
la el DA0FS0 0.98926
descripción descripción NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
procesos proceso NCMP000 1
administrativos administrativo AQ0MP00 0.788462
para para SP 0.999834
la el DA0FS0 0.98926
atención atención NCFS000 0.997312
de de SP 0.999961
atención atención NCFS000 0.997312
a a SP 0.998775
usuarios usuario NCMP000 0.78169
y y CC 0.999989
/ / Fh 1
o o CC 0.999864
audiencias audiencia NCFP000 1
, , Fc 1
recepción recepción NCFS000 1
, , Fc 1
tramitación tramitación NCFS000 1
, , Fc 1
atención atención NCFS000 0.997312
de de SP 0.999961
quejas queja NCFP000 0.983871
y y CC 0.999989
facturación facturación NCFS000 1
. . Fp 1

Programa programa NCMS000 0.996822
inicial inicial AQ0CS00 0.838542
de de SP 0.999961
cobertura cobertura NCFS000 1
. . Fp 1

La el DA0FS0 0.98926
C._María_de_el_Consuelo_Sánchez_Gallegos c._maría_de_el_consuelo_sánchez_gallegos NP00000 1
señaló señalar VMIS3S0 1
como como CS 0.967153
programa programa NCMS000 0.997879
inicial inicial AQ0CS00 0.838542
de de SP 0.999961
cobertura cobertura NCFS000 1
de de SP 0.999961
su su DP3CSN 1
proyecto proyecto NCMS000 0.999084
la el DA0FS0 0.98926
localidad localidad NCFS000 1
de de SP 0.999961
Monterrey monterrey NP00000 1
, , Fc 1
Municipio_de_Monterrey municipio_de_monterrey NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
Estado_de_Nuevo_León estado_de_nuevo_león NP00000 1
. . Fp 1

Pago pago NCMS000 0.99061
por por SP 1
el el DA0MS0 1
análisis análisis NCMN000 1
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
. . Fp 1

Por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
hace hacer VMIP3S0 1
a a SP 1
el el DA0MS0 1
comprobante comprobante NCMS000 1
de de SP 0.999961
pago pago NCMS000 0.995283
, , Fc 1
la el DA0FS0 0.98926
C._María_de_el_Consuelo_Sánchez_Gallegos c._maría_de_el_consuelo_sánchez_gallegos NP00000 1
presentó presentar VMIS3S0 1
la el DA0FS0 0.98926
factura factura NCFS000 0.962264
número número NCMS000 1
170008686 170008686 Z 1
, , Fc 1
por por SP 1
concepto concepto NCMS000 1
de de SP 1
el el DA0MS0 1
estudio estudio NCMS000 0.97043
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
y y CC 0.999989
, , Fc 1
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
, , Fc 1
expedición expedición NCFS000 1
de de SP 1
el el DA0MS0 1
título título NCMS000 1
o o CC 0.999864
prórroga prórroga NCFS000 1
de de SP 0.999961
concesión concesión NCFS000 1
única único AQ0FS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
, , Fc 1
conforme_a conforme_a SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
174-B 174-B Z 1
fracción fracción NCFS000 1
I i NP00000 1
, , Fc 1
inciso inciso AQ0MS00 0.66114
a a SP 0.998775
) ) Fpt 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
federal federal AQ0CS00 1
de de SP 0.999961
Derechos derechos NP00000 1
. . Fp 1

Por por SP 1
otra otro DI0FS0 0.740893
parte parte NCCS000 0.977711
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Telecomunicaciones dirección_general_de_concesiones_de_telecomunicaciones NP00000 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/223/UCS/DG-CTEL/2214/2017 IFT/223/UCS/DG-CTEL/2214/2017 Z 1
notificado notificar VMP00SM 1
el el DA0MS0 1
27_de_noviembre_de_2017 [??:27/11/2017:??.??:??] W 1
, , Fc 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Dirección_General_de_Concentraciones dirección_general_de_concentraciones NP00000 1
y y CC 0.999989
Concesiones_de_la_Unidad_de_Competencia_Económica concesiones_de_la_unidad_de_competencia_económica NP00000 1
, , Fc 1
opinión opinión NCFS000 1
respecto_de respecto_de SP 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
. . Fp 1

En en SP 1
respuesta respuesta NCFS000 1
a a SP 0.998775
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/226/UCE/DG-CCON/795/2017 IFT/226/UCE/DG-CCON/795/2017 Z 1
notificado notificar VMP00SM 1
el el DA0MS0 1
5_de_diciembre_de_2017 [??:5/12/2017:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Dirección_General_de_Concentraciones dirección_general_de_concentraciones NP00000 1
y y CC 0.999989
Concesiones concesiones NP00000 1
adscrita adscribir VMP00SF 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Competencia_Económica unidad_de_competencia_económica NP00000 1
emitió emitir VMIS3S0 1
opinión opinión NCFS000 1
respecto_de respecto_de SP 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
que que PR0CN00 0.550139
nos nos PP1CP00 0.810258
ocupa ocupar VMIP3S0 0.99505
, , Fc 1
en en SP 1
el el DA0MS0 1
siguiente siguiente AQ0CS00 1
sentido sentido NCMS000 0.940835
: : Fd 1
“ “ Fra 1
[ [ Fca 1
… … Fz 1
] ] Fct 1
D._Opinión d._opinión NP00000 1
en_materia_de en_materia_de SP 1
competencia competencia NCFS000 1
económica económico AQ0FS00 1
En_caso_de en_caso_de NP00000 1
otorgar otorgar VMN0000 1
se se PP3CN00 1
, , Fc 1
la el DA0FS0 0.98926
concesión concesión NCFS000 1
única único AQ0FS00 1
solicitada solicitar VMP00SF 1
por por SP 1
la el DA0FS0 0.98926
C._María_de_el_Consuelo_Sánchez_Gallegos c._maría_de_el_consuelo_sánchez_gallegos NP00000 1
le le PP3CSD0 1
permitirá permitir VMIF3S0 1
prestar prestar VMN0000 1
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
o o CC 0.999864
radiodifusión radiodifusión NCFS000 1
con con SP 1
cobertura cobertura NCFS000 1
nacional nacional AQ0CS00 1
. . Fp 1

De_acuerdo_con de_acuerdo_con SP 1
lo el DA00S0 0.665165
planteado plantear VMP00SM 1
en en SP 1
la el DA0FS0 0.98926
Solicitud solicitud NP00000 1
, , Fc 1
a a SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
de de SP 0.999961
la el DA0FS0 0.98926
concesión concesión NCFS000 1
única único AQ0FS00 1
solicitada solicitar VMP00SF 1
, , Fc 1
la el DA0FS0 0.98926
C._María_de_el_Consuelo_Sánchez_Gallegos c._maría_de_el_consuelo_sánchez_gallegos NP00000 1
pretende pretender VMIP3S0 0.996894
prestar prestar VMN0000 1
el el DA0MS0 1
STAR star NP00000 1
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
localidad localidad NCFS000 1
de de SP 0.999961
Monterrey monterrey NP00000 1
, , Fc 1
Municipio_de_Monterrey municipio_de_monterrey NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
Estado_de_Nuevo_León estado_de_nuevo_león NP00000 1
. . Fp 1

A a SP 0.998775
continuación continuación NCFS000 1
se se P00CN00 0.494509
presentan presentar VMIP3P0 1
los el DA0MP0 0.992728
elementos elemento NCMP000 1
considerados considerar VMP00PM 1
en en SP 1
el el DA0MS0 1
análisis análisis NCMN000 1
en_materia_de en_materia_de SP 1
